annotation_id,image_id,observation_id,observation_image_count,selected_for_buckets,ground_truth_species,vernacular,family,organ_category,organ_detail,subview,image_url,thumbnail_url,local_sample_path,download_status,bioclip_prediction,bioclip_score,bioclip_correct,dinov3_prediction,dinov3_score,dinov3_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_correct,correctness_pattern,human_identifiable,failure_primary,useful_organ_visible,better_photo_would_help,notes
EA-0011,baskauf/11492,ind-baskauf/11492,2,all_four_correct,Tsuga canadensis,eastern hemlock,Pinaceae,whole tree,whole tree,general,https://bioimages.vanderbilt.edu/gq/baskauf/gtsca--wplarge-forest-11492.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/ttsca--wplarge-forest-11492.jpg,samples/images/baskauf__11492.jpg,cached,Tsuga canadensis,0.99999809,True,Tsuga canadensis,0.97667109,True,Tsuga canadensis,0.78,True,Tsuga canadensis,0.9,True,1111,,,,,
EA-0003,baskauf/21454,ind-baskauf/21454,3,all_four_correct,Salix nigra,black willow,Salicaceae,inflorescence,inflorescence,whole - male,https://bioimages.vanderbilt.edu/gq/baskauf/gsani--flinflor21454.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tsani--flinflor21454.jpg,samples/images/baskauf__21454.jpg,cached,Salix nigra,1.0,True,Salix nigra,0.33706915,True,Salix nigra,0.97,True,Salix nigra,0.8,True,1111,,,,,
EA-0005,baskauf/22004,ind-baskauf/21999,3,all_four_correct,Robinia pseudoacacia,black locust,Fabaceae,inflorescence,inflorescence,frontal view of flower,https://bioimages.vanderbilt.edu/gq/baskauf/grops--fl22004.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/trops--fl22004.jpg,samples/images/baskauf__22004.jpg,cached,Robinia pseudoacacia,0.99999523,True,Robinia pseudoacacia,0.68785005,True,Robinia pseudoacacia,0.98,True,Robinia pseudoacacia,0.9,True,1111,,,,,
EA-0008,baskauf/32478,ind-baskauf/32477,3,all_four_correct,Amelanchier arborea,common serviceberry,Rosaceae,fruit,fruit,immature,https://bioimages.vanderbilt.edu/gq/baskauf/gamar3-frdevel32478.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tamar3-frdevel32478.jpg,samples/images/baskauf__32478.jpg,cached,Amelanchier arborea,1.0,True,Amelanchier arborea,0.68204084,True,Amelanchier arborea,0.84,True,Amelanchier arborea,0.7,True,1111,,,,,
EA-0006,baskauf/49341,ind-baskauf/49335,4,all_four_correct,Sorbus americana,American mountain ash,Rosaceae,inflorescence,inflorescence,frontal view of flower,https://bioimages.vanderbilt.edu/gq/baskauf/gsoam3-fl49341.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tsoam3-fl49341.jpg,samples/images/baskauf__49341.jpg,cached,Sorbus americana,0.99999726,True,Sorbus americana,0.25789501,True,Sorbus americana,0.74,True,Sorbus americana,0.7,True,1111,,,,,
EA-0004,baskauf/66182,ind-baskauf/66180,11,all_four_correct,Gleditsia triacanthos,honeylocust,Fabaceae,bark,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/gq/baskauf/ggltr--brmedium66182.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tgltr--brmedium66182.jpg,samples/images/baskauf__66182.jpg,cached,Gleditsia triacanthos,0.99999714,True,Gleditsia triacanthos,0.75076048,True,Gleditsia triacanthos,0.98,True,Gleditsia triacanthos,0.9,True,1111,,,,,
EA-0009,kaufmannm/ke064,ind-kaufmannm/ke064,1,all_four_correct,Populus tremuloides,quaking aspen,Salicaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/kaufmannm/gpotr5-wpfall-color-mke064.jpg,https://bioimages.vanderbilt.edu/tn/kaufmannm/tpotr5-wpfall-color-mke064.jpg,samples/images/kaufmannm__ke064.jpg,cached,Populus tremuloides,1.0,True,Populus tremuloides,0.8722459,True,Populus tremuloides,0.79,True,Populus tremuloides,0.8,True,1111,,,,,
EA-0012,thomas/0049-08-02,thomas/0049-08,5,all_four_correct,Cercis canadensis,eastern redbud,Fabaceae,inflorescence,inflorescence,whole - unspecified,https://bioimages.vanderbilt.edu/gq/thomas/g0049-08-02.jpg,https://bioimages.vanderbilt.edu/tn/thomas/t0049-08-02.jpg,samples/images/thomas__0049-08-02.jpg,cached,Cercis canadensis,1.0,True,Cercis canadensis,0.98509729,True,Cercis canadensis,0.99,True,Cercis canadensis,0.9,True,1111,,,,,
EA-0002,thomas/0104-01-03,thomas/0104-01,4,all_four_correct,Cephalanthus occidentalis,common buttonbush,Rubiaceae,inflorescence,inflorescence,frontal view of flower,https://bioimages.vanderbilt.edu/gq/thomas/g0104-01-03.jpg,https://bioimages.vanderbilt.edu/tn/thomas/t0104-01-03.jpg,samples/images/thomas__0104-01-03.jpg,cached,Cephalanthus occidentalis,0.99999988,True,Cephalanthus occidentalis,0.89498152,True,Cephalanthus occidentalis,0.99,True,Cephalanthus occidentalis,0.9,True,1111,,,,,
EA-0001,thomas/0301-02-02,thomas/0301-02,3,all_four_correct,Toxicodendron radicans,eastern poison ivy,Anacardiaceae,leaf,leaf,whole upper surface,https://bioimages.vanderbilt.edu/gq/thomas/g0301-02-02.jpg,https://bioimages.vanderbilt.edu/tn/thomas/t0301-02-02.jpg,samples/images/thomas__0301-02-02.jpg,cached,Toxicodendron radicans,1.0,True,Toxicodendron radicans,0.98282091,True,Toxicodendron radicans,0.96,True,Toxicodendron radicans,0.9,True,1111,,,,,
