image_id,file,observation_id,organ_category,ground_truth_species,bioclip_prediction,bioclip_score,bioclip_top5,bioclip_correct,bioclip_top5_correct,dinov3_prediction,dinov3_score,dinov3_top5,dinov3_correct,dinov3_top5_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_top5,gpt_5_4_correct,gpt_5_4_top5_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_top5,gemini_flash_lite_correct,gemini_flash_lite_top5_correct,vernacular,family,organ_detail,subview,thumbnail_url,image_url,creator,license,observation_image_count,correct_count,correctness_pattern,prediction_unique_count,all_predictions_same,embedding_predictions_agree,vlm_predictions_agree,bucket_memberships
baskauf/29685,baskauf_29685.jpg,ind-baskauf/10432,twig,Fagus grandifolia,Fagus grandifolia,1.0,"[{""species"": ""Fagus grandifolia"", ""confidence"": 1.0}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 2.510999053129126e-08}, {""species"": ""Ostrya virginiana"", ""confidence"": 2.510999053129126e-08}, {""species"": ""Carpinus caroliniana"", ""confidence"": 1.7257828943684217e-08}, {""species"": ""Amelanchier arborea"", ""confidence"": 1.3440409674103648e-08}]",True,True,Fagus grandifolia,0.45231315,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.45231315063915317}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.21953818612088008}, {""species"": ""Dirca palustris"", ""confidence"": 0.050314665371237216}, {""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.04093946034596508}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.025721010477241995}]",True,True,Fagus grandifolia,0.95,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.95}, {""species"": ""Castanea dentata"", ""confidence"": 0.18}, {""species"": ""Betula lenta"", ""confidence"": 0.11}, {""species"": ""Magnolia acuminata"", ""confidence"": 0.06}, {""species"": ""Lindera benzoin"", ""confidence"": 0.04}]",True,True,Fagus grandifolia,0.9,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.9}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.6}, {""species"": ""Betula lenta"", ""confidence"": 0.5}, {""species"": ""Acer saccharum"", ""confidence"": 0.4}]",True,True,American beech,Fagaceae,twig,orientation of petioles,https://bioimages.vanderbilt.edu/tn/baskauf/tfagr--tw29685.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gfagr--tw29685.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,5,4,1111,1,True,True,True,all_four_correct
baskauf/11492,baskauf_11492.jpg,ind-baskauf/11492,whole tree,Tsuga canadensis,Tsuga canadensis,0.99999809,"[{""species"": ""Tsuga canadensis"", ""confidence"": 0.9999980926513672}, {""species"": ""Picea rubens"", ""confidence"": 1.5534973272224306e-06}, {""species"": ""Pinus strobus"", ""confidence"": 3.059017217310611e-07}, {""species"": ""Sorbus americana"", ""confidence"": 1.9555644215074608e-08}, {""species"": ""Quercus alba"", ""confidence"": 1.3440383916929477e-08}]",True,True,Tsuga canadensis,0.97667109,"[{""species"": ""Tsuga canadensis"", ""confidence"": 0.976671087546002}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.0050535798659630425}, {""species"": ""Tilia americana"", ""confidence"": 0.004220929233572829}, {""species"": ""Juglans cinerea"", ""confidence"": 0.0023865396008534347}, {""species"": ""Picea rubens"", ""confidence"": 0.0023649726924326897}]",True,True,Tsuga canadensis,0.78,"[{""species"": ""Tsuga canadensis"", ""confidence"": 0.78}, {""species"": ""Picea glauca"", ""confidence"": 0.11}, {""species"": ""Picea rubens"", ""confidence"": 0.05}, {""species"": ""Picea mariana"", ""confidence"": 0.03}, {""species"": ""Thuja occidentalis"", ""confidence"": 0.01}]",True,True,Tsuga canadensis,0.9,"[{""species"": ""Tsuga canadensis"", ""confidence"": 0.9}, {""species"": ""Picea mariana"", ""confidence"": 0.7}, {""species"": ""Picea glauca"", ""confidence"": 0.6}, {""species"": ""Pinus strobus"", ""confidence"": 0.5}, {""species"": ""Thuja occidentalis"", ""confidence"": 0.4}]",True,True,eastern hemlock,Pinaceae,whole tree,general,https://bioimages.vanderbilt.edu/tn/baskauf/ttsca--wplarge-forest-11492.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gtsca--wplarge-forest-11492.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,2,4,1111,1,True,True,True,all_four_correct
baskauf/11522,baskauf_11522.jpg,ind-baskauf/11522,whole tree,Juniperus virginiana,Juniperus virginiana,1.0,"[{""species"": ""Juniperus virginiana"", ""confidence"": 1.0}, {""species"": ""Pinus strobus"", ""confidence"": 1.9555681518568235e-08}, {""species"": ""Tsuga canadensis"", ""confidence"": 5.602796449011294e-09}, {""species"": ""Quercus palustris"", ""confidence"": 4.363462480228009e-09}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 1.4166087192180044e-09}]",True,True,Juniperus virginiana,0.80078144,"[{""species"": ""Juniperus virginiana"", ""confidence"": 0.8007814355054628}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.08441669502792647}, {""species"": ""Quercus alba"", ""confidence"": 0.03699988634213742}, {""species"": ""Juglans nigra"", ""confidence"": 0.022349252342921472}, {""species"": ""Acer saccharum"", ""confidence"": 0.008716371654511742}]",True,True,Juniperus virginiana,0.81,"[{""species"": ""Juniperus virginiana"", ""confidence"": 0.81}, {""species"": ""Thuja occidentalis"", ""confidence"": 0.58}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.17}, {""species"": ""Picea glauca"", ""confidence"": 0.1}, {""species"": ""Picea rubens"", ""confidence"": 0.08}]",True,True,Juniperus virginiana,0.8,"[{""species"": ""Juniperus virginiana"", ""confidence"": 0.8}, {""species"": ""Thuja occidentalis"", ""confidence"": 0.6}, {""species"": ""Juniperus communis"", ""confidence"": 0.4}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.3}, {""species"": ""Picea glauca"", ""confidence"": 0.2}]",True,True,eastern redcedar,Cupressaceae,whole tree,general,https://bioimages.vanderbilt.edu/tn/baskauf/tjuvi--wplarge11522.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gjuvi--wplarge11522.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,2,4,1111,1,True,True,True,all_four_correct
baskauf/15103,baskauf_15103.jpg,ind-baskauf/15103,fruit,Cornus florida,Cornus florida,0.99956948,"[{""species"": ""Cornus florida"", ""confidence"": 0.9995694756507874}, {""species"": ""Cornus amomum"", ""confidence"": 0.0004305570910219103}, {""species"": ""Lindera benzoin"", ""confidence"": 1.3434623191699302e-08}, {""species"": ""Sassafras albidum"", ""confidence"": 2.0602661798818644e-09}, {""species"": ""Cephalanthus occidentalis"", ""confidence"": 1.8181786076709727e-09}]",True,True,Cornus florida,0.9157878,"[{""species"": ""Cornus florida"", ""confidence"": 0.9157877981173994}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.025634307576650636}, {""species"": ""Ilex verticillata"", ""confidence"": 0.007124412548073984}, {""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.006991460616417862}, {""species"": ""Lindera benzoin"", ""confidence"": 0.006976489317468636}]",True,True,Cornus florida,0.89,"[{""species"": ""Cornus florida"", ""confidence"": 0.89}, {""species"": ""Lindera benzoin"", ""confidence"": 0.17}, {""species"": ""Cornus amomum"", ""confidence"": 0.08}, {""species"": ""Cornus sericea"", ""confidence"": 0.03}, {""species"": ""Cornus racemosa"", ""confidence"": 0.02}]",True,True,Cornus florida,0.8,"[{""species"": ""Cornus florida"", ""confidence"": 0.8}, {""species"": ""Cornus amomum"", ""confidence"": 0.6}, {""species"": ""Cornus racemosa"", ""confidence"": 0.5}, {""species"": ""Cornus sericea"", ""confidence"": 0.5}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.3}]",True,True,flowering dogwood,Cornaceae,fruit,as borne on the plant,https://bioimages.vanderbilt.edu/tn/baskauf/tcofl2-fr15103.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gcofl2-fr15103.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct
baskauf/15105,baskauf_15105.jpg,ind-baskauf/15103,twig,Cornus florida,Cornus florida,0.9988305,"[{""species"": ""Cornus florida"", ""confidence"": 0.9988304972648621}, {""species"": ""Cornus amomum"", ""confidence"": 0.0011695101857185364}, {""species"": ""Lindera benzoin"", ""confidence"": 6.341375424767648e-09}, {""species"": ""Sassafras albidum"", ""confidence"": 1.6033506744506099e-09}, {""species"": ""Ilex verticillata"", ""confidence"": 1.4149520444206587e-09}]",True,True,Cornus florida,0.98256549,"[{""species"": ""Cornus florida"", ""confidence"": 0.9825654904804372}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.003153499037582417}, {""species"": ""Cornus amomum"", ""confidence"": 0.002818831692082358}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.001720903770981022}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.0013011540220559596}]",True,True,Cornus florida,0.97,"[{""species"": ""Cornus florida"", ""confidence"": 0.97}, {""species"": ""Cornus amomum"", ""confidence"": 0.08}, {""species"": ""Cornus racemosa"", ""confidence"": 0.04}, {""species"": ""Cornus sericea"", ""confidence"": 0.03}, {""species"": ""Viburnum opulus"", ""confidence"": 0.02}]",True,True,Cornus florida,0.8,"[{""species"": ""Cornus florida"", ""confidence"": 0.8}, {""species"": ""Cornus amomum"", ""confidence"": 0.7}, {""species"": ""Cornus racemosa"", ""confidence"": 0.6}, {""species"": ""Cornus sericea"", ""confidence"": 0.5}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.4}]",True,True,flowering dogwood,Cornaceae,twig,close-up winter terminal bud,https://bioimages.vanderbilt.edu/tn/baskauf/tcofl2-tw15105.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gcofl2-tw15105.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct
baskauf/21454,baskauf_21454.jpg,ind-baskauf/21454,inflorescence,Salix nigra,Salix nigra,1.0,"[{""species"": ""Salix nigra"", ""confidence"": 1.0}, {""species"": ""Populus deltoides"", ""confidence"": 6.348800152267131e-09}, {""species"": ""Cephalanthus occidentalis"", ""confidence"": 2.646573848963385e-09}, {""species"": ""Amelanchier arborea"", ""confidence"": 2.1724398668876432e-10}, {""species"": ""Sassafras albidum"", ""confidence"": 1.493094675675266e-10}]",True,True,Salix nigra,0.33706915,"[{""species"": ""Salix nigra"", ""confidence"": 0.33706915076913446}, {""species"": ""Populus deltoides"", ""confidence"": 0.18811543144950105}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.07358197474197996}, {""species"": ""Rhus glabra"", ""confidence"": 0.06376806395224868}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.06078776815860072}]",True,True,Salix nigra,0.97,"[{""species"": ""Salix nigra"", ""confidence"": 0.97}, {""species"": ""Betula papyrifera"", ""confidence"": 0.08}, {""species"": ""Betula lenta"", ""confidence"": 0.05}, {""species"": ""Populus deltoides"", ""confidence"": 0.03}, {""species"": ""Populus tremuloides"", ""confidence"": 0.02}]",True,True,Salix nigra,0.8,"[{""species"": ""Salix nigra"", ""confidence"": 0.8}, {""species"": ""Populus deltoides"", ""confidence"": 0.5}, {""species"": ""Populus grandidentata"", ""confidence"": 0.4}, {""species"": ""Populus tremuloides"", ""confidence"": 0.3}, {""species"": ""Betula papyrifera"", ""confidence"": 0.2}]",True,True,black willow,Salicaceae,inflorescence,whole - male,https://bioimages.vanderbilt.edu/tn/baskauf/tsani--flinflor21454.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gsani--flinflor21454.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct
baskauf/21999,baskauf_21999.jpg,ind-baskauf/21999,inflorescence,Robinia pseudoacacia,Robinia pseudoacacia,0.99999523,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.999995231628418}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 4.7850949158601e-06}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 6.69155453270065e-10}, {""species"": ""Cercis canadensis"", ""confidence"": 7.991921707750649e-11}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 7.052846501265364e-11}]",True,True,Robinia pseudoacacia,0.90317925,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9031792522341516}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.026103677535835677}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.019093492486976373}, {""species"": ""Prunus serotina"", ""confidence"": 0.01540550620003867}, {""species"": ""Sorbus americana"", ""confidence"": 0.009765224039963319}]",True,True,Robinia pseudoacacia,0.98,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.98}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.08}, {""species"": ""Staphylea trifolia"", ""confidence"": 0.05}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.03}, {""species"": ""Sambucus nigra"", ""confidence"": 0.02}]",True,True,Robinia pseudoacacia,0.9,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.7}, {""species"": ""Cercis canadensis"", ""confidence"": 0.4}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.3}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.2}]",True,True,black locust,Fabaceae,inflorescence,whole - unspecified,https://bioimages.vanderbilt.edu/tn/baskauf/trops--flinflor21999.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grops--flinflor21999.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct
baskauf/22004,baskauf_22004.jpg,ind-baskauf/21999,inflorescence,Robinia pseudoacacia,Robinia pseudoacacia,0.99999523,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.999995231628418}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 4.7850949158601e-06}, {""species"": ""Tilia americana"", ""confidence"": 6.348769954200861e-09}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 2.6465611924209043e-09}, {""species"": ""Ailanthus altissima"", ""confidence"": 1.1032508240305106e-09}]",True,True,Robinia pseudoacacia,0.68785005,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.687850051902318}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.12154492987470497}, {""species"": ""Cercis canadensis"", ""confidence"": 0.10636148078406878}, {""species"": ""Aesculus glabra"", ""confidence"": 0.01854943234523919}, {""species"": ""Yucca filamentosa"", ""confidence"": 0.01580432232895254}]",True,True,Robinia pseudoacacia,0.98,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.98}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.08}, {""species"": ""Cercis canadensis"", ""confidence"": 0.04}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.02}, {""species"": ""Prunus virginiana"", ""confidence"": 0.01}]",True,True,Robinia pseudoacacia,0.9,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.7}, {""species"": ""Cercis canadensis"", ""confidence"": 0.4}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.2}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.1}]",True,True,black locust,Fabaceae,inflorescence,frontal view of flower,https://bioimages.vanderbilt.edu/tn/baskauf/trops--fl22004.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grops--fl22004.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct
baskauf/22014,baskauf_22014.jpg,ind-baskauf/21999,inflorescence,Robinia pseudoacacia,Robinia pseudoacacia,0.9999994,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9999994039535522}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 6.475948453044111e-07}, {""species"": ""Cercis canadensis"", ""confidence"": 3.1608796136062267e-10}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 2.7894664356153953e-10}, {""species"": ""Tilia americana"", ""confidence"": 1.4930938430079976e-10}]",True,True,Robinia pseudoacacia,0.95455604,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9545560440203124}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.0133497839835713}, {""species"": ""Cercis canadensis"", ""confidence"": 0.01036274575416354}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.0032415593224436735}, {""species"": ""Yucca filamentosa"", ""confidence"": 0.0023208294031650304}]",True,True,Robinia pseudoacacia,0.98,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.98}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.08}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.03}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.02}, {""species"": ""Cercis canadensis"", ""confidence"": 0.01}]",True,True,Robinia pseudoacacia,0.9,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.7}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.5}, {""species"": ""Cercis canadensis"", ""confidence"": 0.3}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.2}]",True,True,black locust,Fabaceae,inflorescence,lateral view of flower,https://bioimages.vanderbilt.edu/tn/baskauf/trops--flinflor-close22014.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grops--flinflor-close22014.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct
baskauf/32478,baskauf_32478.jpg,ind-baskauf/32477,fruit,Amelanchier arborea,Amelanchier arborea,1.0,"[{""species"": ""Amelanchier arborea"", ""confidence"": 1.0}, {""species"": ""Prunus serotina"", ""confidence"": 9.23744991609965e-09}, {""species"": ""Ostrya virginiana"", ""confidence"": 1.493094675675266e-10}, {""species"": ""Sorbus americana"", ""confidence"": 1.1628233792526643e-10}, {""species"": ""Viburnum lantanoides"", ""confidence"": 7.052879807956103e-11}]",True,True,Amelanchier arborea,0.68204084,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.682040843287915}, {""species"": ""Cornus amomum"", ""confidence"": 0.10813300193751109}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.06067805875457954}, {""species"": ""Cornus florida"", ""confidence"": 0.038945225013241214}, {""species"": ""Sassafras albidum"", ""confidence"": 0.02224137549103323}]",True,True,Amelanchier arborea,0.84,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.84}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.33}, {""species"": ""Sorbus americana"", ""confidence"": 0.14}, {""species"": ""Prunus virginiana"", ""confidence"": 0.08}, {""species"": ""Sambucus racemosa"", ""confidence"": 0.04}]",True,True,Amelanchier arborea,0.7,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.7}, {""species"": ""Sorbus americana"", ""confidence"": 0.6}, {""species"": ""Prunus virginiana"", ""confidence"": 0.5}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.4}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.3}]",True,True,common serviceberry,Rosaceae,fruit,immature,https://bioimages.vanderbilt.edu/tn/baskauf/tamar3-frdevel32478.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gamar3-frdevel32478.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct
