image_id,file,observation_id,organ_category,ground_truth_species,bioclip_prediction,bioclip_score,bioclip_top5,bioclip_correct,bioclip_top5_correct,dinov3_prediction,dinov3_score,dinov3_top5,dinov3_correct,dinov3_top5_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_top5,gpt_5_4_correct,gpt_5_4_top5_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_top5,gemini_flash_lite_correct,gemini_flash_lite_top5_correct,vernacular,family,organ_detail,subview,thumbnail_url,image_url,creator,license,observation_image_count,correct_count,correctness_pattern,prediction_unique_count,all_predictions_same,embedding_predictions_agree,vlm_predictions_agree,bucket_memberships
baskauf/10942,baskauf_10942.jpg,ind-baskauf/10938,twig,Rhus copallinum,Rhus glabra,0.73002172,"[{""species"": ""Rhus glabra"", ""confidence"": 0.7300217151641846}, {""species"": ""Rhus copallinum"", ""confidence"": 0.2685600221157074}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.0010975432815030217}, {""species"": ""Rhus aromatica"", ""confidence"": 0.0003144514048472047}, {""species"": ""Sorbus americana"", ""confidence"": 1.8697963923841598e-06}]",False,True,Lindera benzoin,0.19684103,"[{""species"": ""Lindera benzoin"", ""confidence"": 0.1968410255584364}, {""species"": ""Carya cordiformis"", ""confidence"": 0.13623240602734907}, {""species"": ""Rhus copallinum"", ""confidence"": 0.07983444384253013}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.07236312636463078}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.06443747962300586}]",False,True,Betula lenta,0.36,"[{""species"": ""Betula lenta"", ""confidence"": 0.36}, {""species"": ""Prunus serotina"", ""confidence"": 0.28}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.18}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.1}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.07}]",False,False,Carpinus caroliniana,0.7,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.6}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.5}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.4}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.3}]",False,False,winged sumac,Anacardiaceae,twig,winter overall,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2twclose10942.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2twclose10942.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/11690,baskauf_11690.jpg,ind-baskauf/11687,bark,Ulmus americana,Robinia pseudoacacia,0.93680865,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9368086457252502}, {""species"": ""Carya ovata"", ""confidence"": 0.017158249393105507}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.013362857513129711}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.013362857513129711}, {""species"": ""Carya cordiformis"", ""confidence"": 0.0071526216343045235}]",False,False,Carya ovata,0.41536965,"[{""species"": ""Carya ovata"", ""confidence"": 0.4153696508811942}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.2055934687314407}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.08613499856801386}, {""species"": ""Fraxinus americana"", ""confidence"": 0.03670045587488609}, {""species"": ""Salix nigra"", ""confidence"": 0.02876187723908252}]",False,False,Ostrya virginiana,0.72,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.72}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.18}, {""species"": ""Carya ovata"", ""confidence"": 0.11}, {""species"": ""Ulmus rubra"", ""confidence"": 0.08}, {""species"": ""Castanea dentata"", ""confidence"": 0.06}]",False,False,Carpinus caroliniana,0.7,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.6}, {""species"": ""Ulmus rubra"", ""confidence"": 0.5}, {""species"": ""Carya ovata"", ""confidence"": 0.4}, {""species"": ""Quercus rubra"", ""confidence"": 0.3}]",False,False,American elm,Ulmaceae,bark,of a small tree or small branch,https://bioimages.vanderbilt.edu/tn/baskauf/tulam--brsmall11690.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gulam--brsmall11690.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/11812,baskauf_11812.jpg,ind-baskauf/11812,bark,Juglans cinerea,Gleditsia triacanthos,0.38796893,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.38796892762184143}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.3021504878997803}, {""species"": ""Carya ovata"", ""confidence"": 0.3021504878997803}, {""species"": ""Salix nigra"", ""confidence"": 0.007105898577719927}, {""species"": ""Carya cordiformis"", ""confidence"": 0.00014747821842320263}]",False,False,Gymnocladus dioicus,0.16334151,"[{""species"": ""Gymnocladus dioicus"", ""confidence"": 0.1633415061613669}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.11804784235156211}, {""species"": ""Salix nigra"", ""confidence"": 0.08453415523508717}, {""species"": ""Quercus bicolor"", ""confidence"": 0.06506159285224272}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.06472211937639827}]",False,False,Carya ovata,0.44,"[{""species"": ""Carya ovata"", ""confidence"": 0.44}, {""species"": ""Carya laciniosa"", ""confidence"": 0.24}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.14}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.1}, {""species"": ""Castanea dentata"", ""confidence"": 0.07}]",False,False,Juglans nigra,0.6,"[{""species"": ""Juglans nigra"", ""confidence"": 0.6}, {""species"": ""Carya laciniosa"", ""confidence"": 0.5}, {""species"": ""Carya ovata"", ""confidence"": 0.4}, {""species"": ""Ulmus rubra"", ""confidence"": 0.3}, {""species"": ""Quercus alba"", ""confidence"": 0.2}]",False,False,butternut,Juglandaceae,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/tn/baskauf/tjuci--brmed-close11812.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gjuci--brmed-close11812.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/37287,baskauf_37287.jpg,ind-baskauf/37284,bark,Betula lenta,Prunus serotina,0.83887666,"[{""species"": ""Prunus serotina"", ""confidence"": 0.8388766646385193}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.11352960765361786}, {""species"": ""Ilex verticillata"", ""confidence"": 0.01741032861173153}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.010559898801147938}, {""species"": ""Betula lenta"", ""confidence"": 0.008224057964980602}]",False,True,Betula alleghaniensis,0.23740053,"[{""species"": ""Betula alleghaniensis"", ""confidence"": 0.23740052735976205}, {""species"": ""Betula lenta"", ""confidence"": 0.23681325202927672}, {""species"": ""Prunus serotina"", ""confidence"": 0.12897054767211183}, {""species"": ""Juglans cinerea"", ""confidence"": 0.0786562420968721}, {""species"": ""Pinus strobus"", ""confidence"": 0.06082156391509867}]",False,True,Betula lenta,0.44,"[{""species"": ""Betula lenta"", ""confidence"": 0.44}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.23}, {""species"": ""Prunus serotina"", ""confidence"": 0.15}, {""species"": ""Populus tremuloides"", ""confidence"": 0.11}, {""species"": ""Betula papyrifera"", ""confidence"": 0.08}]",True,True,Betula lenta,0.7,"[{""species"": ""Betula lenta"", ""confidence"": 0.7}, {""species"": ""Betula papyrifera"", ""confidence"": 0.6}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.5}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.4}, {""species"": ""Acer saccharum"", ""confidence"": 0.3}]",True,True,sweet birch,Betulaceae,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/tn/baskauf/tbele--br37287.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gbele--br37287.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,2,0011,3,False,False,True,bioclip_wrong_vlm_rescue|bioclip_and_dino_wrong|embedding_disagreement
baskauf/37293,baskauf_37293.jpg,ind-baskauf/37284,bark,Betula lenta,Betula alleghaniensis,0.93834269,"[{""species"": ""Betula alleghaniensis"", ""confidence"": 0.9383426904678345}, {""species"": ""Ilex verticillata"", ""confidence"": 0.017186345532536507}, {""species"": ""Betula lenta"", ""confidence"": 0.017186345532536507}, {""species"": ""Prunus serotina"", ""confidence"": 0.010424045845866203}, {""species"": ""Sorbus americana"", ""confidence"": 0.00811825506389141}]",False,True,Prunus serotina,0.21063469,"[{""species"": ""Prunus serotina"", ""confidence"": 0.2106346877550127}, {""species"": ""Pinus strobus"", ""confidence"": 0.20460346164605833}, {""species"": ""Juglans cinerea"", ""confidence"": 0.10381991365213765}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.05201958085956597}, {""species"": ""Acer rubrum"", ""confidence"": 0.03764960288944915}]",False,False,Prunus serotina,0.63,"[{""species"": ""Prunus serotina"", ""confidence"": 0.63}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.57}, {""species"": ""Prunus virginiana"", ""confidence"": 0.34}, {""species"": ""Betula lenta"", ""confidence"": 0.18}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.11}]",False,True,Carpinus caroliniana,0.6,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.6}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.5}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.4}, {""species"": ""Betula papyrifera"", ""confidence"": 0.3}, {""species"": ""Acer rubrum"", ""confidence"": 0.2}]",False,False,sweet birch,Betulaceae,bark,of a small tree or small branch,https://bioimages.vanderbilt.edu/tn/baskauf/tbele--brsmall37293.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gbele--brsmall37293.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,3,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/37296,baskauf_37296.jpg,ind-baskauf/37284,twig,Betula lenta,Amelanchier arborea,0.61507678,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.6150767803192139}, {""species"": ""Sorbus americana"", ""confidence"": 0.22627413272857666}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.1372421830892563}, {""species"": ""Betula lenta"", ""confidence"": 0.012765510939061642}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.004144354723393917}]",False,True,Rhus aromatica,0.2114889,"[{""species"": ""Rhus aromatica"", ""confidence"": 0.21148890361657002}, {""species"": ""Prunus serotina"", ""confidence"": 0.20641949361530312}, {""species"": ""Cercis canadensis"", ""confidence"": 0.08236292232138583}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.044158821316706655}, {""species"": ""Cornus amomum"", ""confidence"": 0.0438364160724922}]",False,False,Ostrya virginiana,0.42,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.42}, {""species"": ""Betula lenta"", ""confidence"": 0.24}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.14}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.11}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.08}]",False,True,Carpinus caroliniana,0.7,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.6}, {""species"": ""Betula lenta"", ""confidence"": 0.5}, {""species"": ""Acer saccharum"", ""confidence"": 0.4}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.3}]",False,True,sweet birch,Betulaceae,twig,winter overall,https://bioimages.vanderbilt.edu/tn/baskauf/tbele--tw37296.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gbele--tw37296.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/51186,baskauf_51186.jpg,vanderbilt/12-11,inflorescence,Quercus bicolor,Quercus palustris,0.89822119,"[{""species"": ""Quercus palustris"", ""confidence"": 0.8982211947441101}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.0946718156337738}, {""species"": ""Quercus rubra"", ""confidence"": 0.0028588413260877132}, {""species"": ""Quercus bicolor"", ""confidence"": 0.0022264677099883556}, {""species"": ""Quercus alba"", ""confidence"": 0.001964850816875696}]",False,True,Quercus palustris,0.31776012,"[{""species"": ""Quercus palustris"", ""confidence"": 0.31776011570623014}, {""species"": ""Carya cordiformis"", ""confidence"": 0.0642339043764193}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.058847245533068276}, {""species"": ""Populus deltoides"", ""confidence"": 0.04954855977218578}, {""species"": ""Quercus bicolor"", ""confidence"": 0.04657692361534598}]",False,True,Quercus alba,0.42,"[{""species"": ""Quercus alba"", ""confidence"": 0.42}, {""species"": ""Quercus bicolor"", ""confidence"": 0.22}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.14}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.11}, {""species"": ""Quercus rubra"", ""confidence"": 0.08}]",False,True,Quercus alba,0.8,"[{""species"": ""Quercus alba"", ""confidence"": 0.8}, {""species"": ""Quercus rubra"", ""confidence"": 0.7}, {""species"": ""Quercus bicolor"", ""confidence"": 0.6}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.5}, {""species"": ""Quercus velutina"", ""confidence"": 0.4}]",False,True,swamp white oak,Fagaceae,inflorescence,whole - male,https://bioimages.vanderbilt.edu/tn/baskauf/tqubi--flmale51186.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gqubi--flmale51186.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,0,0000,2,False,True,True,all_four_wrong|bioclip_and_dino_wrong|vlm_embedding_consensus_conflict
baskauf/91110,baskauf_91110.jpg,vanderbilt/12-11,whole tree (or vine),Quercus bicolor,Ostrya virginiana,0.73424089,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.7342408895492554}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.12759192287921906}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.07738841325044632}, {""species"": ""Juglans cinerea"", ""confidence"": 0.015238682739436626}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.011867898516356945}]",False,False,Fraxinus americana,0.24221475,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.24221475222628178}, {""species"": ""Juglans nigra"", ""confidence"": 0.1424185454274228}, {""species"": ""Quercus rubra"", ""confidence"": 0.12407884529537777}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.07116224468399764}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.05028334449317431}]",False,False,Quercus alba,0.43,"[{""species"": ""Quercus alba"", ""confidence"": 0.43}, {""species"": ""Quercus rubra"", ""confidence"": 0.26}, {""species"": ""Quercus palustris"", ""confidence"": 0.12}, {""species"": ""Quercus bicolor"", ""confidence"": 0.09}, {""species"": ""Quercus velutina"", ""confidence"": 0.07}]",False,True,Quercus alba,0.7,"[{""species"": ""Quercus alba"", ""confidence"": 0.7}, {""species"": ""Quercus rubra"", ""confidence"": 0.6}, {""species"": ""Quercus bicolor"", ""confidence"": 0.5}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.4}, {""species"": ""Quercus velutina"", ""confidence"": 0.3}]",False,True,swamp white oak,Fagaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/t91110.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g91110.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,0,0000,3,False,False,True,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
ssmv/2-638-01,ssmv_2-638-01.jpg,vanderbilt/3-108,bark,Fraxinus americana,Fraxinus pennsylvanica,0.58801085,"[{""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.588010847568512}, {""species"": ""Fraxinus americana"", ""confidence"": 0.2777566611766815}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.11578619480133057}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.009504309855401516}, {""species"": ""Tilia americana"", ""confidence"": 0.0021206983365118504}]",False,True,Sassafras albidum,0.48752604,"[{""species"": ""Sassafras albidum"", ""confidence"": 0.4875260359673901}, {""species"": ""Salix nigra"", ""confidence"": 0.10657208368570101}, {""species"": ""Acer saccharum"", ""confidence"": 0.07963880840508304}, {""species"": ""Fraxinus americana"", ""confidence"": 0.05034894080876215}, {""species"": ""Quercus alba"", ""confidence"": 0.04050952013239581}]",False,True,Quercus alba,0.45,"[{""species"": ""Quercus alba"", ""confidence"": 0.45}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.22}, {""species"": ""Quercus bicolor"", ""confidence"": 0.13}, {""species"": ""Carya ovata"", ""confidence"": 0.1}, {""species"": ""Platanus occidentalis"", ""confidence"": 0.06}]",False,False,Quercus alba,0.7,"[{""species"": ""Quercus alba"", ""confidence"": 0.7}, {""species"": ""Quercus bicolor"", ""confidence"": 0.6}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.5}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.4}, {""species"": ""Quercus rubra"", ""confidence"": 0.3}]",False,False,white ash,Oleaceae,bark,of a large tree,https://bioimages.vanderbilt.edu/tn/ssmv/t2-638-01.jpg,https://bioimages.vanderbilt.edu/gq/ssmv/g2-638-01.jpg,Vamsi Subraveti,http://creativecommons.org/licenses/by/4.0/,4,0,0000,3,False,False,True,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
ssmv/2-638-02,ssmv_2-638-02.jpg,vanderbilt/3-108,whole tree (or vine),Fraxinus americana,Quercus palustris,0.64122391,"[{""species"": ""Quercus palustris"", ""confidence"": 0.6412239074707031}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.18371373414993286}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.08678022027015686}, {""species"": ""Quercus bicolor"", ""confidence"": 0.06758449971675873}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.011744425632059574}]",False,False,Quercus alba,0.4874627,"[{""species"": ""Quercus alba"", ""confidence"": 0.4874626976934793}, {""species"": ""Fraxinus americana"", ""confidence"": 0.14215219343625188}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.13991688311276226}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.050067165331398336}, {""species"": ""Quercus rubra"", ""confidence"": 0.03519175459136254}]",False,True,Gleditsia triacanthos,0.58,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.58}, {""species"": ""Fraxinus americana"", ""confidence"": 0.24}, {""species"": ""Juglans nigra"", ""confidence"": 0.14}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.08}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.05}]",False,True,Quercus alba,0.7,"[{""species"": ""Quercus alba"", ""confidence"": 0.7}, {""species"": ""Quercus rubra"", ""confidence"": 0.6}, {""species"": ""Quercus velutina"", ""confidence"": 0.5}, {""species"": ""Quercus bicolor"", ""confidence"": 0.4}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.3}]",False,False,white ash,Oleaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/ssmv/t2-638-02.jpg,https://bioimages.vanderbilt.edu/gq/ssmv/g2-638-02.jpg,Vamsi Subraveti,http://creativecommons.org/licenses/by/4.0/,4,0,0000,3,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
