image_id,file,observation_id,organ_category,ground_truth_species,bioclip_prediction,bioclip_score,bioclip_top5,bioclip_correct,bioclip_top5_correct,dinov3_prediction,dinov3_score,dinov3_top5,dinov3_correct,dinov3_top5_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_top5,gpt_5_4_correct,gpt_5_4_top5_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_top5,gemini_flash_lite_correct,gemini_flash_lite_top5_correct,vernacular,family,organ_detail,subview,thumbnail_url,image_url,creator,license,observation_image_count,correct_count,correctness_pattern,prediction_unique_count,all_predictions_same,embedding_predictions_agree,vlm_predictions_agree,bucket_memberships
baskauf/10904,baskauf_10904.jpg,ind-baskauf/10904,whole tree (or vine),Ailanthus altissima,Ailanthus altissima,0.99999321,"[{""species"": ""Ailanthus altissima"", ""confidence"": 0.9999932050704956}, {""species"": ""Rhus copallinum"", ""confidence"": 6.144170583866071e-06}, {""species"": ""Rhus glabra"", ""confidence"": 5.714969120163005e-07}, {""species"": ""Juglans nigra"", ""confidence"": 1.8189493244946675e-09}, {""species"": ""Carya cordiformis"", ""confidence"": 1.8189493244946675e-09}]",True,True,Gleditsia triacanthos,0.38346931,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.3834693122109757}, {""species"": ""Rhus glabra"", ""confidence"": 0.16939954753712946}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.15082599717598372}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.11114565521175718}, {""species"": ""Sorbus americana"", ""confidence"": 0.06508809822387858}]",False,True,Rhus glabra,0.95,"[{""species"": ""Rhus glabra"", ""confidence"": 0.95}, {""species"": ""Juglans nigra"", ""confidence"": 0.28}, {""species"": ""Sorbus americana"", ""confidence"": 0.17}, {""species"": ""Carya cordiformis"", ""confidence"": 0.12}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.06}]",False,True,Rhus glabra,0.8,"[{""species"": ""Rhus glabra"", ""confidence"": 0.8}, {""species"": ""Rhus copallinum"", ""confidence"": 0.7}, {""species"": ""Rhus aromatica"", ""confidence"": 0.6}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.4}, {""species"": ""Toxicodendron radicans"", ""confidence"": 0.3}]",False,True,tree of heaven,Simaroubaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/taial--wpsmall10904.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gaial--wpsmall10904.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,1,1,1000,3,False,False,True,bioclip_only_correct|embedding_disagreement
baskauf/10938,baskauf_10938.jpg,ind-baskauf/10938,leaf,Rhus copallinum,Rhus copallinum,0.97061926,"[{""species"": ""Rhus copallinum"", ""confidence"": 0.970619261264801}, {""species"": ""Rhus glabra"", ""confidence"": 0.029310163110494614}, {""species"": ""Rhus aromatica"", ""confidence"": 3.4318672987865284e-05}, {""species"": ""Toxicodendron radicans"", ""confidence"": 1.4306149751064368e-05}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 8.677118785271887e-06}]",True,True,Juglans nigra,0.41119166,"[{""species"": ""Juglans nigra"", ""confidence"": 0.4111916623178077}, {""species"": ""Rhus copallinum"", ""confidence"": 0.24413140542974915}, {""species"": ""Fraxinus americana"", ""confidence"": 0.11071957534293428}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.03554348439534929}, {""species"": ""Sambucus racemosa"", ""confidence"": 0.020995174701926182}]",False,True,Cornus amomum,0.68,"[{""species"": ""Cornus amomum"", ""confidence"": 0.68}, {""species"": ""Cornus sericea"", ""confidence"": 0.55}, {""species"": ""Cornus racemosa"", ""confidence"": 0.39}, {""species"": ""Cornus florida"", ""confidence"": 0.14}, {""species"": ""Salix nigra"", ""confidence"": 0.07}]",False,False,Juglans nigra,0.7,"[{""species"": ""Juglans nigra"", ""confidence"": 0.7}, {""species"": ""Juglans cinerea"", ""confidence"": 0.6}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.5}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.4}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.3}]",False,False,winged sumac,Anacardiaceae,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2lfseveral10938.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2lfseveral10938.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,1,1000,3,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/10939,baskauf_10939.jpg,ind-baskauf/10938,leaf,Rhus copallinum,Rhus copallinum,0.99806911,"[{""species"": ""Rhus copallinum"", ""confidence"": 0.9980691075325012}, {""species"": ""Rhus glabra"", ""confidence"": 0.0019267266616225243}, {""species"": ""Rhus aromatica"", ""confidence"": 3.7194572541920934e-06}, {""species"": ""Toxicodendron radicans"", ""confidence"": 1.1231787766519119e-07}, {""species"": ""Sorbus americana"", ""confidence"": 7.719487626900445e-08}]",True,True,Juglans nigra,0.48710879,"[{""species"": ""Juglans nigra"", ""confidence"": 0.4871087856885029}, {""species"": ""Rhus copallinum"", ""confidence"": 0.29845863597091504}, {""species"": ""Rhus glabra"", ""confidence"": 0.07557464325051295}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.03320606167463892}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.024064682095223923}]",False,True,Ailanthus altissima,0.97,"[{""species"": ""Ailanthus altissima"", ""confidence"": 0.97}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.22}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.13}, {""species"": ""Juglans nigra"", ""confidence"": 0.06}, {""species"": ""Rhus glabra"", ""confidence"": 0.03}]",False,False,Ailanthus altissima,0.7,"[{""species"": ""Ailanthus altissima"", ""confidence"": 0.7}, {""species"": ""Fraxinus americana"", ""confidence"": 0.5}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.4}, {""species"": ""Juglans nigra"", ""confidence"": 0.3}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.2}]",False,False,winged sumac,Anacardiaceae,leaf,whole upper surface,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2lf10939.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2lf10939.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,1,1000,3,False,False,True,bioclip_only_correct|embedding_disagreement
baskauf/11449,baskauf_11449.jpg,ind-baskauf/11449,bark,Betula alleghaniensis,Betula alleghaniensis,0.92396325,"[{""species"": ""Betula alleghaniensis"", ""confidence"": 0.9239632487297058}, {""species"": ""Betula lenta"", ""confidence"": 0.07584352046251297}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.00018799729878082871}, {""species"": ""Ostrya virginiana"", ""confidence"": 1.4353771575770224e-06}, {""species"": ""Castanea dentata"", ""confidence"": 1.4353771575770224e-06}]",True,True,Prunus serotina,0.25348712,"[{""species"": ""Prunus serotina"", ""confidence"": 0.25348711698425336}, {""species"": ""Betula lenta"", ""confidence"": 0.21319901389508883}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.18166357497051397}, {""species"": ""Fraxinus americana"", ""confidence"": 0.0760493317911065}, {""species"": ""Carya cordiformis"", ""confidence"": 0.051087960918936734}]",False,True,Populus tremuloides,0.42,"[{""species"": ""Populus tremuloides"", ""confidence"": 0.42}, {""species"": ""Betula lenta"", ""confidence"": 0.24}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.13}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.11}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.08}]",False,False,Betula papyrifera,0.7,"[{""species"": ""Betula papyrifera"", ""confidence"": 0.7}, {""species"": ""Betula lenta"", ""confidence"": 0.6}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.5}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.4}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.3}]",False,True,yellow birch,Betulaceae,bark,of a large tree,https://bioimages.vanderbilt.edu/tn/baskauf/tbeal2-brlarge11449.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gbeal2-brlarge11449.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,1,1,1000,4,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/11687,baskauf_11687.jpg,ind-baskauf/11687,leaf,Ulmus americana,Ulmus americana,0.99591583,"[{""species"": ""Ulmus americana"", ""confidence"": 0.9959158301353455}, {""species"": ""Ulmus rubra"", ""confidence"": 0.004070080351084471}, {""species"": ""Celtis occidentalis"", ""confidence"": 6.119118552305736e-06}, {""species"": ""Carpinus caroliniana"", ""confidence"": 6.119118552305736e-06}, {""species"": ""Fagus grandifolia"", ""confidence"": 1.365359935334709e-06}]",True,True,Betula alleghaniensis,0.23327088,"[{""species"": ""Betula alleghaniensis"", ""confidence"": 0.23327088156488984}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.13636732994929232}, {""species"": ""Betula lenta"", ""confidence"": 0.11184019586137194}, {""species"": ""Castanea dentata"", ""confidence"": 0.08529685835065938}, {""species"": ""Ulmus americana"", ""confidence"": 0.07708749058279371}]",False,True,Ostrya virginiana,0.57,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.57}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.23}, {""species"": ""Ulmus americana"", ""confidence"": 0.11}, {""species"": ""Ulmus rubra"", ""confidence"": 0.06}, {""species"": ""Betula lenta"", ""confidence"": 0.04}]",False,True,Ulmus rubra,0.8,"[{""species"": ""Ulmus rubra"", ""confidence"": 0.8}, {""species"": ""Ulmus americana"", ""confidence"": 0.7}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.5}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.4}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.3}]",False,True,American elm,Ulmaceae,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/tn/baskauf/tulam--lfseveral11687.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gulam--lfseveral11687.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,1,1000,4,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/11813,baskauf_11813.jpg,ind-baskauf/11812,bark,Juglans cinerea,Juglans cinerea,0.99224782,"[{""species"": ""Juglans cinerea"", ""confidence"": 0.9922478199005127}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.004055090248584747}, {""species"": ""Carya cordiformis"", ""confidence"": 0.002459536539390683}, {""species"": ""Juglans nigra"", ""confidence"": 0.0011618026765063405}, {""species"": ""Ostrya virginiana"", ""confidence"": 3.096099680988118e-05}]",True,True,Robinia pseudoacacia,0.52385797,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.5238579740655966}, {""species"": ""Carya ovata"", ""confidence"": 0.09955064834966189}, {""species"": ""Juglans cinerea"", ""confidence"": 0.0893557969247912}, {""species"": ""Carya cordiformis"", ""confidence"": 0.07351559640159024}, {""species"": ""Toxicodendron radicans"", ""confidence"": 0.030453276228725665}]",False,True,Fraxinus americana,0.34,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.34}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.23}, {""species"": ""Carya cordiformis"", ""confidence"": 0.17}, {""species"": ""Juglans cinerea"", ""confidence"": 0.11}, {""species"": ""Acer negundo"", ""confidence"": 0.08}]",False,True,Ulmus rubra,0.6,"[{""species"": ""Ulmus rubra"", ""confidence"": 0.6}, {""species"": ""Ulmus americana"", ""confidence"": 0.55}, {""species"": ""Fraxinus americana"", ""confidence"": 0.4}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.35}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.3}]",False,False,butternut,Juglandaceae,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/tn/baskauf/tjuci--brmedium11813.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gjuci--brmedium11813.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,1,1000,4,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/11815,baskauf_11815.jpg,ind-baskauf/11812,whole tree (or vine),Juglans cinerea,Juglans cinerea,0.99719572,"[{""species"": ""Juglans cinerea"", ""confidence"": 0.9971957206726074}, {""species"": ""Juglans nigra"", ""confidence"": 0.0024718011263757944}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.00013944947568234056}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.00010860336624318734}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 6.58712669974193e-05}]",True,True,Robinia pseudoacacia,0.19782651,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.1978265054150614}, {""species"": ""Sassafras albidum"", ""confidence"": 0.11969098215493813}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.10292911714146465}, {""species"": ""Juglans cinerea"", ""confidence"": 0.09073446560262372}, {""species"": ""Acer negundo"", ""confidence"": 0.08166621525290153}]",False,True,Robinia pseudoacacia,0.76,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.76}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.36}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.24}, {""species"": ""Fraxinus americana"", ""confidence"": 0.16}, {""species"": ""Juglans nigra"", ""confidence"": 0.1}]",False,False,Gymnocladus dioicus,0.7,"[{""species"": ""Gymnocladus dioicus"", ""confidence"": 0.7}, {""species"": ""Juglans nigra"", ""confidence"": 0.6}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.5}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.4}, {""species"": ""Acer negundo"", ""confidence"": 0.3}]",False,False,butternut,Juglandaceae,whole tree (or vine),view up trunk,https://bioimages.vanderbilt.edu/tn/baskauf/tjuci--wplookup-med11815.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gjuci--wplookup-med11815.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,1,1000,3,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/11995,baskauf_11995.jpg,ind-baskauf/11993,twig,Carya cordiformis,Carya cordiformis,0.91697967,"[{""species"": ""Carya cordiformis"", ""confidence"": 0.9169796705245972}, {""species"": ""Juglans cinerea"", ""confidence"": 0.05173245444893837}, {""species"": ""Carya ovata"", ""confidence"": 0.02443668060004711}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.005452560260891914}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.0006512154941447079}]",True,True,Tilia americana,0.31408489,"[{""species"": ""Tilia americana"", ""confidence"": 0.3140848864362443}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.24330304643432013}, {""species"": ""Aesculus glabra"", ""confidence"": 0.09007623544905799}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.08364331429438523}, {""species"": ""Carya cordiformis"", ""confidence"": 0.03198282298471753}]",False,True,Lonicera morrowii,0.38,"[{""species"": ""Lonicera morrowii"", ""confidence"": 0.38}, {""species"": ""Cornus amomum"", ""confidence"": 0.2}, {""species"": ""Cornus racemosa"", ""confidence"": 0.16}, {""species"": ""Cornus sericea"", ""confidence"": 0.13}, {""species"": ""Acer negundo"", ""confidence"": 0.08}]",False,False,Carpinus caroliniana,0.7,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Lindera benzoin"", ""confidence"": 0.6}, {""species"": ""Cornus racemosa"", ""confidence"": 0.5}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.4}, {""species"": ""Viburnum opulus"", ""confidence"": 0.3}]",False,False,bitternut hickory,Juglandaceae,twig,close-up winter leaf scar/bud,https://bioimages.vanderbilt.edu/tn/baskauf/tcaco15twax-bud11995.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gcaco15twax-bud11995.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,1,1000,4,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/11996,baskauf_11996.jpg,ind-baskauf/11993,whole tree (or vine),Carya cordiformis,Carya cordiformis,0.88550961,"[{""species"": ""Carya cordiformis"", ""confidence"": 0.8855096101760864}, {""species"": ""Fraxinus americana"", ""confidence"": 0.0726870596408844}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.0343349352478981}, {""species"": ""Carya ovata"", ""confidence"": 0.0028183830436319113}, {""species"": ""Juglans cinerea"", ""confidence"": 0.001709435717202723}]",True,True,Robinia pseudoacacia,0.1862655,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.18626550272099246}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.16141251971777254}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.09314775255473566}, {""species"": ""Tilia americana"", ""confidence"": 0.08608504011428977}, {""species"": ""Ulmus rubra"", ""confidence"": 0.05910674777038611}]",False,False,Ailanthus altissima,0.82,"[{""species"": ""Ailanthus altissima"", ""confidence"": 0.82}, {""species"": ""Fraxinus americana"", ""confidence"": 0.27}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.21}, {""species"": ""Juglans nigra"", ""confidence"": 0.14}, {""species"": ""Rhus glabra"", ""confidence"": 0.1}]",False,False,Fraxinus americana,0.7,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.7}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.65}, {""species"": ""Ulmus americana"", ""confidence"": 0.5}, {""species"": ""Ulmus rubra"", ""confidence"": 0.45}, {""species"": ""Acer negundo"", ""confidence"": 0.4}]",False,False,bitternut hickory,Juglandaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/tcaco15wpsmall11996.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gcaco15wpsmall11996.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,1,1000,4,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/11997,baskauf_11997.jpg,ind-baskauf/11993,twig,Carya cordiformis,Carya cordiformis,0.99939871,"[{""species"": ""Carya cordiformis"", ""confidence"": 0.9993987083435059}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.0003352609055582434}, {""species"": ""Juglans cinerea"", ""confidence"": 0.00023042122484184802}, {""species"": ""Carya ovata"", ""confidence"": 2.751989450189285e-05}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 2.2589704258280108e-06}]",True,True,Fraxinus pennsylvanica,0.3639806,"[{""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.36398060144539013}, {""species"": ""Aesculus glabra"", ""confidence"": 0.11692036773722499}, {""species"": ""Carya cordiformis"", ""confidence"": 0.07877100932078351}, {""species"": ""Acer negundo"", ""confidence"": 0.06824011899823434}, {""species"": ""Tilia americana"", ""confidence"": 0.049860441374361894}]",False,True,Tilia americana,0.34,"[{""species"": ""Tilia americana"", ""confidence"": 0.34}, {""species"": ""Ulmus rubra"", ""confidence"": 0.24}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.17}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.11}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.08}]",False,False,Gleditsia triacanthos,0.7,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.7}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.6}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.5}, {""species"": ""Cercis canadensis"", ""confidence"": 0.4}, {""species"": ""Acer negundo"", ""confidence"": 0.3}]",False,False,bitternut hickory,Juglandaceae,twig,close-up winter terminal bud,https://bioimages.vanderbilt.edu/tn/baskauf/tcaco15twterm-bud11997.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gcaco15twterm-bud11997.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,1,1000,4,False,False,False,bioclip_only_correct|embedding_disagreement
