image_id,file,observation_id,organ_category,ground_truth_species,bioclip_prediction,bioclip_score,bioclip_top5,bioclip_correct,bioclip_top5_correct,dinov3_prediction,dinov3_score,dinov3_top5,dinov3_correct,dinov3_top5_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_top5,gpt_5_4_correct,gpt_5_4_top5_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_top5,gemini_flash_lite_correct,gemini_flash_lite_top5_correct,vernacular,family,organ_detail,subview,thumbnail_url,image_url,creator,license,observation_image_count,correct_count,correctness_pattern,prediction_unique_count,all_predictions_same,embedding_predictions_agree,vlm_predictions_agree,bucket_memberships
baskauf/10432,baskauf_10432.jpg,ind-baskauf/10432,bark,Fagus grandifolia,Fagus grandifolia,0.99959069,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.9995906949043274}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.0002033850905718282}, {""species"": ""Amelanchier arborea"", ""confidence"": 9.607231186237186e-05}, {""species"": ""Carpinus caroliniana"", ""confidence"": 3.534302959451452e-05}, {""species"": ""Platanus occidentalis"", ""confidence"": 2.4290884539368562e-05}]",True,True,Carpinus caroliniana,0.46160825,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.4616082471027067}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.15683081764169682}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.03949132615536679}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.02746003816759223}, {""species"": ""Toxicodendron radicans"", ""confidence"": 0.023389243679434985}]",False,True,Fagus grandifolia,0.38,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.38}, {""species"": ""Populus tremuloides"", ""confidence"": 0.26}, {""species"": ""Betula papyrifera"", ""confidence"": 0.15}, {""species"": ""Populus grandidentata"", ""confidence"": 0.11}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.08}]",True,True,Fagus grandifolia,0.9,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.9}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.6}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.4}, {""species"": ""Betula lenta"", ""confidence"": 0.3}, {""species"": ""Quercus alba"", ""confidence"": 0.2}]",True,True,American beech,Fagaceae,bark,of a large tree,https://bioimages.vanderbilt.edu/tn/baskauf/tfagr--br10432.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gfagr--br10432.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,5,3,1011,2,False,False,True,embedding_disagreement
baskauf/10550,baskauf_10550.jpg,ind-baskauf/10432,fruit,Fagus grandifolia,Fagus grandifolia,1.0,"[{""species"": ""Fagus grandifolia"", ""confidence"": 1.0}, {""species"": ""Castanea dentata"", ""confidence"": 5.315785500670245e-08}, {""species"": ""Ostrya virginiana"", ""confidence"": 3.850741947530878e-09}, {""species"": ""Viburnum lantanoides"", ""confidence"": 2.998960857425459e-09}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 1.1032560420787263e-09}]",True,True,Platanus occidentalis,0.65410457,"[{""species"": ""Platanus occidentalis"", ""confidence"": 0.6541045727038917}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.13392965043403512}, {""species"": ""Carya ovata"", ""confidence"": 0.04363956320906401}, {""species"": ""Castanea dentata"", ""confidence"": 0.029311967048060487}, {""species"": ""Ulmus americana"", ""confidence"": 0.017790319847818602}]",False,True,Fagus grandifolia,0.95,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.95}, {""species"": ""Castanea dentata"", ""confidence"": 0.18}, {""species"": ""Aesculus glabra"", ""confidence"": 0.06}, {""species"": ""Aesculus hippocastanum"", ""confidence"": 0.04}, {""species"": ""Carya ovata"", ""confidence"": 0.01}]",True,True,Fagus grandifolia,0.9,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.9}, {""species"": ""Castanea dentata"", ""confidence"": 0.7}, {""species"": ""Quercus alba"", ""confidence"": 0.5}, {""species"": ""Quercus bicolor"", ""confidence"": 0.4}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.3}]",True,True,American beech,Fagaceae,fruit,section or open,https://bioimages.vanderbilt.edu/tn/baskauf/tfagr--fr10550.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gfagr--fr10550.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,5,3,1011,2,False,False,True,embedding_disagreement
baskauf/10904,baskauf_10904.jpg,ind-baskauf/10904,whole tree (or vine),Ailanthus altissima,Ailanthus altissima,0.99999321,"[{""species"": ""Ailanthus altissima"", ""confidence"": 0.9999932050704956}, {""species"": ""Rhus copallinum"", ""confidence"": 6.144170583866071e-06}, {""species"": ""Rhus glabra"", ""confidence"": 5.714969120163005e-07}, {""species"": ""Juglans nigra"", ""confidence"": 1.8189493244946675e-09}, {""species"": ""Carya cordiformis"", ""confidence"": 1.8189493244946675e-09}]",True,True,Gleditsia triacanthos,0.38346931,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.3834693122109757}, {""species"": ""Rhus glabra"", ""confidence"": 0.16939954753712946}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.15082599717598372}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.11114565521175718}, {""species"": ""Sorbus americana"", ""confidence"": 0.06508809822387858}]",False,True,Rhus glabra,0.95,"[{""species"": ""Rhus glabra"", ""confidence"": 0.95}, {""species"": ""Juglans nigra"", ""confidence"": 0.28}, {""species"": ""Sorbus americana"", ""confidence"": 0.17}, {""species"": ""Carya cordiformis"", ""confidence"": 0.12}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.06}]",False,True,Rhus glabra,0.8,"[{""species"": ""Rhus glabra"", ""confidence"": 0.8}, {""species"": ""Rhus copallinum"", ""confidence"": 0.7}, {""species"": ""Rhus aromatica"", ""confidence"": 0.6}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.4}, {""species"": ""Toxicodendron radicans"", ""confidence"": 0.3}]",False,True,tree of heaven,Simaroubaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/taial--wpsmall10904.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gaial--wpsmall10904.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,1,1,1000,3,False,False,True,bioclip_only_correct|embedding_disagreement
baskauf/10938,baskauf_10938.jpg,ind-baskauf/10938,leaf,Rhus copallinum,Rhus copallinum,0.97061926,"[{""species"": ""Rhus copallinum"", ""confidence"": 0.970619261264801}, {""species"": ""Rhus glabra"", ""confidence"": 0.029310163110494614}, {""species"": ""Rhus aromatica"", ""confidence"": 3.4318672987865284e-05}, {""species"": ""Toxicodendron radicans"", ""confidence"": 1.4306149751064368e-05}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 8.677118785271887e-06}]",True,True,Juglans nigra,0.41119166,"[{""species"": ""Juglans nigra"", ""confidence"": 0.4111916623178077}, {""species"": ""Rhus copallinum"", ""confidence"": 0.24413140542974915}, {""species"": ""Fraxinus americana"", ""confidence"": 0.11071957534293428}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.03554348439534929}, {""species"": ""Sambucus racemosa"", ""confidence"": 0.020995174701926182}]",False,True,Cornus amomum,0.68,"[{""species"": ""Cornus amomum"", ""confidence"": 0.68}, {""species"": ""Cornus sericea"", ""confidence"": 0.55}, {""species"": ""Cornus racemosa"", ""confidence"": 0.39}, {""species"": ""Cornus florida"", ""confidence"": 0.14}, {""species"": ""Salix nigra"", ""confidence"": 0.07}]",False,False,Juglans nigra,0.7,"[{""species"": ""Juglans nigra"", ""confidence"": 0.7}, {""species"": ""Juglans cinerea"", ""confidence"": 0.6}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.5}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.4}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.3}]",False,False,winged sumac,Anacardiaceae,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2lfseveral10938.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2lfseveral10938.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,1,1000,3,False,False,False,bioclip_only_correct|embedding_disagreement
baskauf/10939,baskauf_10939.jpg,ind-baskauf/10938,leaf,Rhus copallinum,Rhus copallinum,0.99806911,"[{""species"": ""Rhus copallinum"", ""confidence"": 0.9980691075325012}, {""species"": ""Rhus glabra"", ""confidence"": 0.0019267266616225243}, {""species"": ""Rhus aromatica"", ""confidence"": 3.7194572541920934e-06}, {""species"": ""Toxicodendron radicans"", ""confidence"": 1.1231787766519119e-07}, {""species"": ""Sorbus americana"", ""confidence"": 7.719487626900445e-08}]",True,True,Juglans nigra,0.48710879,"[{""species"": ""Juglans nigra"", ""confidence"": 0.4871087856885029}, {""species"": ""Rhus copallinum"", ""confidence"": 0.29845863597091504}, {""species"": ""Rhus glabra"", ""confidence"": 0.07557464325051295}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.03320606167463892}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.024064682095223923}]",False,True,Ailanthus altissima,0.97,"[{""species"": ""Ailanthus altissima"", ""confidence"": 0.97}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.22}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.13}, {""species"": ""Juglans nigra"", ""confidence"": 0.06}, {""species"": ""Rhus glabra"", ""confidence"": 0.03}]",False,False,Ailanthus altissima,0.7,"[{""species"": ""Ailanthus altissima"", ""confidence"": 0.7}, {""species"": ""Fraxinus americana"", ""confidence"": 0.5}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.4}, {""species"": ""Juglans nigra"", ""confidence"": 0.3}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.2}]",False,False,winged sumac,Anacardiaceae,leaf,whole upper surface,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2lf10939.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2lf10939.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,1,1000,3,False,False,True,bioclip_only_correct|embedding_disagreement
baskauf/10942,baskauf_10942.jpg,ind-baskauf/10938,twig,Rhus copallinum,Rhus glabra,0.73002172,"[{""species"": ""Rhus glabra"", ""confidence"": 0.7300217151641846}, {""species"": ""Rhus copallinum"", ""confidence"": 0.2685600221157074}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.0010975432815030217}, {""species"": ""Rhus aromatica"", ""confidence"": 0.0003144514048472047}, {""species"": ""Sorbus americana"", ""confidence"": 1.8697963923841598e-06}]",False,True,Lindera benzoin,0.19684103,"[{""species"": ""Lindera benzoin"", ""confidence"": 0.1968410255584364}, {""species"": ""Carya cordiformis"", ""confidence"": 0.13623240602734907}, {""species"": ""Rhus copallinum"", ""confidence"": 0.07983444384253013}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.07236312636463078}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.06443747962300586}]",False,True,Betula lenta,0.36,"[{""species"": ""Betula lenta"", ""confidence"": 0.36}, {""species"": ""Prunus serotina"", ""confidence"": 0.28}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.18}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.1}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.07}]",False,False,Carpinus caroliniana,0.7,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.6}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.5}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.4}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.3}]",False,False,winged sumac,Anacardiaceae,twig,winter overall,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2twclose10942.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2twclose10942.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/11037,baskauf_11037.jpg,ind-baskauf/11037,leaf,Ulmus rubra,Ulmus rubra,0.99330336,"[{""species"": ""Ulmus rubra"", ""confidence"": 0.9933033585548401}, {""species"": ""Ulmus americana"", ""confidence"": 0.006692825350910425}, {""species"": ""Ostrya virginiana"", ""confidence"": 1.9813758171949303e-06}, {""species"": ""Celtis occidentalis"", ""confidence"": 1.7485579064668855e-06}, {""species"": ""Carpinus caroliniana"", ""confidence"": 1.178169029003584e-08}]",True,True,Tilia americana,0.34325743,"[{""species"": ""Tilia americana"", ""confidence"": 0.3432574317923623}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.20148793460721565}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.15465732807223567}, {""species"": ""Ulmus americana"", ""confidence"": 0.099230481208311}, {""species"": ""Betula lenta"", ""confidence"": 0.05418270706184604}]",False,False,Ostrya virginiana,0.72,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.72}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.58}, {""species"": ""Ulmus americana"", ""confidence"": 0.32}, {""species"": ""Ulmus rubra"", ""confidence"": 0.21}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.12}]",False,True,Ulmus rubra,0.7,"[{""species"": ""Ulmus rubra"", ""confidence"": 0.7}, {""species"": ""Ulmus americana"", ""confidence"": 0.6}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.4}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.3}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.2}]",True,True,slippery elm,Ulmaceae,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/tn/baskauf/tulru--lfseveral11037.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gulru--lfseveral11037.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,2,2,1001,3,False,False,False,embedding_disagreement
baskauf/11038,baskauf_11038.jpg,ind-baskauf/11037,leaf,Ulmus rubra,Ulmus rubra,0.99477899,"[{""species"": ""Ulmus rubra"", ""confidence"": 0.9947789907455444}, {""species"": ""Ulmus americana"", ""confidence"": 0.005220120772719383}, {""species"": ""Celtis occidentalis"", ""confidence"": 5.685169526259415e-07}, {""species"": ""Ostrya virginiana"", ""confidence"": 3.4482297905924497e-07}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 3.634407264030415e-08}]",True,True,Betula alleghaniensis,0.34123859,"[{""species"": ""Betula alleghaniensis"", ""confidence"": 0.3412385866150063}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.31593786681751446}, {""species"": ""Carya cordiformis"", ""confidence"": 0.07222929935128804}, {""species"": ""Betula lenta"", ""confidence"": 0.07217389587749684}, {""species"": ""Tilia americana"", ""confidence"": 0.06369168479354861}]",False,False,Ostrya virginiana,0.72,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.72}, {""species"": ""Ulmus rubra"", ""confidence"": 0.44}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.37}, {""species"": ""Betula lenta"", ""confidence"": 0.21}, {""species"": ""Ulmus americana"", ""confidence"": 0.18}]",False,True,Ulmus rubra,0.8,"[{""species"": ""Ulmus rubra"", ""confidence"": 0.8}, {""species"": ""Ulmus americana"", ""confidence"": 0.7}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.5}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.4}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.3}]",True,True,slippery elm,Ulmaceae,leaf,whole upper surface,https://bioimages.vanderbilt.edu/tn/baskauf/tulru--lf11038.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gulru--lf11038.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,2,2,1001,3,False,False,False,embedding_disagreement
baskauf/11066,baskauf_11066.jpg,ind-baskauf/11064,bark,Populus deltoides,Populus deltoides,0.99998963,"[{""species"": ""Populus deltoides"", ""confidence"": 0.9999896287918091}, {""species"": ""Populus tremuloides"", ""confidence"": 8.939683539210819e-06}, {""species"": ""Tilia americana"", ""confidence"": 1.2098546449124115e-06}, {""species"": ""Ostrya virginiana"", ""confidence"": 6.82553249475859e-08}, {""species"": ""Platanus occidentalis"", ""confidence"": 1.9555479013888544e-08}]",True,True,Quercus rubra,0.15861197,"[{""species"": ""Quercus rubra"", ""confidence"": 0.15861197223389312}, {""species"": ""Populus deltoides"", ""confidence"": 0.10009544100557619}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.09611438117369006}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.0790650170308662}, {""species"": ""Acer negundo"", ""confidence"": 0.05690037330009588}]",False,True,Populus deltoides,0.68,"[{""species"": ""Populus deltoides"", ""confidence"": 0.68}, {""species"": ""Populus grandidentata"", ""confidence"": 0.19}, {""species"": ""Tilia americana"", ""confidence"": 0.12}, {""species"": ""Ulmus americana"", ""confidence"": 0.08}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.05}]",True,True,Juglans nigra,0.8,"[{""species"": ""Juglans nigra"", ""confidence"": 0.8}, {""species"": ""Juglans cinerea"", ""confidence"": 0.7}, {""species"": ""Carya laciniosa"", ""confidence"": 0.6}, {""species"": ""Carya ovata"", ""confidence"": 0.5}, {""species"": ""Carya cordiformis"", ""confidence"": 0.4}]",False,False,eastern cottonwood,Salicaceae,bark,of a large tree,https://bioimages.vanderbilt.edu/tn/baskauf/tpode3-brlarge11066.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gpode3-brlarge11066.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,2,1010,3,False,False,False,embedding_disagreement
baskauf/11449,baskauf_11449.jpg,ind-baskauf/11449,bark,Betula alleghaniensis,Betula alleghaniensis,0.92396325,"[{""species"": ""Betula alleghaniensis"", ""confidence"": 0.9239632487297058}, {""species"": ""Betula lenta"", ""confidence"": 0.07584352046251297}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.00018799729878082871}, {""species"": ""Ostrya virginiana"", ""confidence"": 1.4353771575770224e-06}, {""species"": ""Castanea dentata"", ""confidence"": 1.4353771575770224e-06}]",True,True,Prunus serotina,0.25348712,"[{""species"": ""Prunus serotina"", ""confidence"": 0.25348711698425336}, {""species"": ""Betula lenta"", ""confidence"": 0.21319901389508883}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.18166357497051397}, {""species"": ""Fraxinus americana"", ""confidence"": 0.0760493317911065}, {""species"": ""Carya cordiformis"", ""confidence"": 0.051087960918936734}]",False,True,Populus tremuloides,0.42,"[{""species"": ""Populus tremuloides"", ""confidence"": 0.42}, {""species"": ""Betula lenta"", ""confidence"": 0.24}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.13}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.11}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.08}]",False,False,Betula papyrifera,0.7,"[{""species"": ""Betula papyrifera"", ""confidence"": 0.7}, {""species"": ""Betula lenta"", ""confidence"": 0.6}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.5}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.4}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.3}]",False,True,yellow birch,Betulaceae,bark,of a large tree,https://bioimages.vanderbilt.edu/tn/baskauf/tbeal2-brlarge11449.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gbeal2-brlarge11449.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,1,1,1000,4,False,False,False,bioclip_only_correct|embedding_disagreement
