image_id,file,observation_id,organ_category,ground_truth_species,bioclip_prediction,bioclip_score,bioclip_top5,bioclip_correct,bioclip_top5_correct,dinov3_prediction,dinov3_score,dinov3_top5,dinov3_correct,dinov3_top5_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_top5,gpt_5_4_correct,gpt_5_4_top5_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_top5,gemini_flash_lite_correct,gemini_flash_lite_top5_correct,vernacular,family,organ_detail,subview,thumbnail_url,image_url,creator,license,observation_image_count,correct_count,correctness_pattern,prediction_unique_count,all_predictions_same,embedding_predictions_agree,vlm_predictions_agree,bucket_memberships
baskauf/11070,baskauf_11070.jpg,ind-baskauf/11064,leaf,Populus deltoides,Populus deltoides,0.99998701,"[{""species"": ""Populus deltoides"", ""confidence"": 0.999987006187439}, {""species"": ""Populus tremuloides"", ""confidence"": 1.3007128472963814e-05}, {""species"": ""Tilia americana"", ""confidence"": 1.1860965543064594e-08}, {""species"": ""Toxicodendron radicans"", ""confidence"": 3.5817013244177076e-10}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 3.1608404782446087e-10}]",True,True,Populus deltoides,0.33146024,"[{""species"": ""Populus deltoides"", ""confidence"": 0.3314602447527765}, {""species"": ""Populus tremuloides"", ""confidence"": 0.25635104458646707}, {""species"": ""Platanus occidentalis"", ""confidence"": 0.19026220191690474}, {""species"": ""Tilia americana"", ""confidence"": 0.10992780078595199}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.052508188479987346}]",True,True,Populus tremuloides,0.92,"[{""species"": ""Populus tremuloides"", ""confidence"": 0.92}, {""species"": ""Populus grandidentata"", ""confidence"": 0.33}, {""species"": ""Populus deltoides"", ""confidence"": 0.11}, {""species"": ""Betula papyrifera"", ""confidence"": 0.05}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.03}]",False,True,Populus tremuloides,0.7,"[{""species"": ""Populus tremuloides"", ""confidence"": 0.7}, {""species"": ""Populus grandidentata"", ""confidence"": 0.6}, {""species"": ""Populus deltoides"", ""confidence"": 0.5}, {""species"": ""Acer saccharum"", ""confidence"": 0.2}, {""species"": ""Betula papyrifera"", ""confidence"": 0.1}]",False,True,eastern cottonwood,Salicaceae,leaf,whole upper surface,https://bioimages.vanderbilt.edu/tn/baskauf/tpode3-lf11070.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gpode3-lf11070.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
baskauf/11688,baskauf_11688.jpg,ind-baskauf/11687,leaf,Ulmus americana,Ulmus americana,0.99941862,"[{""species"": ""Ulmus americana"", ""confidence"": 0.9994186162948608}, {""species"": ""Ulmus rubra"", ""confidence"": 0.0005527628236450255}, {""species"": ""Carpinus caroliniana"", ""confidence"": 2.7520442017703317e-05}, {""species"": ""Ostrya virginiana"", ""confidence"": 3.925579790120537e-07}, {""species"": ""Sorbus americana"", ""confidence"": 2.3809845117739314e-07}]",True,True,Ulmus americana,0.30093759,"[{""species"": ""Ulmus americana"", ""confidence"": 0.300937593088154}, {""species"": ""Betula lenta"", ""confidence"": 0.13220378091568882}, {""species"": ""Ulmus rubra"", ""confidence"": 0.12181373306525403}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.10097219321627549}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.08254024443163079}]",True,True,Ostrya virginiana,0.48,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.48}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.21}, {""species"": ""Ulmus americana"", ""confidence"": 0.14}, {""species"": ""Ulmus rubra"", ""confidence"": 0.1}, {""species"": ""Betula lenta"", ""confidence"": 0.06}]",False,True,Ostrya virginiana,0.7,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.7}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.6}, {""species"": ""Ulmus rubra"", ""confidence"": 0.5}, {""species"": ""Betula lenta"", ""confidence"": 0.4}, {""species"": ""Ulmus americana"", ""confidence"": 0.3}]",False,True,American elm,Ulmaceae,leaf,whole upper surface,https://bioimages.vanderbilt.edu/tn/baskauf/tulam--lf11688.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gulam--lf11688.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
baskauf/26131,baskauf_26131.jpg,ind-baskauf/26128,leaf,Picea rubens,Picea rubens,0.99999893,"[{""species"": ""Picea rubens"", ""confidence"": 0.999998927116394}, {""species"": ""Tsuga canadensis"", ""confidence"": 1.0677028967620572e-06}, {""species"": ""Ilex verticillata"", ""confidence"": 4.1399331962566066e-08}, {""species"": ""Juniperus virginiana"", ""confidence"": 2.99895774880099e-09}, {""species"": ""Viburnum lantanoides"", ""confidence"": 2.646570962383521e-09}]",True,True,Picea rubens,0.87639903,"[{""species"": ""Picea rubens"", ""confidence"": 0.876399030232163}, {""species"": ""Pinus strobus"", ""confidence"": 0.057347947791442325}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.042195919563920166}, {""species"": ""Juniperus virginiana"", ""confidence"": 0.008664809737977197}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.0012645316767371409}]",True,True,Picea glauca,0.74,"[{""species"": ""Picea glauca"", ""confidence"": 0.74}, {""species"": ""Picea rubens"", ""confidence"": 0.15}, {""species"": ""Picea mariana"", ""confidence"": 0.07}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.03}, {""species"": ""Pinus strobus"", ""confidence"": 0.01}]",False,True,Picea glauca,0.8,"[{""species"": ""Picea glauca"", ""confidence"": 0.8}, {""species"": ""Picea mariana"", ""confidence"": 0.7}, {""species"": ""Picea rubens"", ""confidence"": 0.6}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.3}, {""species"": ""Pinus strobus"", ""confidence"": 0.2}]",False,True,red spruce,Pinaceae,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/tn/baskauf/tpiru--lf26131.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gpiru--lf26131.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,1,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
baskauf/28756,baskauf_28756.jpg,ind-baskauf/28751,leaf,Sambucus racemosa,Sambucus racemosa,0.99435222,"[{""species"": ""Sambucus racemosa"", ""confidence"": 0.9943522214889526}, {""species"": ""Sorbus americana"", ""confidence"": 0.005217881873250008}, {""species"": ""Sambucus nigra"", ""confidence"": 0.00042830980964936316}, {""species"": ""Viburnum lantanoides"", ""confidence"": 7.296770831999311e-07}, {""species"": ""Rhus copallinum"", ""confidence"": 3.041746481358132e-07}]",True,True,Sambucus racemosa,0.9517528,"[{""species"": ""Sambucus racemosa"", ""confidence"": 0.9517527992520389}, {""species"": ""Sambucus nigra"", ""confidence"": 0.016407277006341807}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.01376901221727145}, {""species"": ""Rhus glabra"", ""confidence"": 0.004129598000411015}, {""species"": ""Carya cordiformis"", ""confidence"": 0.0035421462744818417}]",True,True,Sambucus nigra,0.78,"[{""species"": ""Sambucus nigra"", ""confidence"": 0.78}, {""species"": ""Sambucus racemosa"", ""confidence"": 0.66}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.24}, {""species"": ""Acer negundo"", ""confidence"": 0.18}, {""species"": ""Fraxinus americana"", ""confidence"": 0.15}]",False,True,Sambucus nigra,0.8,"[{""species"": ""Sambucus nigra"", ""confidence"": 0.8}, {""species"": ""Sambucus racemosa"", ""confidence"": 0.7}, {""species"": ""Rhus glabra"", ""confidence"": 0.6}, {""species"": ""Rhus copallinum"", ""confidence"": 0.5}, {""species"": ""Rhus aromatica"", ""confidence"": 0.4}]",False,True,red elderberry,Caprifoliaceae,leaf,whole upper surface,https://bioimages.vanderbilt.edu/tn/baskauf/tsarar3lf28756.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gsarar3lf28756.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
baskauf/39880,baskauf_39880.jpg,ind-baskauf/39879,fruit,Aesculus glabra,Aesculus glabra,0.99998689,"[{""species"": ""Aesculus glabra"", ""confidence"": 0.9999868869781494}, {""species"": ""Castanea dentata"", ""confidence"": 1.300712665397441e-05}, {""species"": ""Ostrya virginiana"", ""confidence"": 6.825514020647461e-08}, {""species"": ""Carya ovata"", ""confidence"": 4.944385345595492e-09}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 4.363405192719938e-09}]",True,True,Aesculus glabra,0.92049981,"[{""species"": ""Aesculus glabra"", ""confidence"": 0.9204998130787485}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.024064758597917617}, {""species"": ""Carya ovata"", ""confidence"": 0.016566817147457648}, {""species"": ""Castanea dentata"", ""confidence"": 0.010172367162455374}, {""species"": ""Carya cordiformis"", ""confidence"": 0.006840970238760654}]",True,True,Aesculus hippocastanum,0.92,"[{""species"": ""Aesculus hippocastanum"", ""confidence"": 0.92}, {""species"": ""Aesculus glabra"", ""confidence"": 0.68}, {""species"": ""Acer platanoides"", ""confidence"": 0.05}, {""species"": ""Acer saccharum"", ""confidence"": 0.03}, {""species"": ""Carya ovata"", ""confidence"": 0.02}]",False,True,Aesculus hippocastanum,0.9,"[{""species"": ""Aesculus hippocastanum"", ""confidence"": 0.9}, {""species"": ""Aesculus glabra"", ""confidence"": 0.7}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.4}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.3}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.2}]",False,True,Ohio buckeye,Hippocastanaceae,fruit,immature,https://bioimages.vanderbilt.edu/tn/baskauf/taegl--frdevel39880.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gaegl--frdevel39880.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,1,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
kirchoff/em2347,kirchoff_em2347.jpg,ind-kirchoff/mason19,fruit,Quercus palustris,Quercus palustris,0.99999774,"[{""species"": ""Quercus palustris"", ""confidence"": 0.9999977350234985}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 1.3709560562347178e-06}, {""species"": ""Quercus rubra"", ""confidence"": 8.315268473779724e-07}, {""species"": ""Quercus bicolor"", ""confidence"": 8.152001740313608e-09}, {""species"": ""Quercus alba"", ""confidence"": 8.592147549002505e-10}]",True,True,Quercus palustris,0.96146411,"[{""species"": ""Quercus palustris"", ""confidence"": 0.9614641145954904}, {""species"": ""Quercus alba"", ""confidence"": 0.0144924901310021}, {""species"": ""Juglans nigra"", ""confidence"": 0.006251988706473482}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.004313205465604034}, {""species"": ""Prunus serotina"", ""confidence"": 0.0016751628338131702}]",True,True,Quercus alba,0.66,"[{""species"": ""Quercus alba"", ""confidence"": 0.66}, {""species"": ""Quercus bicolor"", ""confidence"": 0.21}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.17}, {""species"": ""Quercus palustris"", ""confidence"": 0.11}, {""species"": ""Quercus velutina"", ""confidence"": 0.08}]",False,True,Quercus alba,0.8,"[{""species"": ""Quercus alba"", ""confidence"": 0.8}, {""species"": ""Quercus bicolor"", ""confidence"": 0.7}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.6}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.5}, {""species"": ""Quercus rubra"", ""confidence"": 0.4}]",False,False,pin oak,Fagaceae,fruit,as borne on the plant,https://bioimages.vanderbilt.edu/tn/kirchoff/tem2347.jpg,https://bioimages.vanderbilt.edu/gq/kirchoff/gem2347.jpg,Emily C. Mason,http://creativecommons.org/licenses/by/4.0/,16,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
kirchoff/em2348,kirchoff_em2348.jpg,ind-kirchoff/mason19,fruit,Quercus palustris,Quercus palustris,0.99999833,"[{""species"": ""Quercus palustris"", ""confidence"": 0.9999983310699463}, {""species"": ""Quercus rubra"", ""confidence"": 1.0677022146410309e-06}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 5.714998110306624e-07}, {""species"": ""Quercus bicolor"", ""confidence"": 7.734409024351407e-08}, {""species"": ""Quercus macrocarpa"", ""confidence"": 3.3982621161499083e-09}]",True,True,Quercus palustris,0.97842567,"[{""species"": ""Quercus palustris"", ""confidence"": 0.9784256742790534}, {""species"": ""Quercus rubra"", ""confidence"": 0.008522673214754485}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.002020100438903576}, {""species"": ""Juglans nigra"", ""confidence"": 0.0019013316714547562}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.0012445258963277397}]",True,True,Quercus alba,0.46,"[{""species"": ""Quercus alba"", ""confidence"": 0.46}, {""species"": ""Quercus bicolor"", ""confidence"": 0.24}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.12}, {""species"": ""Quercus palustris"", ""confidence"": 0.09}, {""species"": ""Quercus velutina"", ""confidence"": 0.07}]",False,True,Quercus alba,0.8,"[{""species"": ""Quercus alba"", ""confidence"": 0.8}, {""species"": ""Quercus bicolor"", ""confidence"": 0.7}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.6}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.5}, {""species"": ""Quercus rubra"", ""confidence"": 0.4}]",False,False,pin oak,Fagaceae,fruit,lateral or general close-up,https://bioimages.vanderbilt.edu/tn/kirchoff/tem2348.jpg,https://bioimages.vanderbilt.edu/gq/kirchoff/gem2348.jpg,Emily C. Mason,http://creativecommons.org/licenses/by/4.0/,16,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
kirchoff/em2350,kirchoff_em2350.jpg,ind-kirchoff/mason19,fruit,Quercus palustris,Quercus palustris,0.99996209,"[{""species"": ""Quercus palustris"", ""confidence"": 0.9999620914459229}, {""species"": ""Quercus rubra"", ""confidence"": 2.753540684352629e-05}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 1.0129709153261501e-05}, {""species"": ""Quercus bicolor"", ""confidence"": 1.4449256013904233e-07}, {""species"": ""Quercus alba"", ""confidence"": 7.734128359970782e-08}]",True,True,Quercus palustris,0.85227883,"[{""species"": ""Quercus palustris"", ""confidence"": 0.8522788336870405}, {""species"": ""Quercus rubra"", ""confidence"": 0.0871742863545367}, {""species"": ""Quercus alba"", ""confidence"": 0.04042406385601869}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.0016498837251199064}, {""species"": ""Quercus bicolor"", ""confidence"": 0.0015749591066758109}]",True,True,Quercus alba,0.37,"[{""species"": ""Quercus alba"", ""confidence"": 0.37}, {""species"": ""Quercus bicolor"", ""confidence"": 0.24}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.18}, {""species"": ""Quercus palustris"", ""confidence"": 0.11}, {""species"": ""Quercus rubra"", ""confidence"": 0.07}]",False,True,Quercus alba,0.8,"[{""species"": ""Quercus alba"", ""confidence"": 0.8}, {""species"": ""Quercus bicolor"", ""confidence"": 0.7}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.6}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.5}, {""species"": ""Quercus rubra"", ""confidence"": 0.4}]",False,False,pin oak,Fagaceae,fruit,lateral or general close-up,https://bioimages.vanderbilt.edu/tn/kirchoff/tem2350.jpg,https://bioimages.vanderbilt.edu/gq/kirchoff/gem2350.jpg,Emily C. Mason,http://creativecommons.org/licenses/by/4.0/,16,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
baskauf/51186,baskauf_51186.jpg,vanderbilt/12-11,inflorescence,Quercus bicolor,Quercus palustris,0.89822119,"[{""species"": ""Quercus palustris"", ""confidence"": 0.8982211947441101}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.0946718156337738}, {""species"": ""Quercus rubra"", ""confidence"": 0.0028588413260877132}, {""species"": ""Quercus bicolor"", ""confidence"": 0.0022264677099883556}, {""species"": ""Quercus alba"", ""confidence"": 0.001964850816875696}]",False,True,Quercus palustris,0.31776012,"[{""species"": ""Quercus palustris"", ""confidence"": 0.31776011570623014}, {""species"": ""Carya cordiformis"", ""confidence"": 0.0642339043764193}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.058847245533068276}, {""species"": ""Populus deltoides"", ""confidence"": 0.04954855977218578}, {""species"": ""Quercus bicolor"", ""confidence"": 0.04657692361534598}]",False,True,Quercus alba,0.42,"[{""species"": ""Quercus alba"", ""confidence"": 0.42}, {""species"": ""Quercus bicolor"", ""confidence"": 0.22}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.14}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.11}, {""species"": ""Quercus rubra"", ""confidence"": 0.08}]",False,True,Quercus alba,0.8,"[{""species"": ""Quercus alba"", ""confidence"": 0.8}, {""species"": ""Quercus rubra"", ""confidence"": 0.7}, {""species"": ""Quercus bicolor"", ""confidence"": 0.6}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.5}, {""species"": ""Quercus velutina"", ""confidence"": 0.4}]",False,True,swamp white oak,Fagaceae,inflorescence,whole - male,https://bioimages.vanderbilt.edu/tn/baskauf/tqubi--flmale51186.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gqubi--flmale51186.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,0,0000,2,False,True,True,all_four_wrong|bioclip_and_dino_wrong|vlm_embedding_consensus_conflict
baskauf/50598,baskauf_50598.jpg,vanderbilt/6-189,inflorescence,Carpinus caroliniana,Carpinus caroliniana,0.99998701,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.999987006187439}, {""species"": ""Ostrya virginiana"", ""confidence"": 1.3007128472963814e-05}, {""species"": ""Castanea dentata"", ""confidence"": 2.3355626321830414e-09}, {""species"": ""Fagus grandifolia"", ""confidence"": 1.6052070783700856e-09}, {""species"": ""Carya ovata"", ""confidence"": 8.592055400491461e-10}]",True,True,Carpinus caroliniana,0.82522776,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.8252277587889677}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.07424760973318197}, {""species"": ""Prunus serotina"", ""confidence"": 0.015155726909877928}, {""species"": ""Carya cordiformis"", ""confidence"": 0.014893676835528781}, {""species"": ""Salix nigra"", ""confidence"": 0.006172199582938753}]",True,True,Ostrya virginiana,0.7,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.7}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.4}, {""species"": ""Betula lenta"", ""confidence"": 0.25}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.18}, {""species"": ""Betula papyrifera"", ""confidence"": 0.1}]",False,True,Ostrya virginiana,0.8,"[{""species"": ""Ostrya virginiana"", ""confidence"": 0.8}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.6}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.5}, {""species"": ""Betula lenta"", ""confidence"": 0.4}, {""species"": ""Betula papyrifera"", ""confidence"": 0.3}]",False,True,American hornbeam,Betulaceae,inflorescence,whole - male,https://bioimages.vanderbilt.edu/tn/baskauf/tcaca18flmale50598.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gcaca18flmale50598.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,6,2,1100,2,False,True,True,vlm_embedding_consensus_conflict
