ground_truth_species,predicted_species,count,model_key,same_genus
Fraxinus americana,Fraxinus pennsylvanica,2,bioclip,True
Fraxinus americana,Quercus palustris,2,bioclip,False
Quercus rubra,Amelanchier arborea,2,bioclip,False
Acer rubrum,Acer saccharum,1,bioclip,True
Acer rubrum,Gleditsia triacanthos,1,bioclip,False
Acer rubrum,Pyrus calleryana,1,bioclip,False
Betula lenta,Amelanchier arborea,1,bioclip,False
Betula lenta,Betula alleghaniensis,1,bioclip,True
Betula lenta,Prunus serotina,1,bioclip,False
Carpinus caroliniana,Fagus grandifolia,1,bioclip,False
Dirca palustris,Lindera benzoin,1,bioclip,False
Fraxinus pennsylvanica,Quercus macrocarpa,1,bioclip,False
Gymnocladus dioicus,Gleditsia triacanthos,1,bioclip,False
Juglans cinerea,Gleditsia triacanthos,1,bioclip,False
Nyssa sylvatica,Amelanchier arborea,1,bioclip,False
Nyssa sylvatica,Ilex verticillata,1,bioclip,False
Nyssa sylvatica,Lindera benzoin,1,bioclip,False
Nyssa sylvatica,Sassafras albidum,1,bioclip,False
Pyrus calleryana,Amelanchier arborea,1,bioclip,False
Pyrus calleryana,Rhus copallinum,1,bioclip,False
Quercus alba,Quercus muehlenbergii,1,bioclip,True
Quercus bicolor,Ostrya virginiana,1,bioclip,False
Quercus bicolor,Quercus muehlenbergii,1,bioclip,True
Quercus bicolor,Quercus palustris,1,bioclip,True
Quercus rubra,Fagus grandifolia,1,bioclip,False
Rhus copallinum,Rhus glabra,1,bioclip,True
Ulmus americana,Robinia pseudoacacia,1,bioclip,False
Acer saccharum,Ailanthus altissima,3,dinov3,False
Fraxinus americana,Quercus alba,2,dinov3,False
Juglans cinerea,Robinia pseudoacacia,2,dinov3,False
Lonicera morrowii,Ilex verticillata,2,dinov3,False
Quercus macrocarpa,Quercus alba,2,dinov3,True
Quercus palustris,Quercus rubra,2,dinov3,True
Rhus aromatica,Sassafras albidum,2,dinov3,False
Rhus copallinum,Juglans nigra,2,dinov3,False
Sassafras albidum,Fraxinus pennsylvanica,2,dinov3,False
Ulmus americana,Betula alleghaniensis,2,dinov3,False
Viburnum lantanoides,Tilia americana,2,dinov3,False
Yucca filamentosa,Gymnocladus dioicus,2,dinov3,False
Zanthoxylum americanum,Quercus palustris,2,dinov3,False
Acer negundo,Juglans nigra,1,dinov3,False
Acer negundo,Ulmus rubra,1,dinov3,False
Acer rubrum,Ginkgo biloba,1,dinov3,False
Acer rubrum,Juglans cinerea,1,dinov3,False
Acer rubrum,Quercus bicolor,1,dinov3,False
Acer saccharum,Quercus palustris,1,dinov3,False
Ailanthus altissima,Gleditsia triacanthos,1,dinov3,False
Betula alleghaniensis,Prunus serotina,1,dinov3,False
Betula lenta,Betula alleghaniensis,1,dinov3,True
Betula lenta,Prunus serotina,1,dinov3,False
Betula lenta,Rhus aromatica,1,dinov3,False
Carpinus caroliniana,Cornus florida,1,dinov3,False
Carya cordiformis,Fraxinus pennsylvanica,1,dinov3,False
Carya cordiformis,Robinia pseudoacacia,1,dinov3,False
Carya cordiformis,Tilia americana,1,dinov3,False
Carya ovata,Quercus alba,1,dinov3,False
Carya ovata,Robinia pseudoacacia,1,dinov3,False
Celtis occidentalis,Acer negundo,1,dinov3,False
Celtis occidentalis,Viburnum lantanoides,1,dinov3,False
Fagus grandifolia,Carpinus caroliniana,1,dinov3,False
Fagus grandifolia,Platanus occidentalis,1,dinov3,False
Fraxinus americana,Sassafras albidum,1,dinov3,False
Fraxinus pennsylvanica,Juglans nigra,1,dinov3,False
Fraxinus pennsylvanica,Quercus rubra,1,dinov3,False
Fraxinus quadrangulata,Sorbus americana,1,dinov3,False
Gleditsia triacanthos,Rhus glabra,1,dinov3,False
Gymnocladus dioicus,Acer saccharum,1,dinov3,False
