correctness_pattern,bioclip_correct,dinov3_correct,gpt_5_4_correct,gemini_flash_lite_correct,image_count,image_fraction,species_count,observation_count,example_image_ids
1111,True,True,True,True,43,0.2037914691943128,18,18,"[""baskauf/29685"", ""baskauf/11492"", ""baskauf/11522"", ""baskauf/15103"", ""baskauf/15105""]"
1000,True,False,False,False,40,0.1895734597156398,21,21,"[""baskauf/10904"", ""baskauf/10938"", ""baskauf/10939"", ""baskauf/11449"", ""baskauf/11687""]"
1100,True,True,False,False,32,0.15165876777251186,20,20,"[""baskauf/11070"", ""baskauf/11534"", ""baskauf/11653"", ""baskauf/11688"", ""baskauf/11993""]"
0000,False,False,False,False,17,0.08056872037914692,10,10,"[""baskauf/10942"", ""baskauf/11690"", ""baskauf/11812"", ""baskauf/37293"", ""baskauf/37296""]"
1101,True,True,False,True,17,0.08056872037914692,14,14,"[""baskauf/29683"", ""baskauf/11493"", ""baskauf/11656"", ""baskauf/15307"", ""baskauf/21465""]"
1110,True,True,True,False,17,0.08056872037914692,10,10,"[""baskauf/29773"", ""baskauf/11064"", ""baskauf/11962"", ""baskauf/11966"", ""baskauf/15104""]"
1001,True,False,False,True,12,0.05687203791469194,11,11,"[""baskauf/11037"", ""baskauf/11038"", ""baskauf/11524"", ""baskauf/11689"", ""baskauf/11961""]"
1011,True,False,True,True,11,0.052132701421800945,8,8,"[""baskauf/10432"", ""baskauf/10550"", ""baskauf/15477"", ""baskauf/15687"", ""baskauf/15688""]"
0100,False,True,False,False,9,0.04265402843601896,7,7,"[""baskauf/32768"", ""baskauf/32770"", ""baskauf/65657"", ""baskauf/51183"", ""baskauf/15988""]"
1010,True,False,True,False,9,0.04265402843601896,9,9,"[""baskauf/11066"", ""baskauf/11964"", ""baskauf/12021"", ""baskauf/13650"", ""baskauf/27137""]"
0001,False,False,False,True,1,0.004739336492890996,1,1,"[""baskauf/91059""]"
0010,False,False,True,False,1,0.004739336492890996,1,1,"[""ssmv/2-638-04""]"
0011,False,False,True,True,1,0.004739336492890996,1,1,"[""baskauf/37287""]"
0110,False,True,True,False,1,0.004739336492890996,1,1,"[""ssmv/2-638-03""]"
