ground_truth_species,image_count,observation_count,bioclip_correct,bioclip_accuracy,dinov3_correct,dinov3_accuracy,gpt_5_4_correct,gpt_5_4_accuracy,gemini_flash_lite_correct,gemini_flash_lite_accuracy,all_four_wrong,any_model_correct
Acer rubrum,3,1,0,0.0,0,0.0,0,0.0,0,0.0,3,0
Nyssa sylvatica,5,1,1,0.2,3,0.6,0,0.0,0,0.0,2,3
Fraxinus americana,4,1,0,0.0,1,0.25,2,0.5,0,0.0,2,2
Quercus bicolor,4,1,1,0.25,2,0.5,1,0.25,0,0.0,2,2
Quercus rubra,4,1,1,0.25,2,0.5,1,0.25,0,0.0,2,2
Betula lenta,3,1,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,2,1
Quercus alba,7,1,6,0.8571428571428571,5,0.7142857142857143,4,0.5714285714285714,6,0.8571428571428571,1,6
Ulmus americana,4,1,3,0.75,1,0.25,0,0.0,1,0.25,1,3
Juglans cinerea,3,1,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,2
Rhus copallinum,3,1,2,0.6666666666666666,0,0.0,0,0.0,0,0.0,1,2
Quercus palustris,16,1,16,1.0,14,0.875,8,0.5,0,0.0,0,16
Gleditsia triacanthos,11,1,11,1.0,10,0.9090909090909091,7,0.6363636363636364,10,0.9090909090909091,0,11
Carpinus caroliniana,6,1,5,0.8333333333333334,5,0.8333333333333334,0,0.0,3,0.5,0,6
Platanus occidentalis,6,1,6,1.0,5,0.8333333333333334,5,0.8333333333333334,6,1.0,0,6
Acer negundo,5,1,5,1.0,3,0.6,1,0.2,1,0.2,0,5
Cercis canadensis,5,1,5,1.0,5,1.0,5,1.0,5,1.0,0,5
Fagus grandifolia,5,1,5,1.0,3,0.6,4,0.8,4,0.8,0,5
Ginkgo biloba,5,1,5,1.0,5,1.0,5,1.0,5,1.0,0,5
Sassafras albidum,5,1,5,1.0,2,0.4,0,0.0,0,0.0,0,5
Acer saccharum,4,1,4,1.0,0,0.0,1,0.25,0,0.0,0,4
Carya cordiformis,4,1,4,1.0,1,0.25,0,0.0,0,0.0,0,4
Cephalanthus occidentalis,4,1,4,1.0,4,1.0,3,0.75,4,1.0,0,4
Prunus serotina,4,1,4,1.0,2,0.5,3,0.75,1,0.25,0,4
Quercus macrocarpa,4,1,4,1.0,0,0.0,1,0.25,0,0.0,0,4
Sorbus americana,4,1,4,1.0,2,0.5,2,0.5,4,1.0,0,4
Viburnum lantanoides,4,1,4,1.0,2,0.5,0,0.0,0,0.0,0,4
Yucca filamentosa,4,1,4,1.0,0,0.0,2,0.5,1,0.25,0,4
Zanthoxylum americanum,4,1,4,1.0,0,0.0,0,0.0,0,0.0,0,4
Amelanchier arborea,3,1,3,1.0,3,1.0,1,0.3333333333333333,2,0.6666666666666666,0,3
Cornus florida,3,1,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,0,3
Fraxinus pennsylvanica,3,1,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0,0.0,0,3
Gymnocladus dioicus,3,1,2,0.6666666666666666,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,3
Lindera benzoin,3,1,3,1.0,3,1.0,1,0.3333333333333333,2,0.6666666666666666,0,3
Lonicera morrowii,3,1,3,1.0,0,0.0,3,1.0,2,0.6666666666666666,0,3
Pinus strobus,3,1,3,1.0,2,0.6666666666666666,1,0.3333333333333333,3,1.0,0,3
Populus deltoides,3,1,3,1.0,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,3
Robinia pseudoacacia,3,1,3,1.0,3,1.0,3,1.0,3,1.0,0,3
Salix nigra,3,1,3,1.0,2,0.6666666666666666,2,0.6666666666666666,3,1.0,0,3
Sambucus racemosa,3,1,3,1.0,3,1.0,1,0.3333333333333333,0,0.0,0,3
Toxicodendron radicans,3,1,3,1.0,3,1.0,1,0.3333333333333333,1,0.3333333333333333,0,3
Carya ovata,2,1,2,1.0,0,0.0,1,0.5,0,0.0,0,2
Celtis occidentalis,2,1,2,1.0,0,0.0,0,0.0,1,0.5,0,2
Ilex verticillata,2,1,2,1.0,2,1.0,1,0.5,0,0.0,0,2
Juglans nigra,2,1,2,1.0,1,0.5,0,0.0,2,1.0,0,2
Juniperus virginiana,2,1,2,1.0,1,0.5,1,0.5,2,1.0,0,2
Pyrus calleryana,2,1,0,0.0,2,1.0,0,0.0,0,0.0,0,2
Quercus muehlenbergii,2,1,2,1.0,0,0.0,0,0.0,0,0.0,0,2
Rhus aromatica,2,1,2,1.0,0,0.0,0,0.0,0,0.0,0,2
Sambucus nigra,2,1,2,1.0,0,0.0,2,1.0,2,1.0,0,2
Tilia americana,2,1,2,1.0,2,1.0,0,0.0,1,0.5,0,2
Tsuga canadensis,2,1,2,1.0,2,1.0,1,0.5,2,1.0,0,2
Ulmus rubra,2,1,2,1.0,0,0.0,0,0.0,2,1.0,0,2
Aesculus glabra,1,1,1,1.0,1,1.0,0,0.0,0,0.0,0,1
Ailanthus altissima,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,1
Betula alleghaniensis,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,1
Castanea dentata,1,1,1,1.0,1,1.0,0,0.0,0,0.0,0,1
Cornus amomum,1,1,1,1.0,1,1.0,0,0.0,0,0.0,0,1
Dirca palustris,1,1,0,0.0,1,1.0,0,0.0,0,0.0,0,1
Fraxinus quadrangulata,1,1,1,1.0,0,0.0,0,0.0,0,0.0,0,1
Ostrya virginiana,1,1,1,1.0,0,0.0,1,1.0,0,0.0,0,1
Picea rubens,1,1,1,1.0,1,1.0,0,0.0,0,0.0,0,1
Populus tremuloides,1,1,1,1.0,1,1.0,1,1.0,1,1.0,0,1
Rhus glabra,1,1,1,1.0,0,0.0,1,1.0,1,1.0,0,1
