ground_truth_species,predicted_species,same_genus,model_count,total_occurrences,models
Quercus macrocarpa,Quercus alba,True,3,9,dinov3|gemini_flash_lite|gpt_5_4
Quercus palustris,Quercus rubra,True,3,9,dinov3|gemini_flash_lite|gpt_5_4
Fraxinus americana,Quercus alba,False,3,6,dinov3|gemini_flash_lite|gpt_5_4
Betula lenta,Prunus serotina,False,3,3,bioclip|dinov3|gpt_5_4
Dirca palustris,Lindera benzoin,False,3,3,bioclip|gemini_flash_lite|gpt_5_4
Quercus palustris,Quercus alba,True,2,14,gemini_flash_lite|gpt_5_4
Quercus bicolor,Quercus alba,True,2,6,gemini_flash_lite|gpt_5_4
Ulmus americana,Ostrya virginiana,False,2,5,gemini_flash_lite|gpt_5_4
Carpinus caroliniana,Ostrya virginiana,False,2,4,gemini_flash_lite|gpt_5_4
Nyssa sylvatica,Lonicera morrowii,False,2,4,gemini_flash_lite|gpt_5_4
Sambucus racemosa,Sambucus nigra,True,2,4,gemini_flash_lite|gpt_5_4
Acer rubrum,Acer saccharum,True,2,3,bioclip|gemini_flash_lite
Fraxinus pennsylvanica,Juglans nigra,False,2,3,dinov3|gemini_flash_lite
Juglans cinerea,Robinia pseudoacacia,False,2,3,dinov3|gpt_5_4
Nyssa sylvatica,Lindera benzoin,False,2,3,bioclip|gemini_flash_lite
Populus deltoides,Populus tremuloides,True,2,3,gemini_flash_lite|gpt_5_4
Quercus muehlenbergii,Ostrya virginiana,False,2,3,gemini_flash_lite|gpt_5_4
Rhus copallinum,Juglans nigra,False,2,3,dinov3|gemini_flash_lite
Sassafras albidum,Acer saccharum,False,2,3,gemini_flash_lite|gpt_5_4
Acer negundo,Cornus amomum,False,2,2,gemini_flash_lite|gpt_5_4
Acer rubrum,Gleditsia triacanthos,False,2,2,bioclip|gpt_5_4
Aesculus glabra,Aesculus hippocastanum,True,2,2,gemini_flash_lite|gpt_5_4
Ailanthus altissima,Rhus glabra,False,2,2,gemini_flash_lite|gpt_5_4
Amelanchier arborea,Pyrus calleryana,False,2,2,gemini_flash_lite|gpt_5_4
Betula lenta,Betula alleghaniensis,True,2,2,bioclip|dinov3
