sample_bucket,sample_order,image_id,file,observation_id,organ_category,ground_truth_species,bioclip_prediction,bioclip_score,bioclip_top5,bioclip_correct,bioclip_top5_correct,dinov3_prediction,dinov3_score,dinov3_top5,dinov3_correct,dinov3_top5_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_top5,gpt_5_4_correct,gpt_5_4_top5_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_top5,gemini_flash_lite_correct,gemini_flash_lite_top5_correct,vernacular,family,organ_detail,subview,thumbnail_url,image_url,creator,license,observation_image_count,correct_count,correctness_pattern,prediction_unique_count,all_predictions_same,embedding_predictions_agree,vlm_predictions_agree,bucket_memberships,local_sample_path,download_status,download_error
all_four_correct,1,thomas/0301-02-02,thomas_0301-02-02.jpg,thomas/0301-02,leaf,Toxicodendron radicans,Toxicodendron radicans,1.0,"[{""species"": ""Toxicodendron radicans"", ""confidence"": 1.0}, {""species"": ""Rhus copallinum"", ""confidence"": 3.581747953784742e-10}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 1.0261879540562902e-10}, {""species"": ""Rhus aromatica"", ""confidence"": 1.2256066821147993e-11}, {""species"": ""Acer negundo"", ""confidence"": 3.098819161342914e-12}]",True,True,Toxicodendron radicans,0.98282091,"[{""species"": ""Toxicodendron radicans"", ""confidence"": 0.9828209055037737}, {""species"": ""Rhus aromatica"", ""confidence"": 0.009288374447488729}, {""species"": ""Acer negundo"", ""confidence"": 0.0013953286570401828}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.0006127728047791926}, {""species"": ""Aesculus glabra"", ""confidence"": 0.0005750202997934822}]",True,True,Toxicodendron radicans,0.96,"[{""species"": ""Toxicodendron radicans"", ""confidence"": 0.96}, {""species"": ""Rhus aromatica"", ""confidence"": 0.33}, {""species"": ""Acer negundo"", ""confidence"": 0.14}, {""species"": ""Staphylea trifolia"", ""confidence"": 0.08}, {""species"": ""Aesculus glabra"", ""confidence"": 0.03}]",True,True,Toxicodendron radicans,0.9,"[{""species"": ""Toxicodendron radicans"", ""confidence"": 0.9}, {""species"": ""Rhus glabra"", ""confidence"": 0.3}, {""species"": ""Rhus copallinum"", ""confidence"": 0.2}, {""species"": ""Rhus aromatica"", ""confidence"": 0.1}, {""species"": ""Cornus amomum"", ""confidence"": 0.05}]",True,True,eastern poison ivy,Anacardiaceae,leaf,whole upper surface,https://bioimages.vanderbilt.edu/tn/thomas/t0301-02-02.jpg,https://bioimages.vanderbilt.edu/gq/thomas/g0301-02-02.jpg,Ron Thomas,http://creativecommons.org/licenses/by-nc-sa/4.0/,3,4,1111,1,True,True,True,all_four_correct,samples/images/thomas__0301-02-02.jpg,cached,
all_four_correct,2,thomas/0104-01-03,thomas_0104-01-03.jpg,thomas/0104-01,inflorescence,Cephalanthus occidentalis,Cephalanthus occidentalis,0.99999988,"[{""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.9999998807907104}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 3.653481783771895e-08}, {""species"": ""Aesculus glabra"", ""confidence"": 2.8453344569356886e-08}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 1.5229979055675358e-08}, {""species"": ""Sorbus americana"", ""confidence"": 8.152019503882002e-09}]",True,True,Cephalanthus occidentalis,0.89498152,"[{""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.8949815181293412}, {""species"": ""Quercus rubra"", ""confidence"": 0.015335421805371537}, {""species"": ""Cornus amomum"", ""confidence"": 0.013193784094275438}, {""species"": ""Fraxinus americana"", ""confidence"": 0.01074614539208911}, {""species"": ""Prunus serotina"", ""confidence"": 0.007344809989215907}]",True,True,Cephalanthus occidentalis,0.99,"[{""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.99}, {""species"": ""Sambucus nigra"", ""confidence"": 0.08}, {""species"": ""Cornus amomum"", ""confidence"": 0.04}, {""species"": ""Cornus sericea"", ""confidence"": 0.03}, {""species"": ""Ilex verticillata"", ""confidence"": 0.02}]",True,True,Cephalanthus occidentalis,0.9,"[{""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.9}, {""species"": ""Lindera benzoin"", ""confidence"": 0.6}, {""species"": ""Hamamelis virginiana"", ""confidence"": 0.5}, {""species"": ""Cornus racemosa"", ""confidence"": 0.4}, {""species"": ""Sambucus nigra"", ""confidence"": 0.3}]",True,True,common buttonbush,Rubiaceae,inflorescence,frontal view of flower,https://bioimages.vanderbilt.edu/tn/thomas/t0104-01-03.jpg,https://bioimages.vanderbilt.edu/gq/thomas/g0104-01-03.jpg,Ron Thomas,http://creativecommons.org/licenses/by-nc-sa/4.0/,4,4,1111,1,True,True,True,all_four_correct,samples/images/thomas__0104-01-03.jpg,cached,
all_four_correct,3,baskauf/21454,baskauf_21454.jpg,ind-baskauf/21454,inflorescence,Salix nigra,Salix nigra,1.0,"[{""species"": ""Salix nigra"", ""confidence"": 1.0}, {""species"": ""Populus deltoides"", ""confidence"": 6.348800152267131e-09}, {""species"": ""Cephalanthus occidentalis"", ""confidence"": 2.646573848963385e-09}, {""species"": ""Amelanchier arborea"", ""confidence"": 2.1724398668876432e-10}, {""species"": ""Sassafras albidum"", ""confidence"": 1.493094675675266e-10}]",True,True,Salix nigra,0.33706915,"[{""species"": ""Salix nigra"", ""confidence"": 0.33706915076913446}, {""species"": ""Populus deltoides"", ""confidence"": 0.18811543144950105}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.07358197474197996}, {""species"": ""Rhus glabra"", ""confidence"": 0.06376806395224868}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.06078776815860072}]",True,True,Salix nigra,0.97,"[{""species"": ""Salix nigra"", ""confidence"": 0.97}, {""species"": ""Betula papyrifera"", ""confidence"": 0.08}, {""species"": ""Betula lenta"", ""confidence"": 0.05}, {""species"": ""Populus deltoides"", ""confidence"": 0.03}, {""species"": ""Populus tremuloides"", ""confidence"": 0.02}]",True,True,Salix nigra,0.8,"[{""species"": ""Salix nigra"", ""confidence"": 0.8}, {""species"": ""Populus deltoides"", ""confidence"": 0.5}, {""species"": ""Populus grandidentata"", ""confidence"": 0.4}, {""species"": ""Populus tremuloides"", ""confidence"": 0.3}, {""species"": ""Betula papyrifera"", ""confidence"": 0.2}]",True,True,black willow,Salicaceae,inflorescence,whole - male,https://bioimages.vanderbilt.edu/tn/baskauf/tsani--flinflor21454.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gsani--flinflor21454.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct,samples/images/baskauf__21454.jpg,cached,
all_four_correct,4,baskauf/66182,baskauf_66182.jpg,ind-baskauf/66180,bark,Gleditsia triacanthos,Gleditsia triacanthos,0.99999714,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.9999971389770508}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 1.7603413198230555e-06}, {""species"": ""Rhus copallinum"", ""confidence"": 8.315263357872027e-07}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 2.382362822572759e-07}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 3.653471836173594e-08}]",True,True,Gleditsia triacanthos,0.75076048,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.7507604755237407}, {""species"": ""Acer rubrum"", ""confidence"": 0.06906088049218269}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.05620517337670725}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.042358997806132864}, {""species"": ""Acer negundo"", ""confidence"": 0.01489066450403525}]",True,True,Gleditsia triacanthos,0.98,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.98}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.08}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.05}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.02}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.01}]",True,True,Gleditsia triacanthos,0.9,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.9}, {""species"": ""Robinia pseudoacacia"", ""confidence"": 0.7}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.5}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.4}, {""species"": ""Cercis canadensis"", ""confidence"": 0.3}]",True,True,honeylocust,Fabaceae,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/tn/baskauf/tgltr--brmedium66182.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/ggltr--brmedium66182.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,11,4,1111,1,True,True,True,all_four_correct,samples/images/baskauf__66182.jpg,cached,
all_four_correct,5,baskauf/22004,baskauf_22004.jpg,ind-baskauf/21999,inflorescence,Robinia pseudoacacia,Robinia pseudoacacia,0.99999523,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.999995231628418}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 4.7850949158601e-06}, {""species"": ""Tilia americana"", ""confidence"": 6.348769954200861e-09}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 2.6465611924209043e-09}, {""species"": ""Ailanthus altissima"", ""confidence"": 1.1032508240305106e-09}]",True,True,Robinia pseudoacacia,0.68785005,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.687850051902318}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.12154492987470497}, {""species"": ""Cercis canadensis"", ""confidence"": 0.10636148078406878}, {""species"": ""Aesculus glabra"", ""confidence"": 0.01854943234523919}, {""species"": ""Yucca filamentosa"", ""confidence"": 0.01580432232895254}]",True,True,Robinia pseudoacacia,0.98,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.98}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.08}, {""species"": ""Cercis canadensis"", ""confidence"": 0.04}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.02}, {""species"": ""Prunus virginiana"", ""confidence"": 0.01}]",True,True,Robinia pseudoacacia,0.9,"[{""species"": ""Robinia pseudoacacia"", ""confidence"": 0.9}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.7}, {""species"": ""Cercis canadensis"", ""confidence"": 0.4}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.2}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.1}]",True,True,black locust,Fabaceae,inflorescence,frontal view of flower,https://bioimages.vanderbilt.edu/tn/baskauf/trops--fl22004.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/grops--fl22004.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct,samples/images/baskauf__22004.jpg,cached,
all_four_correct,6,baskauf/49341,baskauf_49341.jpg,ind-baskauf/49335,inflorescence,Sorbus americana,Sorbus americana,0.99999726,"[{""species"": ""Sorbus americana"", ""confidence"": 0.9999972581863403}, {""species"": ""Rhus copallinum"", ""confidence"": 2.561281689850148e-06}, {""species"": ""Sambucus racemosa"", ""confidence"": 7.734400497838578e-08}, {""species"": ""Ailanthus altissima"", ""confidence"": 4.691151644919955e-08}, {""species"": ""Amelanchier arborea"", ""confidence"": 4.139926446100617e-08}]",True,True,Sorbus americana,0.25789501,"[{""species"": ""Sorbus americana"", ""confidence"": 0.25789501343344257}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.19459509725535043}, {""species"": ""Prunus serotina"", ""confidence"": 0.17608144646620474}, {""species"": ""Sambucus nigra"", ""confidence"": 0.0633912434975889}, {""species"": ""Cornus amomum"", ""confidence"": 0.04896446687697359}]",True,True,Sorbus americana,0.74,"[{""species"": ""Sorbus americana"", ""confidence"": 0.74}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.41}, {""species"": ""Sambucus nigra"", ""confidence"": 0.16}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.11}, {""species"": ""Prunus virginiana"", ""confidence"": 0.08}]",True,True,Sorbus americana,0.7,"[{""species"": ""Sorbus americana"", ""confidence"": 0.7}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.5}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.4}, {""species"": ""Prunus virginiana"", ""confidence"": 0.3}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.2}]",True,True,American mountain ash,Rosaceae,inflorescence,frontal view of flower,https://bioimages.vanderbilt.edu/tn/baskauf/tsoam3-fl49341.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gsoam3-fl49341.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,4,1111,1,True,True,True,all_four_correct,samples/images/baskauf__49341.jpg,cached,
all_four_correct,7,baskauf/17542,baskauf_17542.jpg,vanderbilt/6-15,twig,Pinus strobus,Pinus strobus,0.99999964,"[{""species"": ""Pinus strobus"", ""confidence"": 0.9999996423721313}, {""species"": ""Sorbus americana"", ""confidence"": 1.2751901579122205e-07}, {""species"": ""Quercus palustris"", ""confidence"": 6.825601417403959e-08}, {""species"": ""Picea rubens"", ""confidence"": 6.023572041158332e-08}, {""species"": ""Tsuga canadensis"", ""confidence"": 4.1399363936989175e-08}]",True,True,Pinus strobus,0.92004147,"[{""species"": ""Pinus strobus"", ""confidence"": 0.9200414732350837}, {""species"": ""Picea rubens"", ""confidence"": 0.03931004742328706}, {""species"": ""Juglans nigra"", ""confidence"": 0.00915223402084606}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.006955205022887417}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.0030320825212549985}]",True,True,Pinus strobus,0.98,"[{""species"": ""Pinus strobus"", ""confidence"": 0.98}, {""species"": ""Pinus resinosa"", ""confidence"": 0.08}, {""species"": ""Pinus rigida"", ""confidence"": 0.04}, {""species"": ""Tsuga canadensis"", ""confidence"": 0.02}, {""species"": ""Picea glauca"", ""confidence"": 0.01}]",True,True,Pinus strobus,0.8,"[{""species"": ""Pinus strobus"", ""confidence"": 0.8}, {""species"": ""Pinus resinosa"", ""confidence"": 0.7}, {""species"": ""Pinus rigida"", ""confidence"": 0.6}, {""species"": ""Picea glauca"", ""confidence"": 0.3}, {""species"": ""Picea rubens"", ""confidence"": 0.2}]",True,True,eastern white pine,Pinaceae,twig,showing attachment of needles,https://bioimages.vanderbilt.edu/tn/baskauf/tpist--tw17542.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gpist--tw17542.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct,samples/images/baskauf__17542.jpg,cached,
all_four_correct,8,baskauf/32478,baskauf_32478.jpg,ind-baskauf/32477,fruit,Amelanchier arborea,Amelanchier arborea,1.0,"[{""species"": ""Amelanchier arborea"", ""confidence"": 1.0}, {""species"": ""Prunus serotina"", ""confidence"": 9.23744991609965e-09}, {""species"": ""Ostrya virginiana"", ""confidence"": 1.493094675675266e-10}, {""species"": ""Sorbus americana"", ""confidence"": 1.1628233792526643e-10}, {""species"": ""Viburnum lantanoides"", ""confidence"": 7.052879807956103e-11}]",True,True,Amelanchier arborea,0.68204084,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.682040843287915}, {""species"": ""Cornus amomum"", ""confidence"": 0.10813300193751109}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.06067805875457954}, {""species"": ""Cornus florida"", ""confidence"": 0.038945225013241214}, {""species"": ""Sassafras albidum"", ""confidence"": 0.02224137549103323}]",True,True,Amelanchier arborea,0.84,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.84}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.33}, {""species"": ""Sorbus americana"", ""confidence"": 0.14}, {""species"": ""Prunus virginiana"", ""confidence"": 0.08}, {""species"": ""Sambucus racemosa"", ""confidence"": 0.04}]",True,True,Amelanchier arborea,0.7,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.7}, {""species"": ""Sorbus americana"", ""confidence"": 0.6}, {""species"": ""Prunus virginiana"", ""confidence"": 0.5}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.4}, {""species"": ""Prunus pensylvanica"", ""confidence"": 0.3}]",True,True,common serviceberry,Rosaceae,fruit,immature,https://bioimages.vanderbilt.edu/tn/baskauf/tamar3-frdevel32478.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gamar3-frdevel32478.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,4,1111,1,True,True,True,all_four_correct,samples/images/baskauf__32478.jpg,cached,
all_four_correct,9,kaufmannm/ke064,kaufmannm_ke064.jpg,ind-kaufmannm/ke064,whole tree (or vine),Populus tremuloides,Populus tremuloides,1.0,"[{""species"": ""Populus tremuloides"", ""confidence"": 1.0}, {""species"": ""Populus deltoides"", ""confidence"": 6.348800152267131e-09}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 7.99195987166712e-11}, {""species"": ""Picea rubens"", ""confidence"": 4.2777878461741636e-11}, {""species"": ""Acer saccharum"", ""confidence"": 3.3315444153414475e-11}]",True,True,Populus tremuloides,0.8722459,"[{""species"": ""Populus tremuloides"", ""confidence"": 0.87224590474631}, {""species"": ""Pyrus calleryana"", ""confidence"": 0.04381488376542662}, {""species"": ""Prunus serotina"", ""confidence"": 0.010180269582481841}, {""species"": ""Sambucus racemosa"", ""confidence"": 0.009475280481953095}, {""species"": ""Castanea dentata"", ""confidence"": 0.005386959542160294}]",True,True,Populus tremuloides,0.79,"[{""species"": ""Populus tremuloides"", ""confidence"": 0.79}, {""species"": ""Populus grandidentata"", ""confidence"": 0.34}, {""species"": ""Picea glauca"", ""confidence"": 0.27}, {""species"": ""Betula papyrifera"", ""confidence"": 0.22}, {""species"": ""Picea mariana"", ""confidence"": 0.18}]",True,True,Populus tremuloides,0.8,"[{""species"": ""Populus tremuloides"", ""confidence"": 0.8}, {""species"": ""Populus grandidentata"", ""confidence"": 0.7}, {""species"": ""Populus deltoides"", ""confidence"": 0.6}, {""species"": ""Betula papyrifera"", ""confidence"": 0.4}, {""species"": ""Betula lenta"", ""confidence"": 0.3}]",True,True,quaking aspen,Salicaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/kaufmannm/tpotr5-wpfall-color-mke064.jpg,https://bioimages.vanderbilt.edu/gq/kaufmannm/gpotr5-wpfall-color-mke064.jpg,Maurice J. Kaufmann,http://creativecommons.org/licenses/by-nc-sa/4.0/,1,4,1111,1,True,True,True,all_four_correct,samples/images/kaufmannm__ke064.jpg,cached,
all_four_correct,10,baskauf/10556,baskauf_10556.jpg,vanderbilt/12-126,leaf,Ginkgo biloba,Ginkgo biloba,0.24933225,"[{""species"": ""Ginkgo biloba"", ""confidence"": 0.2493322491645813}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.22003494203090668}, {""species"": ""Tilia americana"", ""confidence"": 0.19418014585971832}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.0917242169380188}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.055633544921875}]",True,True,Ginkgo biloba,0.95484931,"[{""species"": ""Ginkgo biloba"", ""confidence"": 0.9548493123390014}, {""species"": ""Platanus occidentalis"", ""confidence"": 0.013896179911863637}, {""species"": ""Dirca palustris"", ""confidence"": 0.004996698709033242}, {""species"": ""Cercis canadensis"", ""confidence"": 0.0037262274177493272}, {""species"": ""Acer saccharum"", ""confidence"": 0.0027495863983808245}]",True,True,Ginkgo biloba,0.87,"[{""species"": ""Ginkgo biloba"", ""confidence"": 0.87}, {""species"": ""Lindera benzoin"", ""confidence"": 0.08}, {""species"": ""Cornus florida"", ""confidence"": 0.04}, {""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.02}, {""species"": ""Lonicera morrowii"", ""confidence"": 0.02}]",True,True,Ginkgo biloba,0.9,"[{""species"": ""Ginkgo biloba"", ""confidence"": 0.9}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.3}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.2}, {""species"": ""Cercis canadensis"", ""confidence"": 0.1}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.1}]",True,True,maidenhair tree,Ginkgoaceae,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/tn/baskauf/tgibi2-lfpetiole-close10556.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/ggibi2-lfpetiole-close10556.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,5,4,1111,1,True,True,True,all_four_correct,samples/images/baskauf__10556.jpg,cached,
