species,genus,family,appears_as_ground_truth,appears_as_prediction
Acer negundo,Acer,Aceraceae,True,True
Acer platanoides,Acer,Aceraceae,False,True
Acer rubrum,Acer,Aceraceae,True,True
Acer saccharinum,Acer,Aceraceae,False,True
Acer saccharum,Acer,Aceraceae,True,True
Aesculus glabra,Aesculus,Hippocastanaceae,True,True
Aesculus hippocastanum,Aesculus,Hippocastanaceae,False,True
Ailanthus altissima,Ailanthus,Simaroubaceae,True,True
Amelanchier arborea,Amelanchier,Rosaceae,True,True
Betula alleghaniensis,Betula,Betulaceae,True,True
Betula lenta,Betula,Betulaceae,True,True
Betula papyrifera,Betula,Betulaceae,False,True
Carpinus caroliniana,Carpinus,Betulaceae,True,True
Carya cordiformis,Carya,Juglandaceae,True,True
Carya ovata,Carya,Juglandaceae,True,True
Castanea dentata,Castanea,Fagaceae,True,True
Celtis occidentalis,Celtis,Ulmaceae,True,True
Cephalanthus occidentalis,Cephalanthus,Rubiaceae,True,True
Cercis canadensis,Cercis,Fabaceae,True,True
Cornus amomum,Cornus,Cornaceae,True,True
Cornus florida,Cornus,Cornaceae,True,True
Cornus racemosa,Cornus,Cornaceae,False,True
Cornus sericea,Cornus,Cornaceae,False,True
Dirca palustris,Dirca,Thymelaeaceae,True,True
Fagus grandifolia,Fagus,Fagaceae,True,True
Fraxinus americana,Fraxinus,Oleaceae,True,True
Fraxinus pennsylvanica,Fraxinus,Oleaceae,True,True
Fraxinus quadrangulata,Fraxinus,Oleaceae,True,True
Ginkgo biloba,Ginkgo,Ginkgoaceae,True,True
Gleditsia triacanthos,Gleditsia,Fabaceae,True,True
Gymnocladus dioicus,Gymnocladus,Fabaceae,True,True
Hamamelis virginiana,Hamamelis,Hamamelidaceae,False,True
Ilex verticillata,Ilex,Aquifoliaceae,True,True
Juglans cinerea,Juglans,Juglandaceae,True,True
Juglans nigra,Juglans,Juglandaceae,True,True
Juniperus virginiana,Juniperus,Cupressaceae,True,True
Lindera benzoin,Lindera,Lauraceae,True,True
Lonicera morrowii,Lonicera,Caprifoliaceae,True,True
Magnolia acuminata,Magnolia,Magnoliaceae,False,True
Nyssa sylvatica,Nyssa,Cornaceae,True,True
Ostrya virginiana,Ostrya,Betulaceae,True,True
Picea glauca,Picea,Pinaceae,False,True
Picea rubens,Picea,Pinaceae,True,True
Pinus strobus,Pinus,Pinaceae,True,True
Platanus occidentalis,Platanus,Platanaceae,True,True
Populus deltoides,Populus,Salicaceae,True,True
Populus tremuloides,Populus,Salicaceae,True,True
Prunus serotina,Prunus,Rosaceae,True,True
Prunus virginiana,Prunus,Rosaceae,False,True
Pyrus calleryana,Pyrus,Rosaceae,True,True
Quercus alba,Quercus,Fagaceae,True,True
Quercus bicolor,Quercus,Fagaceae,True,True
Quercus macrocarpa,Quercus,Fagaceae,True,True
Quercus muehlenbergii,Quercus,Fagaceae,True,True
Quercus palustris,Quercus,Fagaceae,True,True
Quercus rubra,Quercus,Fagaceae,True,True
Rhus aromatica,Rhus,Anacardiaceae,True,True
Rhus copallinum,Rhus,Anacardiaceae,True,True
Rhus glabra,Rhus,Anacardiaceae,True,True
Robinia pseudoacacia,Robinia,Fabaceae,True,True
Salix nigra,Salix,Salicaceae,True,True
Sambucus nigra,Sambucus,Caprifoliaceae,True,True
Sambucus racemosa,Sambucus,Caprifoliaceae,True,True
Sassafras albidum,Sassafras,Lauraceae,True,True
Sorbus americana,Sorbus,Rosaceae,True,True
Staphylea trifolia,Staphylea,Staphyleaceae,False,True
Thuja occidentalis,Thuja,Cupressaceae,False,True
Tilia americana,Tilia,Tiliaceae,True,True
Toxicodendron radicans,Toxicodendron,Anacardiaceae,True,True
Tsuga canadensis,Tsuga,Pinaceae,True,True
Ulmus americana,Ulmus,Ulmaceae,True,True
Ulmus rubra,Ulmus,Ulmaceae,True,True
Viburnum lantanoides,Viburnum,Caprifoliaceae,True,True
Viburnum opulus,Viburnum,Caprifoliaceae,False,True
Yucca filamentosa,Yucca,Agavaceae,True,True
Zanthoxylum americanum,Zanthoxylum,Rutaceae,True,True
