ground_truth_species,predicted_species,count
Quercus rubra,Quercus palustris,14
Fraxinus americana,Fraxinus pennsylvanica,13
Carya laciniosa,Carya ovata,12
Acer nigrum,Acer saccharum,11
Pyrus calleryana,Amelanchier arborea,10
Quercus velutina,Quercus palustris,9
Cornus amomum,Cornus racemosa,8
Dirca palustris,Lindera benzoin,8
Quercus alba,Quercus muehlenbergii,7
Quercus bicolor,Quercus macrocarpa,6
Ginkgo biloba,Magnolia acuminata,6
Juglans nigra,Juglans cinerea,6
Cornus amomum,Cornus sericea,5
Gymnocladus dioicus,Magnolia acuminata,5
Quercus bicolor,Quercus muehlenbergii,5
Aesculus glabra,Aesculus hippocastanum,5
Carya laciniosa,Carya cordiformis,5
Fraxinus americana,Quercus palustris,5
Betula lenta,Betula alleghaniensis,4
Picea rubens,Picea mariana,4
Prunus serotina,Prunus virginiana,4
Dirca palustris,Zanthoxylum americanum,4
Acer saccharum,Acer platanoides,3
Betula lenta,Fagus grandifolia,3
Nyssa sylvatica,Magnolia acuminata,3
Thuja occidentalis,Juniperus virginiana,3
Quercus alba,Quercus macrocarpa,3
Quercus alba,Quercus palustris,3
Quercus macrocarpa,Quercus palustris,3
Juglans nigra,Carya ovata,3
Pinus resinosa,Pinus rigida,3
Ulmus rubra,Ulmus americana,3
Acer nigrum,Magnolia acuminata,2
Acer rubrum,Acer saccharinum,2
Rhus aromatica,Amelanchier arborea,2
Ostrya virginiana,Carpinus caroliniana,2
Nyssa sylvatica,Sassafras albidum,2
Nyssa sylvatica,Lindera benzoin,2
Nyssa sylvatica,Prunus pensylvanica,2
Gymnocladus dioicus,Gleditsia triacanthos,2
Quercus muehlenbergii,Quercus alba,2
Quercus palustris,Quercus muehlenbergii,2
Quercus palustris,Populus tremuloides,2
Quercus rubra,Quercus velutina,2
Carya cordiformis,Ailanthus altissima,2
Carya cordiformis,Celtis occidentalis,2
Juglans cinerea,Carya ovata,2
Juglans cinerea,Gleditsia triacanthos,2
Juglans cinerea,Staphylea trifolia,2
Juglans nigra,Gymnocladus dioicus,2
Sassafras albidum,Magnolia acuminata,2
Fraxinus americana,Quercus muehlenbergii,2
Fraxinus americana,Magnolia acuminata,2
Fraxinus pennsylvanica,Quercus macrocarpa,2
Fraxinus pennsylvanica,Quercus muehlenbergii,2
Fraxinus quadrangulata,Fraxinus pennsylvanica,2
Picea glauca,Picea rubens,2
Pinus strobus,Pinus rigida,2
Pyrus calleryana,Gleditsia triacanthos,2
Pyrus calleryana,Zanthoxylum americanum,2
Ulmus americana,Celtis occidentalis,2
Acer negundo,Acer saccharinum,1
Acer negundo,Toxicodendron radicans,1
Acer nigrum,Zanthoxylum americanum,1
Acer nigrum,Acer rubrum,1
Acer rubrum,Acer saccharum,1
Acer rubrum,Pyrus calleryana,1
Acer rubrum,Gleditsia triacanthos,1
Acer saccharinum,Gymnocladus dioicus,1
Acer saccharum,Quercus muehlenbergii,1
Acer saccharum,Ulmus americana,1
Acer saccharum,Quercus palustris,1
Acer saccharum,Acer rubrum,1
Acer saccharum,Celtis occidentalis,1
Acer saccharum,Quercus alba,1
Yucca filamentosa,Magnolia acuminata,1
Rhus aromatica,Rhus copallinum,1
Rhus aromatica,Toxicodendron radicans,1
Rhus copallinum,Rhus glabra,1
Rhus glabra,Gleditsia triacanthos,1
Rhus glabra,Gymnocladus dioicus,1
Toxicodendron radicans,Hamamelis virginiana,1
Betula alleghaniensis,Carpinus caroliniana,1
Betula alleghaniensis,Castanea dentata,1
Betula alleghaniensis,Prunus pensylvanica,1
Betula lenta,Prunus serotina,1
Betula lenta,Prunus pensylvanica,1
Betula lenta,Carpinus caroliniana,1
Betula lenta,Amelanchier arborea,1
Carpinus caroliniana,Betula papyrifera,1
Carpinus caroliniana,Fagus grandifolia,1
Carpinus caroliniana,Ilex verticillata,1
Ostrya virginiana,Lindera benzoin,1
Ostrya virginiana,Cornus florida,1
Ostrya virginiana,Celtis occidentalis,1
Lonicera morrowii,Viburnum opulus,1
Sambucus nigra,Sambucus racemosa,1
Viburnum lantanoides,Zanthoxylum americanum,1
Viburnum opulus,Celtis occidentalis,1
Viburnum opulus,Cornus sericea,1
Cornus florida,Ilex verticillata,1
Cornus florida,Cornus amomum,1
Cornus racemosa,Amelanchier arborea,1
Cornus racemosa,Cephalanthus occidentalis,1
Cornus racemosa,Ilex verticillata,1
Cornus sericea,Magnolia acuminata,1
Nyssa sylvatica,Quercus macrocarpa,1
Nyssa sylvatica,Fraxinus quadrangulata,1
Nyssa sylvatica,Pyrus calleryana,1
Nyssa sylvatica,Cephalanthus occidentalis,1
Nyssa sylvatica,Acer negundo,1
Nyssa sylvatica,Ulmus americana,1
Nyssa sylvatica,Fagus grandifolia,1
Nyssa sylvatica,Ilex verticillata,1
Nyssa sylvatica,Castanea dentata,1
Thuja occidentalis,Picea rubens,1
Cercis canadensis,Gleditsia triacanthos,1
Cercis canadensis,Lindera benzoin,1
Cercis canadensis,Magnolia acuminata,1
Gleditsia triacanthos,Carpinus caroliniana,1
Gleditsia triacanthos,Celtis occidentalis,1
Gymnocladus dioicus,Staphylea trifolia,1
Gymnocladus dioicus,Juglans cinerea,1
Robinia pseudoacacia,Fraxinus americana,1
Robinia pseudoacacia,Prunus pensylvanica,1
Robinia pseudoacacia,Juglans cinerea,1
Robinia pseudoacacia,Gleditsia triacanthos,1
Robinia pseudoacacia,Gymnocladus dioicus,1
Castanea dentata,Acer saccharum,1
Castanea dentata,Magnolia acuminata,1
Castanea dentata,Quercus palustris,1
