model_key,ground_truth_species,predicted_species,count
bioclip_zero_shot,Quercus rubra,Quercus palustris,14
bioclip_zero_shot,Fraxinus americana,Fraxinus pennsylvanica,13
bioclip_zero_shot,Carya laciniosa,Carya ovata,12
bioclip_zero_shot,Acer nigrum,Acer saccharum,11
bioclip_zero_shot,Pyrus calleryana,Amelanchier arborea,10
bioclip_zero_shot,Quercus velutina,Quercus palustris,9
bioclip_zero_shot,Cornus amomum,Cornus racemosa,8
bioclip_zero_shot,Dirca palustris,Lindera benzoin,8
bioclip_zero_shot,Quercus alba,Quercus muehlenbergii,7
bioclip_zero_shot,Ginkgo biloba,Magnolia acuminata,6
bioclip_zero_shot,Juglans nigra,Juglans cinerea,6
bioclip_zero_shot,Quercus bicolor,Quercus macrocarpa,6
bioclip_zero_shot,Aesculus glabra,Aesculus hippocastanum,5
bioclip_zero_shot,Carya laciniosa,Carya cordiformis,5
bioclip_zero_shot,Cornus amomum,Cornus sericea,5
bioclip_zero_shot,Fraxinus americana,Quercus palustris,5
bioclip_zero_shot,Gymnocladus dioicus,Magnolia acuminata,5
bioclip_zero_shot,Quercus bicolor,Quercus muehlenbergii,5
bioclip_zero_shot,Betula lenta,Betula alleghaniensis,4
bioclip_zero_shot,Dirca palustris,Zanthoxylum americanum,4
bioclip_zero_shot,Picea rubens,Picea mariana,4
bioclip_zero_shot,Prunus serotina,Prunus virginiana,4
bioclip_zero_shot,Acer saccharum,Acer platanoides,3
bioclip_zero_shot,Betula lenta,Fagus grandifolia,3
bioclip_zero_shot,Juglans nigra,Carya ovata,3
bioclip_zero_shot,Nyssa sylvatica,Magnolia acuminata,3
bioclip_zero_shot,Pinus resinosa,Pinus rigida,3
bioclip_zero_shot,Quercus alba,Quercus macrocarpa,3
bioclip_zero_shot,Quercus alba,Quercus palustris,3
bioclip_zero_shot,Quercus macrocarpa,Quercus palustris,3
bioclip_zero_shot,Thuja occidentalis,Juniperus virginiana,3
bioclip_zero_shot,Ulmus rubra,Ulmus americana,3
bioclip_zero_shot,Acer nigrum,Magnolia acuminata,2
bioclip_zero_shot,Acer rubrum,Acer saccharinum,2
bioclip_zero_shot,Carya cordiformis,Ailanthus altissima,2
bioclip_zero_shot,Carya cordiformis,Celtis occidentalis,2
bioclip_zero_shot,Fraxinus americana,Magnolia acuminata,2
bioclip_zero_shot,Fraxinus americana,Quercus muehlenbergii,2
bioclip_zero_shot,Fraxinus pennsylvanica,Quercus macrocarpa,2
bioclip_zero_shot,Fraxinus pennsylvanica,Quercus muehlenbergii,2
bioclip_zero_shot,Fraxinus quadrangulata,Fraxinus pennsylvanica,2
bioclip_zero_shot,Gymnocladus dioicus,Gleditsia triacanthos,2
bioclip_zero_shot,Juglans cinerea,Carya ovata,2
bioclip_zero_shot,Juglans cinerea,Gleditsia triacanthos,2
bioclip_zero_shot,Juglans cinerea,Staphylea trifolia,2
bioclip_zero_shot,Juglans nigra,Gymnocladus dioicus,2
bioclip_zero_shot,Nyssa sylvatica,Lindera benzoin,2
bioclip_zero_shot,Nyssa sylvatica,Prunus pensylvanica,2
bioclip_zero_shot,Nyssa sylvatica,Sassafras albidum,2
bioclip_zero_shot,Ostrya virginiana,Carpinus caroliniana,2
bioclip_zero_shot,Picea glauca,Picea rubens,2
bioclip_zero_shot,Pinus strobus,Pinus rigida,2
bioclip_zero_shot,Pyrus calleryana,Gleditsia triacanthos,2
bioclip_zero_shot,Pyrus calleryana,Zanthoxylum americanum,2
bioclip_zero_shot,Quercus muehlenbergii,Quercus alba,2
bioclip_zero_shot,Quercus palustris,Populus tremuloides,2
bioclip_zero_shot,Quercus palustris,Quercus muehlenbergii,2
bioclip_zero_shot,Quercus rubra,Quercus velutina,2
bioclip_zero_shot,Rhus aromatica,Amelanchier arborea,2
bioclip_zero_shot,Sassafras albidum,Magnolia acuminata,2
bioclip_zero_shot,Ulmus americana,Celtis occidentalis,2
bioclip_zero_shot,Acer negundo,Acer saccharinum,1
