organ_category,total,bioclip_zero_shot_top1_accuracy,bioclip_zero_shot_top5_accuracy,bioclip_zero_shot_top1_correct,gemini_flash_lite_top1_accuracy,gemini_flash_lite_top5_accuracy,gemini_flash_lite_top1_correct,gpt_5_4_top1_accuracy,gpt_5_4_top5_accuracy,gpt_5_4_top1_correct
leaf,492,0.8556910569105691,0.9776422764227642,421,0.3719512195121951,0.7113821138211383,183,0.4186991869918699,0.7296747967479674,206
whole tree (or vine),333,0.6186186186186187,0.8438438438438438,206,0.29429429429429427,0.6036036036036037,98,0.3153153153153153,0.5285285285285285,105
inflorescence,312,0.8461538461538461,0.967948717948718,264,0.46474358974358976,0.7243589743589743,145,0.47435897435897434,0.7211538461538461,148
fruit,245,0.9102040816326531,0.9877551020408163,223,0.4448979591836735,0.7673469387755102,109,0.5306122448979592,0.8163265306122449,130
twig,240,0.725,0.9333333333333333,174,0.225,0.44166666666666665,54,0.2833333333333333,0.45416666666666666,68
bark,197,0.6192893401015228,0.8375634517766497,122,0.19289340101522842,0.3299492385786802,38,0.17258883248730963,0.34517766497461927,34
cone,38,0.7894736842105263,0.9473684210526315,30,0.6052631578947368,0.8947368421052632,23,0.7105263157894737,0.868421052631579,27
whole tree,26,0.8076923076923077,0.9615384615384616,21,0.6923076923076923,0.9615384615384616,18,0.5,0.8461538461538461,13
seed,12,0.6666666666666666,0.8333333333333334,8,0.25,0.75,3,0.3333333333333333,0.75,4
unspecified,2,0.5,0.5,1,0.0,0.0,0,0.0,0.0,0
stem,1,1.0,1.0,1,0.0,0.0,0,1.0,1.0,1
whole plant,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1
