ground_truth_species,total,bioclip_zero_shot_top1_accuracy,bioclip_zero_shot_top5_accuracy,bioclip_zero_shot_top1_correct,gemini_flash_lite_top1_accuracy,gemini_flash_lite_top5_accuracy,gemini_flash_lite_top1_correct,gpt_5_4_top1_accuracy,gpt_5_4_top5_accuracy,gpt_5_4_top1_correct
Quercus palustris,114,0.9649122807017544,1.0,110,0.008771929824561403,0.2807017543859649,1,0.5,0.6491228070175439,57
Gleditsia triacanthos,55,0.9636363636363636,0.9818181818181818,53,0.8181818181818182,0.9272727272727272,45,0.4727272727272727,0.7818181818181819,26
Quercus alba,54,0.7222222222222222,0.9814814814814815,39,0.9074074074074074,0.9074074074074074,49,0.46296296296296297,0.5925925925925926,25
Quercus rubra,53,0.4716981132075472,0.8490566037735849,25,0.20754716981132076,0.7358490566037735,11,0.2641509433962264,0.5283018867924528,14
Fagus grandifolia,46,0.9565217391304348,1.0,44,0.717391304347826,0.9130434782608695,33,0.5869565217391305,0.8043478260869565,27
Pyrus calleryana,43,0.5348837209302325,0.7906976744186046,23,0.5813953488372093,0.6511627906976745,25,0.3953488372093023,0.6511627906976745,17
Carpinus caroliniana,41,0.926829268292683,0.975609756097561,38,0.43902439024390244,0.8536585365853658,18,0.12195121951219512,0.7804878048780488,5
Ulmus americana,36,0.8055555555555556,0.9444444444444444,29,0.08333333333333333,0.6388888888888888,3,0.1111111111111111,0.5,4
Juglans nigra,35,0.5428571428571428,0.8571428571428571,19,0.42857142857142855,0.6285714285714286,15,0.2857142857142857,0.6571428571428571,10
Robinia pseudoacacia,35,0.8571428571428571,0.9428571428571428,30,0.45714285714285713,0.7714285714285715,16,0.6,0.7428571428571429,21
Platanus occidentalis,34,0.9411764705882353,0.9705882352941176,32,0.6764705882352942,0.6764705882352942,23,0.5294117647058824,0.6176470588235294,18
Cornus florida,33,0.9393939393939394,1.0,31,0.7878787878787878,0.8787878787878788,26,0.8787878787878788,1.0,29
Gymnocladus dioicus,33,0.7272727272727273,0.9393939393939394,24,0.15151515151515152,0.3939393939393939,5,0.06060606060606061,0.21212121212121213,2
Juglans cinerea,33,0.7272727272727273,0.8787878787878788,24,0.0,0.48484848484848486,0,0.3333333333333333,0.5757575757575758,11
Acer saccharum,32,0.71875,0.90625,23,0.4375,0.5625,14,0.3125,0.5625,10
Fraxinus americana,32,0.1875,0.65625,6,0.09375,0.375,3,0.3125,0.625,10
Nyssa sylvatica,32,0.4375,0.65625,14,0.09375,0.125,3,0.28125,0.4375,9
Quercus velutina,32,0.59375,0.84375,19,0.0,0.28125,0,0.0,0.4375,0
Quercus bicolor,31,0.5161290322580645,0.9354838709677419,16,0.0,0.7419354838709677,0,0.16129032258064516,0.6774193548387096,5
Acer negundo,30,0.9333333333333333,0.9666666666666667,28,0.3333333333333333,0.6,10,0.13333333333333333,0.4666666666666667,4
Sassafras albidum,30,0.8,0.9666666666666667,24,0.23333333333333334,0.23333333333333334,7,0.3,0.36666666666666664,9
Cercis canadensis,29,0.896551724137931,0.9655172413793104,26,0.7241379310344828,0.7931034482758621,21,0.7241379310344828,0.7931034482758621,21
Ailanthus altissima,28,0.8928571428571429,0.9285714285714286,25,0.42857142857142855,0.6071428571428571,12,0.5357142857142857,0.6428571428571429,15
Fraxinus pennsylvanica,28,0.6428571428571429,0.8214285714285714,18,0.0,0.42857142857142855,0,0.03571428571428571,0.5714285714285714,1
Ginkgo biloba,27,0.5925925925925926,0.7777777777777778,16,0.7037037037037037,0.7037037037037037,19,0.7407407407407407,0.7777777777777778,20
Toxicodendron radicans,27,0.9629629629629629,1.0,26,0.5555555555555556,0.6296296296296297,15,0.5185185185185185,0.6296296296296297,14
Magnolia acuminata,26,0.8846153846153846,1.0,23,0.6923076923076923,0.7307692307692307,18,0.6153846153846154,0.6923076923076923,16
Aesculus glabra,25,0.68,0.96,17,0.0,0.72,0,0.56,0.76,14
Carya cordiformis,25,0.84,0.92,21,0.0,0.24,0,0.12,0.36,3
Cephalanthus occidentalis,25,0.92,0.96,23,0.6,0.64,15,0.56,0.64,14
Acer rubrum,24,0.7916666666666666,0.9166666666666666,19,0.2916666666666667,0.7916666666666666,7,0.5,0.6666666666666666,12
Rhus copallinum,24,0.9583333333333334,1.0,23,0.0,0.5416666666666666,0,0.041666666666666664,0.20833333333333334,1
Tilia americana,24,0.9583333333333334,0.9583333333333334,23,0.625,0.6666666666666666,15,0.5,0.5833333333333334,12
Pinus strobus,22,0.7727272727272727,1.0,17,0.8181818181818182,0.9545454545454546,18,0.6818181818181818,0.8181818181818182,15
Quercus macrocarpa,22,0.7272727272727273,0.9545454545454546,16,0.0,0.8636363636363636,0,0.13636363636363635,0.5909090909090909,3
Carya laciniosa,21,0.14285714285714285,0.9523809523809523,3,0.14285714285714285,0.5714285714285714,3,0.2857142857142857,0.47619047619047616,6
Quercus muehlenbergii,20,0.8,1.0,16,0.0,0.65,0,0.0,0.15,0
Amelanchier arborea,19,0.9473684210526315,1.0,18,0.5789473684210527,0.7894736842105263,11,0.42105263157894735,0.7368421052631579,8
Dirca palustris,19,0.2631578947368421,0.5789473684210527,5,0.0,0.05263157894736842,0,0.05263157894736842,0.2631578947368421,1
Populus deltoides,19,0.9473684210526315,1.0,18,0.0,0.631578947368421,0,0.3684210526315789,0.5789473684210527,7
Prunus serotina,19,0.6842105263157895,1.0,13,0.3684210526315789,0.631578947368421,7,0.47368421052631576,0.7368421052631579,9
