species,total,bioclip_zero_top1_accuracy,bioclip_zero_top5_accuracy,bioclip_probe_top1_accuracy,bioclip_probe_top5_accuracy,dinov3_probe_top1_accuracy,dinov3_probe_top5_accuracy,top1_delta_probe_minus_zero,top1_delta_bioclip_probe_minus_dinov3
Acer negundo,5,1.0,1.0,1.0,1.0,0.6,0.8,0.0,0.4
Acer rubrum,3,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
Acer saccharum,4,1.0,1.0,0.75,1.0,0.0,0.0,-0.25,0.75
Aesculus glabra,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Ailanthus altissima,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Amelanchier arborea,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Betula alleghaniensis,1,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0
Betula lenta,3,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Carpinus caroliniana,6,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0
Carya cordiformis,4,1.0,1.0,1.0,1.0,0.25,0.75,0.0,0.75
Carya ovata,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Castanea dentata,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Celtis occidentalis,2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Cephalanthus occidentalis,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Cercis canadensis,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Cornus amomum,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Cornus florida,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Dirca palustris,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Fagus grandifolia,5,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.4
Fraxinus americana,4,0.0,0.5,1.0,1.0,0.25,1.0,1.0,0.75
Fraxinus pennsylvanica,3,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333
Fraxinus quadrangulata,1,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
Ginkgo biloba,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Gleditsia triacanthos,11,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,0.0,0.09090909090909091
Gymnocladus dioicus,3,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0
Ilex verticillata,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Juglans cinerea,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666
Juglans nigra,2,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5
Juniperus virginiana,2,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5
Lindera benzoin,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Lonicera morrowii,3,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,1.0
Nyssa sylvatica,5,0.2,0.6,1.0,1.0,0.6,1.0,0.8,0.4
Ostrya virginiana,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Picea rubens,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Pinus strobus,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
Platanus occidentalis,6,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666
Populus deltoides,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.3333333333333333
Populus tremuloides,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Prunus serotina,4,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5
Pyrus calleryana,2,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0
Quercus alba,7,0.8571428571428571,1.0,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.0,0.14285714285714285
Quercus bicolor,4,0.25,0.75,0.25,0.75,0.5,0.75,0.0,-0.25
Quercus macrocarpa,4,1.0,1.0,0.25,1.0,0.0,0.5,-0.75,0.25
Quercus muehlenbergii,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Quercus palustris,16,1.0,1.0,0.875,1.0,0.875,1.0,-0.125,0.0
Quercus rubra,4,0.25,0.75,0.25,0.75,0.5,1.0,0.0,-0.25
Rhus aromatica,2,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0
Rhus copallinum,3,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
Rhus glabra,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Robinia pseudoacacia,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
