representation,k,image_id,split,cluster_id,distance_to_centroid
bioclip,10,baskauf/13160,validation,9,0.7885341644287109
bioclip,10,baskauf/13159,validation,3,0.6943209171295166
bioclip,10,baskauf/13161,validation,2,0.8663914203643799
bioclip,10,baskauf/15320,test,3,0.7850707173347473
bioclip,10,baskauf/15316,test,3,0.8284105062484741
bioclip,10,baskauf/15307,test,3,0.7044785618782043
bioclip,10,baskauf/15313,test,3,0.6890860795974731
bioclip,10,baskauf/15308,test,9,0.8080043792724609
bioclip,10,baskauf/16050,train,3,0.6763242483139038
bioclip,10,baskauf/16046,train,3,0.8237722516059875
bioclip,10,baskauf/31641,train,3,0.7088304758071899
bioclip,10,baskauf/31637,train,3,0.7230144739151001
bioclip,10,baskauf/31644,train,3,0.7045228481292725
bioclip,10,baskauf/28499,train,3,0.7264197468757629
bioclip,10,baskauf/18234,train,9,0.7824433445930481
bioclip,10,baskauf/54876,train,1,0.8826462626457214
bioclip,10,baskauf/54874,train,3,0.687046468257904
bioclip,10,baskauf/54962,train,3,0.7010561227798462
bioclip,10,baskauf/54969,train,3,0.721799910068512
bioclip,10,baskauf/54970,train,3,0.7124398946762085
bioclip,10,baskauf/54972,train,3,0.6897987127304077
bioclip,10,baskauf/54881,train,5,0.7286903858184814
bioclip,10,baskauf/54884,train,5,0.7131660580635071
bioclip,10,baskauf/29689,train,3,0.6811798214912415
bioclip,10,baskauf/29691,train,3,0.6784211993217468
bioclip,10,baskauf/10897,train,3,0.6712363958358765
bioclip,10,baskauf/54849,train,3,0.6539977192878723
bioclip,10,baskauf/54851,train,3,0.6823798418045044
bioclip,10,baskauf/91000,train,5,0.7613996863365173
bioclip,10,baskauf/89403,train,3,0.7436571717262268
bioclip,10,baskauf/11924,train,9,0.8053872585296631
bioclip,10,baskauf/11916,train,3,0.754716694355011
bioclip,10,baskauf/11920,train,3,0.7074944972991943
bioclip,10,baskauf/11926,train,3,0.6785775423049927
bioclip,10,baskauf/11927,train,3,0.690301239490509
bioclip,10,baskauf/11930,train,9,0.7648308873176575
