representation,k,cluster_id,size_all,size_test,species_count,dominant_species,dominant_species_count,species_purity,species_distribution,organ_count,dominant_organ,dominant_organ_count,organ_purity,organ_distribution,bioclip_correct,bioclip_accuracy,bioclip_error_rate,dinov3_correct,dinov3_accuracy,dinov3_error_rate,gpt_5_4_correct,gpt_5_4_accuracy,gpt_5_4_error_rate,gemini_flash_lite_correct,gemini_flash_lite_accuracy,gemini_flash_lite_error_rate,bioclip_error_count,bioclip_error_enrichment,bioclip_error_p,all_four_wrong_count,all_four_wrong_rate,all_four_wrong_enrichment,all_four_wrong_p,bioclip_error_q,all_four_wrong_q,fdr_error_enriched,descriptive_error_enriched
bioclip,10,0,142,20,15,Carpinus caroliniana,38,0.2676056338028169,"{""Carpinus caroliniana"": 38, ""Fagus grandifolia"": 33, ""Ulmus americana"": 17, ""Ostrya virginiana"": 14, ""Betula alleghaniensis"": 10, ""Betula lenta"": 6, ""Ulmus rubra"": 6, ""Castanea dentata"": 4, ""Tsuga canadensis"": 4, ""Carya ovata"": 3, ""Acer saccharum"": 2, ""Celtis occidentalis"": 2, ""Aesculus glabra"": 1, ""Sassafras albidum"": 1, ""Amelanchier arborea"": 1}",7,leaf,49,0.34507042253521125,"{""leaf"": 49, ""inflorescence"": 26, ""fruit"": 23, ""twig"": 18, ""bark"": 14, ""whole tree (or vine)"": 8, ""whole tree"": 4}",19,0.95,0.05,9,0.45,0.55,6,0.3,0.7,10,0.5,0.5,1,0.3516666666666667,0.9603333052726987,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,10,1,248,31,57,Pyrus calleryana,21,0.0846774193548387,"{""Pyrus calleryana"": 21, ""Gymnocladus dioicus"": 18, ""Ginkgo biloba"": 15, ""Dirca palustris"": 10, ""Zanthoxylum americanum"": 8, ""Acer saccharum"": 7, ""Nyssa sylvatica"": 7, ""Fraxinus americana"": 7, ""Celtis occidentalis"": 6, ""Fagus grandifolia"": 6, ""Cephalanthus occidentalis"": 6, ""Robinia pseudoacacia"": 6, ""Carya ovata"": 5, ""Amelanchier arborea"": 5, ""Pinus strobus"": 5, ""Toxicodendron radicans"": 5, ""Yucca filamentosa"": 5, ""Tilia americana"": 4, ""Juglans cinerea"": 4, ""Ailanthus altissima"": 4, ""Castanea dentata"": 4, ""Aesculus glabra"": 4, ""Gleditsia triacanthos"": 4, ""Carya cordiformis"": 4, ""Ilex verticillata"": 4, ""Rhus aromatica"": 4, ""Sassafras albidum"": 3, ""Lindera benzoin"": 3, ""Fraxinus quadrangulata"": 3, ""Platanus occidentalis"": 3, ""Sorbus americana"": 3, ""Fraxinus pennsylvanica"": 3, ""Quercus palustris"": 3, ""Salix nigra"": 3, ""Cercis canadensis"": 3, ""Cornus florida"": 3, ""Viburnum lantanoides"": 3, ""Ulmus americana"": 3, ""Betula lenta"": 3, ""Betula alleghaniensis"": 3, ""Rhus copallinum"": 3, ""Populus deltoides"": 3, ""Quercus rubra"": 2, ""Quercus bicolor"": 2, ""Quercus alba"": 2, ""Cornus amomum"": 2, ""Lonicera morrowii"": 2, ""Ostrya virginiana"": 2, ""Rhus glabra"": 2, ""Acer negundo"": 1, ""Populus tremuloides"": 1, ""Juglans nigra"": 1, ""Acer rubrum"": 1, ""Quercus muehlenbergii"": 1, ""Sambucus racemosa"": 1, ""Sambucus nigra"": 1, ""Ulmus rubra"": 1}",9,leaf,55,0.2217741935483871,"{""leaf"": 55, ""bark"": 49, ""twig"": 49, ""inflorescence"": 44, ""fruit"": 28, ""cone"": 11, ""whole tree (or vine)"": 6, ""seed"": 5, ""unspecified"": 1}",21,0.6774193548387096,0.3225806451612903,12,0.3870967741935484,0.6129032258064516,8,0.25806451612903225,0.7419354838709677,8,0.25806451612903225,0.7419354838709677,10,2.2688172043010755,0.004335609392351578,7,0.22580645161290322,2.8026565464895636,0.005102877752812912,0.02167804696175789,0.02551438876406456,True,True
bioclip,10,2,115,7,14,Juglans cinerea,24,0.20869565217391303,"{""Juglans cinerea"": 24, ""Juglans nigra"": 23, ""Carya cordiformis"": 17, ""Fraxinus pennsylvanica"": 13, ""Fraxinus quadrangulata"": 12, ""Fraxinus americana"": 10, ""Carya ovata"": 7, ""Ailanthus altissima"": 3, ""Acer negundo"": 1, ""Cercis canadensis"": 1, ""Gymnocladus dioicus"": 1, ""Aesculus glabra"": 1, ""Populus deltoides"": 1, ""Salix nigra"": 1}",7,leaf,31,0.26956521739130435,"{""leaf"": 31, ""twig"": 25, ""fruit"": 19, ""inflorescence"": 16, ""whole tree (or vine)"": 11, ""bark"": 7, ""seed"": 6}",6,0.8571428571428571,0.14285714285714285,3,0.42857142857142855,0.5714285714285714,1,0.14285714285714285,0.8571428571428572,2,0.2857142857142857,0.7142857142857143,1,1.0047619047619047,0.6639179650656153,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,10,3,302,43,26,Platanus occidentalis,23,0.076158940397351,"{""Platanus occidentalis"": 23, ""Sassafras albidum"": 23, ""Acer negundo"": 22, ""Cornus florida"": 22, ""Toxicodendron radicans"": 22, ""Cephalanthus occidentalis"": 19, ""Rhus copallinum"": 18, ""Rhus glabra"": 17, ""Lindera benzoin"": 15, ""Cercis canadensis"": 14, ""Prunus serotina"": 12, ""Nyssa sylvatica"": 11, ""Sambucus nigra"": 11, ""Ilex verticillata"": 10, ""Rhus aromatica"": 10, ""Cornus amomum"": 9, ""Juniperus virginiana"": 9, ""Pyrus calleryana"": 9, ""Acer rubrum"": 8, ""Salix nigra"": 7, ""Tsuga canadensis"": 3, ""Yucca filamentosa"": 2, ""Populus deltoides"": 2, ""Celtis occidentalis"": 2, ""Quercus alba"": 1, ""Ailanthus altissima"": 1}",9,inflorescence,77,0.25496688741721857,"{""inflorescence"": 77, ""leaf"": 72, ""fruit"": 51, ""whole tree (or vine)"": 51, ""twig"": 27, ""bark"": 12, ""cone"": 9, ""whole tree"": 2, ""whole plant"": 1}",43,1.0,0.0,31,0.7209302325581395,0.2790697674418605,24,0.5581395348837209,0.4418604651162791,22,0.5116279069767442,0.4883720930232558,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,10,4,96,13,8,Quercus alba,38,0.3958333333333333,"{""Quercus alba"": 38, ""Quercus bicolor"": 25, ""Quercus macrocarpa"": 13, ""Quercus muehlenbergii"": 13, ""Quercus rubra"": 4, ""Acer saccharum"": 1, ""Nyssa sylvatica"": 1, ""Quercus palustris"": 1}",8,leaf,46,0.4791666666666667,"{""leaf"": 46, ""inflorescence"": 16, ""twig"": 11, ""bark"": 11, ""fruit"": 6, ""whole tree (or vine)"": 4, ""unspecified"": 1, ""seed"": 1}",11,0.8461538461538461,0.15384615384615385,7,0.5384615384615384,0.46153846153846156,6,0.46153846153846156,0.5384615384615384,5,0.38461538461538464,0.6153846153846154,2,1.0820512820512822,0.5774586341387782,1,0.07692307692307693,0.9547511312217195,0.6756051380222164,1.0,1.0,False,False
bioclip,10,5,180,23,35,Ulmus americana,15,0.08333333333333333,"{""Ulmus americana"": 15, ""Fraxinus americana"": 15, ""Quercus rubra"": 13, ""Quercus alba"": 13, ""Quercus palustris"": 12, ""Fraxinus pennsylvanica"": 11, ""Quercus macrocarpa"": 9, ""Juglans nigra"": 9, ""Acer saccharum"": 8, ""Celtis occidentalis"": 6, ""Quercus muehlenbergii"": 6, ""Nyssa sylvatica"": 5, ""Ginkgo biloba"": 5, ""Carya cordiformis"": 4, ""Quercus bicolor"": 4, ""Fagus grandifolia"": 4, ""Robinia pseudoacacia"": 4, ""Juglans cinerea"": 3, ""Acer negundo"": 3, ""Acer rubrum"": 3, ""Carpinus caroliniana"": 3, ""Betula lenta"": 3, ""Gymnocladus dioicus"": 2, ""Gleditsia triacanthos"": 2, ""Sassafras albidum"": 2, ""Cornus florida"": 2, ""Ostrya virginiana"": 2, ""Tsuga canadensis"": 2, ""Platanus occidentalis"": 2, ""Tilia americana"": 2, ""Ulmus rubra"": 2, ""Aesculus glabra"": 1, ""Pinus strobus"": 1, ""Populus deltoides"": 1, ""Ailanthus altissima"": 1}",5,whole tree (or vine),149,0.8277777777777777,"{""whole tree (or vine)"": 149, ""bark"": 20, ""whole tree"": 7, ""inflorescence"": 2, ""fruit"": 2}",11,0.4782608695652174,0.5217391304347826,5,0.21739130434782608,0.782608695652174,3,0.13043478260869565,0.8695652173913043,5,0.21739130434782608,0.782608695652174,12,3.6695652173913045,3.7127722037763005e-06,8,0.34782608695652173,4.3171355498721224,7.523063386259227e-05,3.7127722037763006e-05,0.0007523063386259227,True,True
bioclip,10,6,112,16,6,Gleditsia triacanthos,49,0.4375,"{""Gleditsia triacanthos"": 49, ""Robinia pseudoacacia"": 25, ""Ailanthus altissima"": 19, ""Gymnocladus dioicus"": 9, ""Cercis canadensis"": 8, ""Juglans nigra"": 2}",6,inflorescence,28,0.25,"{""inflorescence"": 28, ""leaf"": 23, ""fruit"": 18, ""twig"": 17, ""whole tree (or vine)"": 14, ""bark"": 12}",16,1.0,0.0,14,0.875,0.125,12,0.75,0.25,15,0.9375,0.0625,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,10,7,130,16,3,Quercus palustris,96,0.7384615384615385,"{""Quercus palustris"": 96, ""Quercus rubra"": 33, ""Platanus occidentalis"": 1}",6,leaf,70,0.5384615384615384,"{""leaf"": 70, ""twig"": 17, ""fruit"": 17, ""bark"": 16, ""whole tree (or vine)"": 6, ""inflorescence"": 4}",16,1.0,0.0,14,0.875,0.125,9,0.5625,0.4375,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,10,8,122,18,13,Sambucus racemosa,18,0.14754098360655737,"{""Sambucus racemosa"": 18, ""Aesculus glabra"": 18, ""Tilia americana"": 18, ""Sorbus americana"": 14, ""Lonicera morrowii"": 13, ""Viburnum lantanoides"": 11, ""Zanthoxylum americanum"": 9, ""Dirca palustris"": 9, ""Ulmus rubra"": 6, ""Castanea dentata"": 3, ""Ilex verticillata"": 1, ""Cornus amomum"": 1, ""Amelanchier arborea"": 1}",6,inflorescence,34,0.2786885245901639,"{""inflorescence"": 34, ""leaf"": 34, ""whole tree (or vine)"": 22, ""fruit"": 20, ""twig"": 10, ""bark"": 2}",17,0.9444444444444444,0.05555555555555555,9,0.5,0.5,5,0.2777777777777778,0.7222222222222222,5,0.2777777777777778,0.7222222222222222,1,0.3907407407407407,0.9443350359836825,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,10,9,194,24,33,Pinus strobus,16,0.08247422680412371,"{""Pinus strobus"": 16, ""Acer saccharum"": 14, ""Pyrus calleryana"": 13, ""Acer rubrum"": 12, ""Populus deltoides"": 12, ""Amelanchier arborea"": 12, ""Populus tremuloides"": 11, ""Yucca filamentosa"": 9, ""Picea rubens"": 8, ""Nyssa sylvatica"": 8, ""Salix nigra"": 8, ""Juniperus virginiana"": 7, ""Prunus serotina"": 7, ""Ginkgo biloba"": 7, ""Cornus florida"": 6, ""Tsuga canadensis"": 6, ""Platanus occidentalis"": 5, ""Cornus amomum"": 4, ""Acer negundo"": 3, ""Fagus grandifolia"": 3, ""Gymnocladus dioicus"": 3, ""Cercis canadensis"": 3, ""Rhus copallinum"": 3, ""Juglans cinerea"": 2, ""Quercus palustris"": 2, ""Sorbus americana"": 2, ""Ilex verticillata"": 2, ""Fraxinus pennsylvanica"": 1, ""Sassafras albidum"": 1, ""Quercus rubra"": 1, ""Betula alleghaniensis"": 1, ""Celtis occidentalis"": 1, ""Ulmus americana"": 1}",9,leaf,36,0.18556701030927836,"{""leaf"": 36, ""inflorescence"": 30, ""whole tree (or vine)"": 29, ""bark"": 28, ""twig"": 27, ""fruit"": 25, ""cone"": 13, ""whole tree"": 5, ""stem"": 1}",21,0.875,0.125,15,0.625,0.375,9,0.375,0.625,13,0.5416666666666666,0.45833333333333337,3,0.8791666666666667,0.6990938870459487,1,0.041666666666666664,0.517156862745098,0.8823876349277187,1.0,1.0,False,False
