representation,species_a,species_b,source_confusion_occurrences,species_a_images,species_b_images,centroid_cosine_similarity,species_a_within_similarity_cross_observation,species_b_within_similarity_cross_observation,cross_species_mean_similarity,cross_observation_nn_same_species_rate,cross_observation_nn_other_pair_species_rate,cross_observation_nn_other_species_rate
bioclip,Quercus palustris,Quercus alba,14,114,54,0.6935058832168579,0.6279075145721436,0.5322168469429016,0.410851389169693,0.8511904761904762,0.023809523809523808,0.125
bioclip,Quercus macrocarpa,Quercus alba,9,22,54,0.8854713439941406,0.5142691731452942,0.5322168469429016,0.49113768339157104,0.5657894736842105,0.09210526315789473,0.34210526315789475
bioclip,Quercus palustris,Quercus rubra,9,114,53,0.8938294649124146,0.6279075145721436,0.5262448191642761,0.5277681946754456,0.8263473053892215,0.059880239520958084,0.11377245508982035
bioclip,Quercus bicolor,Quercus alba,6,31,54,0.8680041432380676,0.5372377634048462,0.5322168469429016,0.49279457330703735,0.6352941176470588,0.047058823529411764,0.3176470588235294
bioclip,Sambucus racemosa,Sambucus nigra,4,19,12,0.6923456192016602,0.8223350048065186,0.760409951210022,0.564912736415863,0.9354838709677419,0.03225806451612903,0.03225806451612903
dinov3,Quercus palustris,Quercus alba,14,114,54,0.7649867534637451,0.3198208808898926,0.22555045783519745,0.2195357233285904,0.7321428571428571,0.047619047619047616,0.22023809523809523
dinov3,Quercus macrocarpa,Quercus alba,9,22,54,0.8557335138320923,0.15156607329845428,0.22555045783519745,0.20056846737861633,0.3684210526315789,0.14473684210526316,0.4868421052631579
dinov3,Quercus palustris,Quercus rubra,9,114,53,0.9046783447265625,0.3198208808898926,0.23990914225578308,0.2727148234844208,0.6586826347305389,0.12574850299401197,0.2155688622754491
dinov3,Quercus bicolor,Quercus alba,6,31,54,0.7809600830078125,0.23579132556915283,0.22555045783519745,0.2138780951499939,0.35294117647058826,0.15294117647058825,0.49411764705882355
dinov3,Sambucus racemosa,Sambucus nigra,4,19,12,0.731558084487915,0.27792465686798096,0.2709895074367523,0.24914082884788513,0.5806451612903226,0.03225806451612903,0.3870967741935484
