representation,comparison,relation,bin_left,bin_right,bin_center,density
bioclip,species,same,-0.2240044367313385,-0.20870438127219676,-0.2163544090017676,0.0
bioclip,species,same,-0.20870438127219676,-0.19340432581305503,-0.2010543535426259,0.0
bioclip,species,same,-0.19340432581305503,-0.1781042703539133,-0.18575429808348415,0.0
bioclip,species,same,-0.1781042703539133,-0.16280421489477157,-0.17045424262434244,0.0
bioclip,species,same,-0.16280421489477157,-0.14750415943562983,-0.15515418716520069,0.0
bioclip,species,same,-0.14750415943562983,-0.1322041039764881,-0.13985413170605898,0.0
bioclip,species,same,-0.1322041039764881,-0.11690404851734637,-0.12455407624691724,0.0
bioclip,species,same,-0.11690404851734637,-0.10160399305820464,-0.1092540207877755,0.0
bioclip,species,same,-0.10160399305820464,-0.08630393759906291,-0.09395396532863377,0.0
bioclip,species,same,-0.08630393759906291,-0.07100388213992118,-0.07865390986949204,0.0
bioclip,species,same,-0.07100388213992118,-0.055703826680779445,-0.06335385441035031,0.0
bioclip,species,same,-0.055703826680779445,-0.04040377122163771,-0.04805379895120858,0.0
bioclip,species,same,-0.04040377122163771,-0.02510371576249598,-0.03275374349206685,0.0
bioclip,species,same,-0.02510371576249598,-0.00980366030335425,-0.017453688032925116,0.0
bioclip,species,same,-0.00980366030335425,0.005496395155787481,-0.0021536325737833845,0.0
bioclip,species,same,0.005496395155787481,0.020796450614929213,0.013146422885358347,0.0
bioclip,species,same,0.020796450614929213,0.036096506074070916,0.028446478344500065,0.0
bioclip,species,same,0.036096506074070916,0.051396561533212676,0.043746533803641796,0.0
bioclip,species,same,0.051396561533212676,0.06669661699235443,0.059046589262783555,0.0
bioclip,species,same,0.06669661699235443,0.08199667245149614,0.07434664472192529,0.0
bioclip,species,same,0.08199667245149614,0.09729672791063784,0.08964670018106699,0.0
bioclip,species,same,0.09729672791063784,0.1125967833697796,0.10494675564020872,0.0
bioclip,species,same,0.1125967833697796,0.12789683882892136,0.12024681109935048,0.0
bioclip,species,same,0.12789683882892136,0.14319689428806306,0.1355468665584922,0.0028999574146456367
bioclip,species,same,0.14319689428806306,0.15849694974720477,0.15084692201763392,0.0057999148292912734
bioclip,species,same,0.15849694974720477,0.17379700520634653,0.16614697747677565,0.02319965931716501
bioclip,species,same,0.17379700520634653,0.1890970606654883,0.1814470329359174,0.01739974448787376
bioclip,species,same,0.1890970606654883,0.20439711612463,0.19674708839505914,0.08699872243936911
bioclip,species,same,0.20439711612463,0.2196971715837717,0.21204714385420084,0.09859855209795165
bioclip,species,same,0.2196971715837717,0.23499722704291345,0.22734719931334257,0.17109748746409195
bioclip,species,same,0.23499722704291345,0.2502972825020552,0.24264725477248433,0.19719710419590294
bioclip,species,same,0.2502972825020552,0.2655973379611969,0.25794731023162604,0.36539463424535024
bioclip,species,same,0.2655973379611969,0.2808973934203386,0.27324736569076774,0.3798944213185784
bioclip,species,same,0.2808973934203386,0.2961974488794803,0.28854742114990944,0.47269305858723876
bioclip,species,same,0.2961974488794803,0.3114975043386221,0.3038474766090512,0.5857913977584144
bioclip,species,same,0.3114975043386221,0.3267975597977638,0.31914753206819296,0.7858884593689676
bioclip,species,same,0.3267975597977638,0.3420976152569055,0.33444758752733467,0.9047867133694387
bioclip,species,same,0.3420976152569055,0.35739767071604733,0.3497476429864764,1.1628829232728919
bioclip,species,same,0.35739767071604733,0.37269772617518904,0.3650476984456182,1.365879942298095
bioclip,species,same,0.37269772617518904,0.38799778163433074,0.3803477539047599,1.3542801126395125
bioclip,species,same,0.38799778163433074,0.40329783709347244,0.3956478093639016,1.7022750023969888
bioclip,species,same,0.40329783709347244,0.41859789255261415,0.4109478648230433,1.7979735970802948
bioclip,species,same,0.41859789255261415,0.43389794801175596,0.42624792028218506,1.9255717233246887
bioclip,species,same,0.43389794801175596,0.44919800347089767,0.4415479757413268,1.9342715955686398
bioclip,species,same,0.44919800347089767,0.46449805893003937,0.4568480312004685,2.0560698069837566
bioclip,species,same,0.46449805893003937,0.4797981143891812,0.4721480866596103,2.1082690404473627
bioclip,species,same,0.4797981143891812,0.4950981698483229,0.48744814211875204,2.137268614593834
bioclip,species,same,0.4950981698483229,0.5103982253074646,0.5027481975778938,1.931371638153994
bioclip,species,same,0.5103982253074646,0.5256982807666063,0.5180482530370354,1.7776738951777753
bioclip,species,same,0.5256982807666063,0.540998336225748,0.5333483084961772,1.9603712123004506
bioclip,species,same,0.540998336225748,0.5562983916848898,0.5486483639553189,2.041570019910514
bioclip,species,same,0.5562983916848898,0.5715984471440315,0.5639484194144606,1.858872702787853
bioclip,species,same,0.5715984471440315,0.5868985026031732,0.5792484748736024,2.038670062495883
bioclip,species,same,0.5868985026031732,0.602198558062315,0.5945485303327441,2.2300672518624785
bioclip,species,same,0.602198558062315,0.6174986135214567,0.6098485857918858,2.0647696792276933
bioclip,species,same,0.6174986135214567,0.6327986689805984,0.6251486412510276,2.0067705309347805
bioclip,species,same,0.6327986689805984,0.6480987244397401,0.6404486967101692,1.9052720214221837
bioclip,species,same,0.6480987244397401,0.6633987798988819,0.655748752169311,1.5311775149328963
bioclip,species,same,0.6633987798988819,0.6786988353580237,0.6710488076284528,1.5746768761525693
bioclip,species,same,0.6786988353580237,0.6939988908171654,0.6863488630875945,1.452878664737464
bioclip,species,same,0.6939988908171654,0.7092989462763071,0.7016489185467363,1.3252805384930562
bioclip,species,same,0.7092989462763071,0.7245990017354489,0.716948974005878,1.1657828806875377
bioclip,species,same,0.7245990017354489,0.7398990571945906,0.7322490294650197,1.4325789628349448
bioclip,species,same,0.7398990571945906,0.7551991126537323,0.7475490849241615,1.4354789202495901
bioclip,species,same,0.7551991126537323,0.770499168112874,0.7628491403833031,1.3513801552248668
bioclip,species,same,0.770499168112874,0.7857992235720157,0.7781491958424449,1.470278409225338
bioclip,species,same,0.7857992235720157,0.8010992790311575,0.7934492513015866,1.4238790905909975
bioclip,species,same,0.8010992790311575,0.8163993344902991,0.8087493067607283,1.391979559029916
bioclip,species,same,0.8163993344902991,0.8316993899494409,0.82404936221987,1.3455802403955657
bioclip,species,same,0.8316993899494409,0.8469994454085827,0.8393494176790118,1.2962809643465902
bioclip,species,same,0.8469994454085827,0.8622995008677243,0.8546494731381535,1.3107807514198373
bioclip,species,same,0.8622995008677243,0.8775995563268661,0.8699495285972952,1.101983817565334
bioclip,species,same,0.8775995563268661,0.892899611786008,0.885249584056437,0.9975853506380918
bioclip,species,same,0.892899611786008,0.9081996672451496,0.9005496395155788,0.7684887148810994
bioclip,species,same,0.9081996672451496,0.9234997227042914,0.9158496949747205,0.7104895665881759
bioclip,species,same,0.9234997227042914,0.9387997781634332,0.9311497504338623,0.3972941658064494
bioclip,species,same,0.9387997781634332,0.9540998336225748,0.946449805893004,0.2754959543913375
bioclip,species,same,0.9540998336225748,0.9693998890817166,0.9617498613521457,0.10439846692724218
bioclip,species,same,0.9693998890817166,0.9846999445408582,0.9770499168112874,0.037699446390393555
bioclip,species,same,0.9846999445408582,1.0,0.9923499722704291,0.0
bioclip,species,different,-0.2240044367313385,-0.20870438127219676,-0.2163544090017676,0.0
bioclip,species,different,-0.20870438127219676,-0.19340432581305503,-0.2010543535426259,0.0
bioclip,species,different,-0.19340432581305503,-0.1781042703539133,-0.18575429808348415,0.0
bioclip,species,different,-0.1781042703539133,-0.16280421489477157,-0.17045424262434244,0.0
bioclip,species,different,-0.16280421489477157,-0.14750415943562983,-0.15515418716520069,0.0
bioclip,species,different,-0.14750415943562983,-0.1322041039764881,-0.13985413170605898,0.0
bioclip,species,different,-0.1322041039764881,-0.11690404851734637,-0.12455407624691724,0.0
bioclip,species,different,-0.11690404851734637,-0.10160399305820464,-0.1092540207877755,0.0
bioclip,species,different,-0.10160399305820464,-0.08630393759906291,-0.09395396532863377,0.0
bioclip,species,different,-0.08630393759906291,-0.07100388213992118,-0.07865390986949204,0.0
bioclip,species,different,-0.07100388213992118,-0.055703826680779445,-0.06335385441035031,0.0
bioclip,species,different,-0.055703826680779445,-0.04040377122163771,-0.04805379895120858,0.0
bioclip,species,different,-0.04040377122163771,-0.02510371576249598,-0.03275374349206685,0.0
bioclip,species,different,-0.02510371576249598,-0.00980366030335425,-0.017453688032925116,0.0
bioclip,species,different,-0.00980366030335425,0.005496395155787481,-0.0021536325737833845,0.0
bioclip,species,different,0.005496395155787481,0.020796450614929213,0.013146422885358347,0.0002480287263230879
bioclip,species,different,0.020796450614929213,0.036096506074070916,0.028446478344500065,0.0015873838484677654
bioclip,species,different,0.036096506074070916,0.051396561533212676,0.043746533803641796,0.004414911328550957
bioclip,species,different,0.051396561533212676,0.06669661699235443,0.059046589262783555,0.010962869703480467
bioclip,species,different,0.06669661699235443,0.08199667245149614,0.07434664472192529,0.025596564556542717
bioclip,species,different,0.08199667245149614,0.09729672791063784,0.08964670018106699,0.053326176159463994
bioclip,species,different,0.09729672791063784,0.1125967833697796,0.10494675564020872,0.0961359343228287
bioclip,species,different,0.1125967833697796,0.12789683882892136,0.12024681109935048,0.18785695731710644
bioclip,species,different,0.12789683882892136,0.14319689428806306,0.1355468665584922,0.2985273750024692
bioclip,species,different,0.14319689428806306,0.15849694974720477,0.15084692201763392,0.4757687028329481
bioclip,species,different,0.15849694974720477,0.17379700520634653,0.16614697747677565,0.7212179304022737
bioclip,species,different,0.17379700520634653,0.1890970606654883,0.1814470329359174,1.0402324781990286
bioclip,species,different,0.1890970606654883,0.20439711612463,0.19674708839505914,1.4398563620507925
bioclip,species,different,0.20439711612463,0.2196971715837717,0.21204714385420084,1.9128967488941866
bioclip,species,different,0.2196971715837717,0.23499722704291345,0.22734719931334257,2.4483907690257256
bioclip,species,different,0.23499722704291345,0.2502972825020552,0.24264725477248433,2.9896390556079724
bioclip,species,different,0.2502972825020552,0.2655973379611969,0.25794731023162604,3.548398170268631
bioclip,species,different,0.2655973379611969,0.2808973934203386,0.27324736569076774,4.003034825618853
bioclip,species,different,0.2808973934203386,0.2961974488794803,0.28854742114990944,4.359154470873542
bioclip,species,different,0.2961974488794803,0.3114975043386221,0.3038474766090512,4.555444404885602
bioclip,species,different,0.3114975043386221,0.3267975597977638,0.31914753206819296,4.584662188846495
bioclip,species,different,0.3267975597977638,0.3420976152569055,0.33444758752733467,4.473148473491634
bioclip,species,different,0.3420976152569055,0.35739767071604733,0.3497476429864764,4.220208778387318
bioclip,species,different,0.35739767071604733,0.37269772617518904,0.3650476984456182,3.848909775081685
bioclip,species,different,0.37269772617518904,0.38799778163433074,0.3803477539047599,3.4399104053749125
bioclip,species,different,0.38799778163433074,0.40329783709347244,0.3956478093639016,2.9998082333872245
bioclip,species,different,0.40329783709347244,0.41859789255261415,0.4109478648230433,2.5865923753329594
bioclip,species,different,0.41859789255261415,0.43389794801175596,0.42624792028218506,2.1716899219396812
bioclip,species,different,0.43389794801175596,0.44919800347089767,0.4415479757413268,1.8219694178241423
bioclip,species,different,0.44919800347089767,0.46449805893003937,0.4568480312004685,1.5108917892697251
bioclip,species,different,0.46449805893003937,0.4797981143891812,0.4721480866596103,1.2378121615879958
bioclip,species,different,0.4797981143891812,0.4950981698483229,0.48744814211875204,0.9985140464314891
bioclip,species,different,0.4950981698483229,0.5103982253074646,0.5027481975778938,0.7948328563749689
bioclip,species,different,0.5103982253074646,0.5256982807666063,0.5180482530370354,0.6117876563485297
bioclip,species,different,0.5256982807666063,0.540998336225748,0.5333483084961772,0.48395365080161
bioclip,species,different,0.540998336225748,0.5562983916848898,0.5486483639553189,0.35487950162307225
bioclip,species,different,0.5562983916848898,0.5715984471440315,0.5639484194144606,0.2628112384119444
bioclip,species,different,0.5715984471440315,0.5868985026031732,0.5792484748736024,0.19460333867309512
bioclip,species,different,0.5868985026031732,0.602198558062315,0.5945485303327441,0.14663458300220877
bioclip,species,different,0.602198558062315,0.6174986135214567,0.6098485857918858,0.10938066830848196
bioclip,species,different,0.6174986135214567,0.6327986689805984,0.6251486412510276,0.08110539350764989
bioclip,species,different,0.6327986689805984,0.6480987244397401,0.6404486967101692,0.0642890458629445
bioclip,species,different,0.6480987244397401,0.6633987798988819,0.655748752169311,0.0468774292750637
bioclip,species,different,0.6633987798988819,0.6786988353580237,0.6710488076284528,0.03923814450431229
bioclip,species,different,0.6786988353580237,0.6939988908171654,0.6863488630875945,0.02837448629136131
bioclip,species,different,0.6939988908171654,0.7092989462763071,0.7016489185467363,0.021925739406961013
bioclip,species,different,0.7092989462763071,0.7245990017354489,0.716948974005878,0.015873838484677542
bioclip,species,different,0.7245990017354489,0.7398990571945906,0.7322490294650197,0.01106208119400974
bioclip,species,different,0.7398990571945906,0.7551991126537323,0.7475490849241615,0.0076392847707511214
bioclip,species,different,0.7551991126537323,0.770499168112874,0.7628491403833031,0.005655054960166415
bioclip,species,different,0.770499168112874,0.7857992235720157,0.7781491958424449,0.004166882602227884
bioclip,species,different,0.7857992235720157,0.8010992790311575,0.7934492513015866,0.0022818642821723963
bioclip,species,different,0.8010992790311575,0.8163993344902991,0.8087493067607283,0.001736201084261631
bioclip,species,different,0.8163993344902991,0.8316993899494409,0.82404936221987,0.0012401436316154327
bioclip,species,different,0.8316993899494409,0.8469994454085827,0.8393494176790118,0.000644874688440025
bioclip,species,different,0.8469994454085827,0.8622995008677243,0.8546494731381535,0.0005456631979107984
bioclip,species,different,0.8622995008677243,0.8775995563268661,0.8699495285972952,0.00044645170738155584
bioclip,species,different,0.8775995563268661,0.892899611786008,0.885249584056437,0.0002480287263230866
bioclip,species,different,0.892899611786008,0.9081996672451496,0.9005496395155788,0.0001984229810584721
bioclip,species,different,0.9081996672451496,0.9234997227042914,0.9158496949747205,0.0
bioclip,species,different,0.9234997227042914,0.9387997781634332,0.9311497504338623,0.0
bioclip,species,different,0.9387997781634332,0.9540998336225748,0.946449805893004,0.0
bioclip,species,different,0.9540998336225748,0.9693998890817166,0.9617498613521457,0.0
bioclip,species,different,0.9693998890817166,0.9846999445408582,0.9770499168112874,0.0
bioclip,species,different,0.9846999445408582,1.0,0.9923499722704291,0.0
bioclip,normalized_organ,same,-0.2240044367313385,-0.20870438127219676,-0.2163544090017676,0.0
bioclip,normalized_organ,same,-0.20870438127219676,-0.19340432581305503,-0.2010543535426259,0.0
bioclip,normalized_organ,same,-0.19340432581305503,-0.1781042703539133,-0.18575429808348415,0.0
bioclip,normalized_organ,same,-0.1781042703539133,-0.16280421489477157,-0.17045424262434244,0.0
bioclip,normalized_organ,same,-0.16280421489477157,-0.14750415943562983,-0.15515418716520069,0.0
bioclip,normalized_organ,same,-0.14750415943562983,-0.1322041039764881,-0.13985413170605898,0.0
bioclip,normalized_organ,same,-0.1322041039764881,-0.11690404851734637,-0.12455407624691724,0.0
bioclip,normalized_organ,same,-0.11690404851734637,-0.10160399305820464,-0.1092540207877755,0.0
bioclip,normalized_organ,same,-0.10160399305820464,-0.08630393759906291,-0.09395396532863377,0.0
bioclip,normalized_organ,same,-0.08630393759906291,-0.07100388213992118,-0.07865390986949204,0.0
bioclip,normalized_organ,same,-0.07100388213992118,-0.055703826680779445,-0.06335385441035031,0.0
bioclip,normalized_organ,same,-0.055703826680779445,-0.04040377122163771,-0.04805379895120858,0.0
bioclip,normalized_organ,same,-0.04040377122163771,-0.02510371576249598,-0.03275374349206685,0.0
bioclip,normalized_organ,same,-0.02510371576249598,-0.00980366030335425,-0.017453688032925116,0.0
bioclip,normalized_organ,same,-0.00980366030335425,0.005496395155787481,-0.0021536325737833845,0.0
bioclip,normalized_organ,same,0.005496395155787481,0.020796450614929213,0.013146422885358347,0.0
bioclip,normalized_organ,same,0.020796450614929213,0.036096506074070916,0.028446478344500065,0.0005666019974450891
bioclip,normalized_organ,same,0.036096506074070916,0.051396561533212676,0.043746533803641796,0.0016998059923352613
bioclip,normalized_organ,same,0.051396561533212676,0.06669661699235443,0.059046589262783555,0.006799223969341045
bioclip,normalized_organ,same,0.06669661699235443,0.08199667245149614,0.07434664472192529,0.01671475892463013
