representation,k,image_id,split,cluster_id,distance_to_centroid
efficientnet_b0,20,baskauf/13160,validation,5,0.622814416885376
efficientnet_b0,20,baskauf/13159,validation,2,0.6860716938972473
efficientnet_b0,20,baskauf/13161,validation,4,0.7518295645713806
efficientnet_b0,20,baskauf/15320,test,18,0.6663296818733215
efficientnet_b0,20,baskauf/15316,test,10,0.6311760544776917
efficientnet_b0,20,baskauf/15307,test,2,0.683975100517273
efficientnet_b0,20,baskauf/15313,test,10,0.5920305848121643
efficientnet_b0,20,baskauf/15308,test,15,0.7579317688941956
efficientnet_b0,20,baskauf/16050,train,18,0.832033634185791
efficientnet_b0,20,baskauf/16046,train,18,0.8669888973236084
efficientnet_b0,20,baskauf/31641,train,0,0.7725401520729065
efficientnet_b0,20,baskauf/31637,train,13,0.8575797080993652
efficientnet_b0,20,baskauf/31644,train,6,0.7425684928894043
efficientnet_b0,20,baskauf/28499,train,2,0.7910780906677246
efficientnet_b0,20,baskauf/18234,train,0,0.8571978807449341
efficientnet_b0,20,baskauf/54876,train,16,0.5545019507408142
efficientnet_b0,20,baskauf/54874,train,2,0.662827730178833
efficientnet_b0,20,baskauf/54962,train,10,0.6249501705169678
efficientnet_b0,20,baskauf/54969,train,10,0.5839464068412781
efficientnet_b0,20,baskauf/54970,train,2,0.6459576487541199
efficientnet_b0,20,baskauf/54972,train,10,0.5993964672088623
efficientnet_b0,20,baskauf/54881,train,14,0.6188313961029053
efficientnet_b0,20,baskauf/54884,train,14,0.5700295567512512
efficientnet_b0,20,baskauf/29689,train,2,0.7826635241508484
efficientnet_b0,20,baskauf/29691,train,2,0.777090847492218
efficientnet_b0,20,baskauf/10897,train,1,0.7302167415618896
efficientnet_b0,20,baskauf/54849,train,14,0.638913631439209
efficientnet_b0,20,baskauf/54851,train,14,0.7393597364425659
efficientnet_b0,20,baskauf/91000,train,14,0.7059652209281921
efficientnet_b0,20,baskauf/89403,train,13,0.7791553139686584
efficientnet_b0,20,baskauf/11924,train,18,0.6377076506614685
efficientnet_b0,20,baskauf/11916,train,11,0.7770476937294006
efficientnet_b0,20,baskauf/11920,train,11,0.6486715078353882
efficientnet_b0,20,baskauf/11926,train,15,0.7705928087234497
efficientnet_b0,20,baskauf/11927,train,15,0.6327551007270813
efficientnet_b0,20,baskauf/11930,train,14,0.6959902048110962
efficientnet_b0,20,baskauf/29761,train,5,0.711579442024231
efficientnet_b0,20,baskauf/18219,train,0,0.8292296528816223
efficientnet_b0,20,baskauf/18225,train,0,0.8010097146034241
efficientnet_b0,20,baskauf/39069,train,9,0.8430608510971069
efficientnet_b0,20,baskauf/00001,train,6,0.8301441669464111
efficientnet_b0,20,baskauf/00000,train,13,0.6404411792755127
efficientnet_b0,20,baskauf/10492,train,15,0.8110759854316711
efficientnet_b0,20,baskauf/10495,validation,15,0.8935379385948181
efficientnet_b0,20,baskauf/10496,validation,13,0.8035620450973511
efficientnet_b0,20,baskauf/10494,validation,13,0.6535618901252747
efficientnet_b0,20,baskauf/19269,train,13,0.65912264585495
