representation,k,cluster_id,size_all,size_test,species_count,dominant_species,dominant_species_count,species_purity,species_distribution,organ_count,dominant_organ,dominant_organ_count,organ_purity,organ_distribution,bioclip_correct,bioclip_accuracy,bioclip_error_rate,dinov3_correct,dinov3_accuracy,dinov3_error_rate,gpt_5_4_correct,gpt_5_4_accuracy,gpt_5_4_error_rate,gemini_flash_lite_correct,gemini_flash_lite_accuracy,gemini_flash_lite_error_rate,efficientnet_b0_correct,efficientnet_b0_accuracy,efficientnet_b0_error_rate
efficientnet_b0,20,0,136,22,47,Fagus grandifolia,9,0.0661764705882353,"{""Fagus grandifolia"": 9, ""Gymnocladus dioicus"": 9, ""Gleditsia triacanthos"": 7, ""Yucca filamentosa"": 7, ""Ginkgo biloba"": 6, ""Pyrus calleryana"": 6, ""Ostrya virginiana"": 5, ""Carya cordiformis"": 5, ""Nyssa sylvatica"": 5, ""Aesculus glabra"": 5, ""Acer saccharum"": 5, ""Carpinus caroliniana"": 4, ""Lonicera morrowii"": 4, ""Ulmus americana"": 4, ""Pinus strobus"": 4, ""Amelanchier arborea"": 4, ""Ilex verticillata"": 3, ""Fraxinus pennsylvanica"": 3, ""Sassafras albidum"": 3, ""Acer rubrum"": 3, ""Tsuga canadensis"": 3, ""Quercus palustris"": 2, ""Acer negundo"": 2, ""Quercus alba"": 2, ""Robinia pseudoacacia"": 2, ""Celtis occidentalis"": 2, ""Toxicodendron radicans"": 2, ""Platanus occidentalis"": 1, ""Zanthoxylum americanum"": 1, ""Populus deltoides"": 1, ""Salix nigra"": 1, ""Ailanthus altissima"": 1, ""Fraxinus quadrangulata"": 1, ""Quercus muehlenbergii"": 1, ""Fraxinus americana"": 1, ""Lindera benzoin"": 1, ""Juglans nigra"": 1, ""Quercus rubra"": 1, ""Quercus macrocarpa"": 1, ""Quercus bicolor"": 1, ""Cercis canadensis"": 1, ""Juniperus virginiana"": 1, ""Cornus amomum"": 1, ""Viburnum lantanoides"": 1, ""Sambucus racemosa"": 1, ""Sambucus nigra"": 1, ""Ulmus rubra"": 1}",6,inflorescence,67,0.49264705882352944,"{""inflorescence"": 67, ""fruit"": 34, ""leaf"": 13, ""twig"": 12, ""cone"": 9, ""stem"": 1}",20,0.9090909090909091,0.09090909090909094,13,0.5909090909090909,0.40909090909090906,5,0.22727272727272727,0.7727272727272727,7,0.3181818181818182,0.6818181818181819,1,0.045454545454545456,0.9545454545454546
efficientnet_b0,20,1,92,10,40,Rhus copallinum,6,0.06521739130434782,"{""Rhus copallinum"": 6, ""Ailanthus altissima"": 6, ""Cornus florida"": 5, ""Gleditsia triacanthos"": 4, ""Toxicodendron radicans"": 4, ""Gymnocladus dioicus"": 4, ""Juglans nigra"": 3, ""Rhus glabra"": 3, ""Dirca palustris"": 3, ""Cephalanthus occidentalis"": 3, ""Fraxinus quadrangulata"": 3, ""Nyssa sylvatica"": 3, ""Sassafras albidum"": 3, ""Cercis canadensis"": 3, ""Ginkgo biloba"": 2, ""Lindera benzoin"": 2, ""Sorbus americana"": 2, ""Aesculus glabra"": 2, ""Zanthoxylum americanum"": 2, ""Tilia americana"": 2, ""Juglans cinerea"": 2, ""Celtis occidentalis"": 2, ""Rhus aromatica"": 2, ""Robinia pseudoacacia"": 2, ""Juniperus virginiana"": 2, ""Carpinus caroliniana"": 2, ""Yucca filamentosa"": 2, ""Carya cordiformis"": 1, ""Lonicera morrowii"": 1, ""Ostrya virginiana"": 1, ""Populus tremuloides"": 1, ""Populus deltoides"": 1, ""Sambucus racemosa"": 1, ""Sambucus nigra"": 1, ""Platanus occidentalis"": 1, ""Pinus strobus"": 1, ""Viburnum lantanoides"": 1, ""Fraxinus pennsylvanica"": 1, ""Quercus muehlenbergii"": 1, ""Acer negundo"": 1}",6,whole tree (or vine),37,0.40217391304347827,"{""whole tree (or vine)"": 37, ""leaf"": 25, ""inflorescence"": 14, ""fruit"": 12, ""cone"": 3, ""twig"": 1}",9,0.9,0.09999999999999998,4,0.4,0.6,5,0.5,0.5,4,0.4,0.6,1,0.1,0.9
efficientnet_b0,20,2,126,10,49,Acer negundo,7,0.05555555555555555,"{""Acer negundo"": 7, ""Gleditsia triacanthos"": 6, ""Nyssa sylvatica"": 5, ""Fraxinus quadrangulata"": 5, ""Rhus copallinum"": 5, ""Toxicodendron radicans"": 5, ""Carpinus caroliniana"": 5, ""Robinia pseudoacacia"": 5, ""Fraxinus americana"": 4, ""Sassafras albidum"": 4, ""Juglans nigra"": 4, ""Quercus palustris"": 4, ""Ginkgo biloba"": 4, ""Sambucus racemosa"": 4, ""Cercis canadensis"": 3, ""Dirca palustris"": 3, ""Salix nigra"": 3, ""Carya ovata"": 3, ""Aesculus glabra"": 3, ""Cornus florida"": 2, ""Carya cordiformis"": 2, ""Sorbus americana"": 2, ""Fraxinus pennsylvanica"": 2, ""Rhus glabra"": 2, ""Lindera benzoin"": 2, ""Cephalanthus occidentalis"": 2, ""Acer saccharum"": 2, ""Platanus occidentalis"": 2, ""Ailanthus altissima"": 2, ""Castanea dentata"": 2, ""Viburnum lantanoides"": 2, ""Ulmus americana"": 2, ""Prunus serotina"": 2, ""Zanthoxylum americanum"": 1, ""Populus tremuloides"": 1, ""Tilia americana"": 1, ""Ilex verticillata"": 1, ""Tsuga canadensis"": 1, ""Picea rubens"": 1, ""Rhus aromatica"": 1, ""Ostrya virginiana"": 1, ""Juglans cinerea"": 1, ""Quercus rubra"": 1, ""Quercus muehlenbergii"": 1, ""Quercus alba"": 1, ""Fagus grandifolia"": 1, ""Gymnocladus dioicus"": 1, ""Cornus amomum"": 1, ""Ulmus rubra"": 1}",6,leaf,93,0.7380952380952381,"{""leaf"": 93, ""fruit"": 15, ""inflorescence"": 11, ""twig"": 4, ""whole tree (or vine)"": 2, ""cone"": 1}",8,0.8,0.19999999999999996,7,0.7,0.30000000000000004,3,0.3,0.7,4,0.4,0.6,2,0.2,0.8
efficientnet_b0,20,3,65,10,23,Quercus palustris,9,0.13846153846153847,"{""Quercus palustris"": 9, ""Fraxinus americana"": 6, ""Juglans nigra"": 6, ""Fraxinus pennsylvanica"": 5, ""Quercus rubra"": 5, ""Quercus muehlenbergii"": 4, ""Quercus alba"": 4, ""Cercis canadensis"": 4, ""Ulmus americana"": 3, ""Quercus bicolor"": 2, ""Acer saccharum"": 2, ""Ostrya virginiana"": 2, ""Ailanthus altissima"": 2, ""Celtis occidentalis"": 2, ""Quercus macrocarpa"": 1, ""Fagus grandifolia"": 1, ""Nyssa sylvatica"": 1, ""Cornus florida"": 1, ""Sassafras albidum"": 1, ""Carpinus caroliniana"": 1, ""Populus deltoides"": 1, ""Tilia americana"": 1, ""Acer rubrum"": 1}",1,whole tree (or vine),65,1.0,"{""whole tree (or vine)"": 65}",4,0.4,0.6,2,0.2,0.8,2,0.2,0.8,2,0.2,0.8,1,0.1,0.9
efficientnet_b0,20,4,69,8,38,Robinia pseudoacacia,5,0.07246376811594203,"{""Robinia pseudoacacia"": 5, ""Juglans cinerea"": 5, ""Quercus palustris"": 4, ""Gleditsia triacanthos"": 3, ""Castanea dentata"": 3, ""Tsuga canadensis"": 3, ""Quercus alba"": 3, ""Quercus rubra"": 3, ""Tilia americana"": 2, ""Carpinus caroliniana"": 2, ""Acer saccharum"": 2, ""Pinus strobus"": 2, ""Populus tremuloides"": 2, ""Fraxinus pennsylvanica"": 2, ""Populus deltoides"": 2, ""Quercus macrocarpa"": 2, ""Prunus serotina"": 2, ""Toxicodendron radicans"": 2, ""Acer negundo"": 1, ""Amelanchier arborea"": 1, ""Salix nigra"": 1, ""Celtis occidentalis"": 1, ""Ulmus americana"": 1, ""Fraxinus quadrangulata"": 1, ""Carya cordiformis"": 1, ""Fraxinus americana"": 1, ""Sassafras albidum"": 1, ""Juglans nigra"": 1, ""Carya ovata"": 1, ""Ginkgo biloba"": 1, ""Quercus muehlenbergii"": 1, ""Quercus bicolor"": 1, ""Fagus grandifolia"": 1, ""Gymnocladus dioicus"": 1, ""Lonicera morrowii"": 1, ""Betula lenta"": 1, ""Betula alleghaniensis"": 1, ""Ulmus rubra"": 1}",4,whole tree (or vine),49,0.7101449275362319,"{""whole tree (or vine)"": 49, ""bark"": 15, ""whole tree"": 4, ""leaf"": 1}",7,0.875,0.125,4,0.5,0.5,2,0.25,0.75,3,0.375,0.625,1,0.125,0.875
efficientnet_b0,20,5,86,10,39,Quercus palustris,11,0.12790697674418605,"{""Quercus palustris"": 11, ""Quercus alba"": 8, ""Quercus bicolor"": 5, ""Quercus rubra"": 5, ""Sassafras albidum"": 4, ""Carya ovata"": 4, ""Robinia pseudoacacia"": 3, ""Quercus macrocarpa"": 2, ""Pinus strobus"": 2, ""Tsuga canadensis"": 2, ""Juglans cinerea"": 2, ""Pyrus calleryana"": 2, ""Ginkgo biloba"": 2, ""Quercus muehlenbergii"": 2, ""Ulmus americana"": 2, ""Gymnocladus dioicus"": 2, ""Juniperus virginiana"": 2, ""Nyssa sylvatica"": 2, ""Salix nigra"": 2, ""Celtis occidentalis"": 2, ""Acer saccharum"": 2, ""Fraxinus quadrangulata"": 1, ""Cephalanthus occidentalis"": 1, ""Prunus serotina"": 1, ""Ailanthus altissima"": 1, ""Tilia americana"": 1, ""Picea rubens"": 1, ""Acer negundo"": 1, ""Fraxinus pennsylvanica"": 1, ""Fraxinus americana"": 1, ""Juglans nigra"": 1, ""Carya cordiformis"": 1, ""Acer rubrum"": 1, ""Cercis canadensis"": 1, ""Cornus florida"": 1, ""Carpinus caroliniana"": 1, ""Betula alleghaniensis"": 1, ""Toxicodendron radicans"": 1, ""Aesculus glabra"": 1}",1,bark,86,1.0,"{""bark"": 86}",8,0.8,0.19999999999999996,2,0.2,0.8,1,0.1,0.9,3,0.3,0.7,2,0.2,0.8
efficientnet_b0,20,6,122,24,46,Cephalanthus occidentalis,9,0.07377049180327869,"{""Cephalanthus occidentalis"": 9, ""Gleditsia triacanthos"": 7, ""Pinus strobus"": 7, ""Sorbus americana"": 6, ""Sambucus racemosa"": 6, ""Rhus copallinum"": 5, ""Salix nigra"": 5, ""Quercus palustris"": 4, ""Sambucus nigra"": 4, ""Quercus bicolor"": 4, ""Carya cordiformis"": 3, ""Quercus macrocarpa"": 3, ""Ailanthus altissima"": 3, ""Cercis canadensis"": 3, ""Fagus grandifolia"": 3, ""Quercus alba"": 3, ""Quercus rubra"": 2, ""Juglans nigra"": 2, ""Lindera benzoin"": 2, ""Sassafras albidum"": 2, ""Platanus occidentalis"": 2, ""Tsuga canadensis"": 2, ""Quercus muehlenbergii"": 2, ""Castanea dentata"": 2, ""Populus deltoides"": 2, ""Carpinus caroliniana"": 2, ""Betula alleghaniensis"": 2, ""Toxicodendron radicans"": 2, ""Rhus glabra"": 2, ""Rhus aromatica"": 2, ""Yucca filamentosa"": 2, ""Acer saccharum"": 2, ""Picea rubens"": 2, ""Ulmus americana"": 1, ""Prunus serotina"": 1, ""Acer negundo"": 1, ""Fraxinus pennsylvanica"": 1, ""Fraxinus americana"": 1, ""Carya ovata"": 1, ""Aesculus glabra"": 1, ""Acer rubrum"": 1, ""Juniperus virginiana"": 1, ""Nyssa sylvatica"": 1, ""Cornus florida"": 1, ""Ostrya virginiana"": 1, ""Ulmus rubra"": 1}",7,inflorescence,85,0.6967213114754098,"{""inflorescence"": 85, ""fruit"": 20, ""cone"": 8, ""leaf"": 4, ""whole tree (or vine)"": 2, ""twig"": 2, ""whole plant"": 1}",22,0.9166666666666666,0.08333333333333337,16,0.6666666666666666,0.33333333333333337,11,0.4583333333333333,0.5416666666666667,17,0.7083333333333334,0.29166666666666663,7,0.2916666666666667,0.7083333333333333
efficientnet_b0,20,7,60,5,26,Juglans cinerea,15,0.25,"{""Juglans cinerea"": 15, ""Gymnocladus dioicus"": 4, ""Carya ovata"": 3, ""Pyrus calleryana"": 3, ""Platanus occidentalis"": 3, ""Juglans nigra"": 3, ""Carya cordiformis"": 3, ""Ginkgo biloba"": 2, ""Ulmus americana"": 2, ""Ailanthus altissima"": 2, ""Picea rubens"": 2, ""Acer saccharum"": 2, ""Quercus macrocarpa"": 2, ""Gleditsia triacanthos"": 2, ""Quercus rubra"": 1, ""Rhus glabra"": 1, ""Quercus alba"": 1, ""Sassafras albidum"": 1, ""Fraxinus americana"": 1, ""Juniperus virginiana"": 1, ""Cornus amomum"": 1, ""Populus deltoides"": 1, ""Ostrya virginiana"": 1, ""Tilia americana"": 1, ""Betula lenta"": 1, ""Ulmus rubra"": 1}",8,fruit,22,0.36666666666666664,"{""fruit"": 22, ""twig"": 13, ""seed"": 12, ""bark"": 5, ""cone"": 5, ""whole tree (or vine)"": 1, ""unspecified"": 1, ""inflorescence"": 1}",4,0.8,0.19999999999999996,2,0.4,0.6,1,0.2,0.8,1,0.2,0.8,0,0.0,1.0
efficientnet_b0,20,8,67,7,37,Pyrus calleryana,5,0.07462686567164178,"{""Pyrus calleryana"": 5, ""Juglans cinerea"": 5, ""Platanus occidentalis"": 4, ""Fagus grandifolia"": 4, ""Gymnocladus dioicus"": 3, ""Cornus amomum"": 3, ""Juglans nigra"": 3, ""Acer saccharum"": 2, ""Ailanthus altissima"": 2, ""Prunus serotina"": 2, ""Amelanchier arborea"": 2, ""Fraxinus pennsylvanica"": 2, ""Lindera benzoin"": 2, ""Quercus palustris"": 2, ""Quercus alba"": 2, ""Cercis canadensis"": 2, ""Viburnum lantanoides"": 2, ""Robinia pseudoacacia"": 1, ""Betula lenta"": 1, ""Tilia americana"": 1, ""Rhus aromatica"": 1, ""Populus deltoides"": 1, ""Zanthoxylum americanum"": 1, ""Cephalanthus occidentalis"": 1, ""Rhus copallinum"": 1, ""Rhus glabra"": 1, ""Toxicodendron radicans"": 1, ""Carpinus caroliniana"": 1, ""Castanea dentata"": 1, ""Cornus florida"": 1, ""Nyssa sylvatica"": 1, ""Aesculus glabra"": 1, ""Ginkgo biloba"": 1, ""Quercus muehlenbergii"": 1, ""Yucca filamentosa"": 1, ""Gleditsia triacanthos"": 1, ""Celtis occidentalis"": 1}",4,twig,63,0.9402985074626866,"{""twig"": 63, ""inflorescence"": 2, ""bark"": 1, ""leaf"": 1}",5,0.7142857142857143,0.2857142857142857,2,0.2857142857142857,0.7142857142857143,1,0.14285714285714285,0.8571428571428572,1,0.14285714285714285,0.8571428571428572,0,0.0,1.0
efficientnet_b0,20,9,87,10,36,Cornus florida,7,0.08045977011494253,"{""Cornus florida"": 7, ""Aesculus glabra"": 6, ""Toxicodendron radicans"": 6, ""Robinia pseudoacacia"": 6, ""Sassafras albidum"": 4, ""Yucca filamentosa"": 4, ""Cercis canadensis"": 4, ""Cornus amomum"": 3, ""Pyrus calleryana"": 3, ""Ailanthus altissima"": 3, ""Amelanchier arborea"": 3, ""Carpinus caroliniana"": 3, ""Sorbus americana"": 3, ""Gleditsia triacanthos"": 3, ""Ulmus rubra"": 2, ""Nyssa sylvatica"": 2, ""Viburnum lantanoides"": 2, ""Sambucus nigra"": 2, ""Ilex verticillata"": 2, ""Populus deltoides"": 2, ""Tilia americana"": 2, ""Fraxinus pennsylvanica"": 1, ""Cephalanthus occidentalis"": 1, ""Prunus serotina"": 1, ""Pinus strobus"": 1, ""Acer rubrum"": 1, ""Fraxinus americana"": 1, ""Ginkgo biloba"": 1, ""Castanea dentata"": 1, ""Juniperus virginiana"": 1, ""Sambucus racemosa"": 1, ""Lonicera morrowii"": 1, ""Rhus glabra"": 1, ""Rhus copallinum"": 1, ""Rhus aromatica"": 1, ""Gymnocladus dioicus"": 1}",5,inflorescence,74,0.8505747126436781,"{""inflorescence"": 74, ""fruit"": 9, ""cone"": 2, ""twig"": 1, ""leaf"": 1}",10,1.0,0.0,9,0.9,0.09999999999999998,6,0.6,0.4,7,0.7,0.30000000000000004,7,0.7,0.30000000000000004
