representation,query_image_id,query_species,query_organ,scope,rank,neighbor_image_id,neighbor_species,neighbor_organ,neighbor_split,same_species,same_genus,same_observation,cosine_similarity
bioclip,baskauf/10432,Fagus grandifolia,bark,all,1,kirchoff/ac1516,Fagus grandifolia,bark,train,True,True,False,0.6430521607398987
bioclip,baskauf/10432,Fagus grandifolia,bark,all,2,baskauf/d0127,Fagus grandifolia,whole tree (or vine),train,True,True,False,0.605121374130249
bioclip,baskauf/10432,Fagus grandifolia,bark,all,3,kirchoff/ac1517,Fagus grandifolia,bark,train,True,True,False,0.5953686237335205
bioclip,baskauf/10432,Fagus grandifolia,bark,all,4,kirchoff/em2192,Fagus grandifolia,bark,train,True,True,False,0.5755764245986938
bioclip,baskauf/10432,Fagus grandifolia,bark,all,5,kirchoff/b5061,Carpinus caroliniana,bark,train,False,False,False,0.5630661845207214
bioclip,baskauf/10432,Fagus grandifolia,bark,all,6,baskauf/10861,Acer saccharum,bark,train,False,False,False,0.5520129799842834
bioclip,baskauf/10432,Fagus grandifolia,bark,all,7,kirchoff/b5070,Carpinus caroliniana,bark,train,False,False,False,0.5470908284187317
bioclip,baskauf/10432,Fagus grandifolia,bark,all,8,baskauf/38148,Betula lenta,bark,train,False,False,False,0.5408601760864258
bioclip,baskauf/10432,Fagus grandifolia,bark,all,9,kirchoff/em2106,Quercus alba,bark,validation,False,False,False,0.5388211011886597
bioclip,baskauf/10432,Fagus grandifolia,bark,all,10,kirchoff/b5062,Carpinus caroliniana,bark,train,False,False,False,0.5383166670799255
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,1,kirchoff/ac1516,Fagus grandifolia,bark,train,True,True,False,0.6430521607398987
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,2,baskauf/d0127,Fagus grandifolia,whole tree (or vine),train,True,True,False,0.605121374130249
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,3,kirchoff/ac1517,Fagus grandifolia,bark,train,True,True,False,0.5953686237335205
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,4,kirchoff/em2192,Fagus grandifolia,bark,train,True,True,False,0.5755764245986938
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,5,kirchoff/b5061,Carpinus caroliniana,bark,train,False,False,False,0.5630661845207214
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,6,baskauf/10861,Acer saccharum,bark,train,False,False,False,0.5520129799842834
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,7,kirchoff/b5070,Carpinus caroliniana,bark,train,False,False,False,0.5470908284187317
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,8,baskauf/38148,Betula lenta,bark,train,False,False,False,0.5408601760864258
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,9,kirchoff/em2106,Quercus alba,bark,validation,False,False,False,0.5388211011886597
bioclip,baskauf/10432,Fagus grandifolia,bark,cross_observation,10,kirchoff/b5062,Carpinus caroliniana,bark,train,False,False,False,0.5383166670799255
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,1,baskauf/52470,Fagus grandifolia,fruit,train,True,True,False,0.8569222688674927
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,2,kirchoff/em2061,Fagus grandifolia,fruit,train,True,True,False,0.8552190065383911
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,3,baskauf/52471,Fagus grandifolia,fruit,train,True,True,False,0.8523582816123962
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,4,kirchoff/ac1519,Fagus grandifolia,twig,train,True,True,False,0.8191272020339966
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,5,baskauf/39273,Fagus grandifolia,inflorescence,validation,True,True,False,0.8111975193023682
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,6,baskauf/10430,Fagus grandifolia,twig,train,True,True,False,0.8076012134552002
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,7,baskauf/10431,Fagus grandifolia,twig,train,True,True,False,0.806875467300415
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,8,baskauf/10504,Fagus grandifolia,inflorescence,train,True,True,False,0.8046653270721436
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,9,baskauf/29685,Fagus grandifolia,twig,test,True,True,True,0.7966305017471313
bioclip,baskauf/10550,Fagus grandifolia,fruit,all,10,kirchoff/ac1518,Fagus grandifolia,fruit,train,True,True,False,0.7848247289657593
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,1,baskauf/52470,Fagus grandifolia,fruit,train,True,True,False,0.8569222688674927
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,2,kirchoff/em2061,Fagus grandifolia,fruit,train,True,True,False,0.8552190065383911
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,3,baskauf/52471,Fagus grandifolia,fruit,train,True,True,False,0.8523582816123962
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,4,kirchoff/ac1519,Fagus grandifolia,twig,train,True,True,False,0.8191272020339966
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,5,baskauf/39273,Fagus grandifolia,inflorescence,validation,True,True,False,0.8111975193023682
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,6,baskauf/10430,Fagus grandifolia,twig,train,True,True,False,0.8076012134552002
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,7,baskauf/10431,Fagus grandifolia,twig,train,True,True,False,0.806875467300415
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,8,baskauf/10504,Fagus grandifolia,inflorescence,train,True,True,False,0.8046653270721436
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,9,kirchoff/ac1518,Fagus grandifolia,fruit,train,True,True,False,0.7848247289657593
bioclip,baskauf/10550,Fagus grandifolia,fruit,cross_observation,10,baskauf/10506,Fagus grandifolia,inflorescence,train,True,True,False,0.7784788608551025
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,1,baskauf/52470,Fagus grandifolia,fruit,train,True,True,False,0.8914316892623901
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,2,baskauf/10757,Fagus grandifolia,leaf,train,True,True,False,0.8869801759719849
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,3,baskauf/29685,Fagus grandifolia,twig,test,True,True,True,0.8857899308204651
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,4,kirchoff/em2002,Fagus grandifolia,leaf,train,True,True,False,0.8789109587669373
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,5,baskauf/39273,Fagus grandifolia,inflorescence,validation,True,True,False,0.8731144666671753
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,6,baskauf/39270,Fagus grandifolia,inflorescence,validation,True,True,False,0.8581193685531616
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,7,baskauf/52471,Fagus grandifolia,fruit,train,True,True,False,0.8563373684883118
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,8,kirchoff/ac1519,Fagus grandifolia,twig,train,True,True,False,0.8558565974235535
