image_id,file,split,individual_id,ground_truth_species,original_organ_category,original_organ_detail,original_subview,normalized_organ
baskauf/13160,baskauf_13160.jpg,validation,ind-baskauf/13159,Acer negundo,bark,bark,of a large tree,bark
baskauf/13159,baskauf_13159.jpg,validation,ind-baskauf/13159,Acer negundo,fruit,fruit,as borne on the plant,fruit
baskauf/13161,baskauf_13161.jpg,validation,ind-baskauf/13159,Acer negundo,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/15320,baskauf_15320.jpg,test,ind-baskauf/15307,Acer negundo,bark,bark,of a small tree or small branch,bark
baskauf/15316,baskauf_15316.jpg,test,ind-baskauf/15307,Acer negundo,leaf,leaf,margin of upper + lower surface,leaf
baskauf/15307,baskauf_15307.jpg,test,ind-baskauf/15307,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/15313,baskauf_15313.jpg,test,ind-baskauf/15307,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/15308,baskauf_15308.jpg,test,ind-baskauf/15307,Acer negundo,twig,twig,orientation of petioles,twig
baskauf/16050,baskauf_16050.jpg,train,ind-baskauf/16046,Acer negundo,bark,bark,of a small tree or small branch,bark
baskauf/16046,baskauf_16046.jpg,train,ind-baskauf/16046,Acer negundo,twig,twig,unspecified,twig
baskauf/31641,baskauf_31641.jpg,train,ind-baskauf/31636,Acer negundo,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/31637,baskauf_31637.jpg,train,ind-baskauf/31636,Acer negundo,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/31644,baskauf_31644.jpg,train,ind-baskauf/31636,Acer negundo,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/28499,baskauf_28499.jpg,train,ind-baskauf/28499,Acer negundo,fruit,fruit,as borne on the plant,fruit
baskauf/18234,baskauf_18234.jpg,train,ind-baskauf/18230,Acer negundo,fruit,fruit,immature,fruit
baskauf/54876,baskauf_54876.jpg,train,vanderbilt/12-43,Acer negundo,leaf,leaf,margin of upper + lower surface,leaf
baskauf/54874,baskauf_54874.jpg,train,vanderbilt/12-43,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/54962,baskauf_54962.jpg,train,vanderbilt/12-43,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/54969,baskauf_54969.jpg,train,vanderbilt/12-43,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/54970,baskauf_54970.jpg,train,vanderbilt/12-43,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/54972,baskauf_54972.jpg,train,vanderbilt/12-43,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/54881,baskauf_54881.jpg,train,vanderbilt/12-43,Acer negundo,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/54884,baskauf_54884.jpg,train,vanderbilt/12-43,Acer negundo,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/29689,baskauf_29689.jpg,train,ind-baskauf/29686,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/29691,baskauf_29691.jpg,train,ind-baskauf/29686,Acer negundo,leaf,leaf,whole upper surface,leaf
baskauf/10897,baskauf_10897.jpg,train,ind-baskauf/10897,Acer negundo,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/54849,baskauf_54849.jpg,train,ind-baskauf/54847,Acer negundo,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/54851,baskauf_54851.jpg,train,ind-baskauf/54847,Acer negundo,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/91000,baskauf_91000.jpg,train,vanderbilt/9-16,Acer negundo,whole tree,whole tree,general,whole plant
baskauf/89403,baskauf_89403.jpg,train,vanderbilt/9-16,Acer negundo,whole tree (or vine),whole tree (or vine),winter,whole plant
baskauf/11924,baskauf_11924.jpg,train,ind-baskauf/11916,Acer rubrum,bark,bark,of a medium tree or large branch,bark
baskauf/11916,baskauf_11916.jpg,train,ind-baskauf/11916,Acer rubrum,leaf,leaf,showing orientation on twig,leaf
baskauf/11920,baskauf_11920.jpg,train,ind-baskauf/11916,Acer rubrum,leaf,leaf,whole upper surface,leaf
baskauf/11926,baskauf_11926.jpg,train,ind-baskauf/11916,Acer rubrum,twig,twig,orientation of petioles,twig
baskauf/11927,baskauf_11927.jpg,train,ind-baskauf/11916,Acer rubrum,twig,twig,orientation of petioles,twig
baskauf/11930,baskauf_11930.jpg,train,ind-baskauf/11916,Acer rubrum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/29761,baskauf_29761.jpg,train,ind-baskauf/29761,Acer rubrum,bark,bark,of a medium tree or large branch,bark
baskauf/18219,baskauf_18219.jpg,train,ind-baskauf/18216,Acer rubrum,inflorescence,inflorescence,lateral view of flower,inflorescence
