representation,k,cluster_id,size_all,size_test,species_count,dominant_species,species_purity,species_distribution,normalized_organ_count,dominant_normalized_organ,normalized_organ_purity,normalized_organ_distribution
bioclip,20,0,111,15,11,Aesculus glabra,0.17117117117117117,"{""Aesculus glabra"": 19, ""Tilia americana"": 19, ""Acer saccharum"": 14, ""Lonicera morrowii"": 13, ""Ulmus americana"": 11, ""Ulmus rubra"": 10, ""Zanthoxylum americanum"": 9, ""Dirca palustris"": 9, ""Celtis occidentalis"": 4, ""Acer negundo"": 2, ""Ginkgo biloba"": 1}",6,leaf,0.3153153153153153,"{""leaf"": 35, ""inflorescence"": 28, ""fruit"": 19, ""twig"": 14, ""whole plant"": 13, ""bark"": 2}"
bioclip,20,1,129,16,2,Quercus palustris,0.7441860465116279,"{""Quercus palustris"": 96, ""Quercus rubra"": 33}",6,leaf,0.5348837209302325,"{""leaf"": 69, ""twig"": 17, ""fruit"": 17, ""bark"": 16, ""whole plant"": 6, ""inflorescence"": 4}"
bioclip,20,2,55,13,4,Sambucus racemosa,0.32727272727272727,"{""Sambucus racemosa"": 18, ""Sorbus americana"": 15, ""Sambucus nigra"": 11, ""Viburnum lantanoides"": 11}",5,inflorescence,0.36363636363636365,"{""inflorescence"": 20, ""leaf"": 14, ""fruit"": 10, ""whole plant"": 9, ""twig"": 2}"
bioclip,20,3,200,24,54,Ginkgo biloba,0.09,"{""Ginkgo biloba"": 18, ""Gymnocladus dioicus"": 16, ""Yucca filamentosa"": 12, ""Dirca palustris"": 10, ""Nyssa sylvatica"": 8, ""Zanthoxylum americanum"": 6, ""Pyrus calleryana"": 6, ""Robinia pseudoacacia"": 5, ""Pinus strobus"": 5, ""Cercis canadensis"": 4, ""Salix nigra"": 4, ""Fraxinus americana"": 4, ""Acer saccharum"": 4, ""Ailanthus altissima"": 4, ""Celtis occidentalis"": 4, ""Toxicodendron radicans"": 4, ""Cephalanthus occidentalis"": 4, ""Fraxinus pennsylvanica"": 3, ""Aesculus glabra"": 3, ""Carya cordiformis"": 3, ""Platanus occidentalis"": 3, ""Carya ovata"": 3, ""Juglans cinerea"": 3, ""Lindera benzoin"": 3, ""Quercus palustris"": 3, ""Gleditsia triacanthos"": 3, ""Cornus amomum"": 3, ""Viburnum lantanoides"": 3, ""Tilia americana"": 3, ""Betula lenta"": 3, ""Ilex verticillata"": 3, ""Rhus copallinum"": 3, ""Rhus aromatica"": 3, ""Sassafras albidum"": 3, ""Populus deltoides"": 2, ""Ulmus americana"": 2, ""Acer rubrum"": 2, ""Quercus rubra"": 2, ""Castanea dentata"": 2, ""Rhus glabra"": 2, ""Betula alleghaniensis"": 2, ""Lonicera morrowii"": 2, ""Cornus florida"": 2, ""Quercus alba"": 2, ""Quercus bicolor"": 2, ""Fagus grandifolia"": 1, ""Sorbus americana"": 1, ""Quercus muehlenbergii"": 1, ""Populus tremuloides"": 1, ""Sambucus racemosa"": 1, ""Sambucus nigra"": 1, ""Ostrya virginiana"": 1, ""Amelanchier arborea"": 1, ""Ulmus rubra"": 1}",9,twig,0.225,"{""twig"": 45, ""bark"": 41, ""leaf"": 37, ""inflorescence"": 36, ""fruit"": 22, ""cone"": 12, ""seed"": 4, ""other"": 2, ""whole plant"": 1}"
bioclip,20,4,92,16,8,Platanus occidentalis,0.32608695652173914,"{""Platanus occidentalis"": 30, ""Acer negundo"": 24, ""Sassafras albidum"": 23, ""Acer rubrum"": 11, ""Rhus aromatica"": 1, ""Toxicodendron radicans"": 1, ""Quercus alba"": 1, ""Celtis occidentalis"": 1}",6,leaf,0.2717391304347826,"{""leaf"": 25, ""inflorescence"": 19, ""whole plant"": 19, ""fruit"": 11, ""twig"": 11, ""bark"": 7}"
bioclip,20,5,77,11,6,Carpinus caroliniana,0.4935064935064935,"{""Carpinus caroliniana"": 38, ""Ostrya virginiana"": 15, ""Betula alleghaniensis"": 11, ""Betula lenta"": 6, ""Ulmus americana"": 6, ""Carya ovata"": 1}",6,leaf,0.38961038961038963,"{""leaf"": 30, ""bark"": 14, ""inflorescence"": 12, ""fruit"": 11, ""twig"": 7, ""whole plant"": 3}"
bioclip,20,6,65,11,4,Cornus florida,0.36923076923076925,"{""Cornus florida"": 24, ""Cercis canadensis"": 24, ""Robinia pseudoacacia"": 13, ""Yucca filamentosa"": 4}",6,inflorescence,0.36923076923076925,"{""inflorescence"": 24, ""fruit"": 16, ""whole plant"": 12, ""leaf"": 6, ""twig"": 5, ""bark"": 2}"
bioclip,20,7,91,12,7,Quercus alba,0.3956043956043956,"{""Quercus alba"": 36, ""Quercus bicolor"": 23, ""Quercus macrocarpa"": 13, ""Quercus muehlenbergii"": 13, ""Quercus rubra"": 4, ""Acer saccharum"": 1, ""Quercus palustris"": 1}",8,leaf,0.5054945054945055,"{""leaf"": 46, ""inflorescence"": 15, ""twig"": 11, ""bark"": 7, ""fruit"": 6, ""whole plant"": 4, ""other"": 1, ""seed"": 1}"
bioclip,20,8,51,4,9,Fraxinus pennsylvanica,0.27450980392156865,"{""Fraxinus pennsylvanica"": 14, ""Fraxinus quadrangulata"": 14, ""Fraxinus americana"": 12, ""Gymnocladus dioicus"": 5, ""Zanthoxylum americanum"": 2, ""Rhus copallinum"": 1, ""Ginkgo biloba"": 1, ""Aesculus glabra"": 1, ""Carya cordiformis"": 1}",6,leaf,0.47058823529411764,"{""leaf"": 24, ""twig"": 9, ""inflorescence"": 6, ""fruit"": 6, ""whole plant"": 5, ""bark"": 1}"
bioclip,20,9,90,8,6,Toxicodendron radicans,0.24444444444444444,"{""Toxicodendron radicans"": 22, ""Ailanthus altissima"": 21, ""Rhus copallinum"": 20, ""Rhus glabra"": 17, ""Rhus aromatica"": 9, ""Juglans nigra"": 1}",6,leaf,0.25555555555555554,"{""leaf"": 23, ""fruit"": 21, ""whole plant"": 19, ""inflorescence"": 19, ""twig"": 5, ""bark"": 3}"
