position,scientific_name,vernacular
1,Lonicera morrowii,Morrow's honeysuckle
2,Ostrya virginiana,hophornbeam
3,Populus tremuloides,quaking aspen
4,Betula lenta,sweet birch
5,Ailanthus altissima,tree of heaven
6,Pyrus calleryana,Callery pear
7,Pinus strobus,eastern white pine
8,Ulmus rubra,slippery elm
9,Tilia americana,white basswood
10,Cephalanthus occidentalis,common buttonbush
11,Rhus glabra,smooth sumac
12,Carya laciniosa,shellbark hickory
13,Cornus florida,flowering dogwood
14,Picea glauca,white spruce
15,Fraxinus americana,white ash
16,Yucca filamentosa,Adam's needle
17,Betula papyrifera,paper birch
18,Sambucus nigra,American black elderberry
19,Acer saccharum,sugar maple
20,Quercus alba,white oak
21,Acer platanoides,Norway maple
22,Sambucus racemosa,red elderberry
23,Sorbus americana,American mountain ash
24,Thuja occidentalis,arborvitae
25,Prunus pensylvanica,pin cherry
26,Fraxinus pennsylvanica,green ash
27,Magnolia acuminata,cucumber-tree
28,Ilex verticillata,common winterberry
29,Ulmus americana,American elm
30,Juniperus communis,common juniper
31,Dirca palustris,eastern leatherwood
32,Aesculus hippocastanum,horse chestnut
33,Lindera benzoin,northern spicebush
34,Amelanchier arborea,common serviceberry
35,Acer rubrum,red maple
36,Gleditsia triacanthos,honeylocust
37,Populus grandidentata,bigtooth aspen
38,Celtis occidentalis,common hackberry
39,Viburnum opulus,American cranberrybush
40,Populus deltoides,eastern cottonwood
41,Quercus bicolor,swamp white oak
42,Quercus macrocarpa,bur oak
43,Robinia pseudoacacia,black locust
44,Pinus resinosa,red pine
45,Acer saccharinum,silver maple
46,Toxicodendron radicans,eastern poison ivy
47,Juglans nigra,black walnut
48,Gymnocladus dioicus,Kentucky coffeetree
49,Sassafras albidum,sassafras
50,Carpinus caroliniana,American hornbeam
51,Picea rubens,red spruce
52,Juglans cinerea,butternut
53,Juniperus virginiana,eastern redcedar
54,Prunus serotina,black cherry
55,Acer nigrum,black maple
56,Carya cordiformis,bitternut hickory
57,Tsuga canadensis,eastern hemlock
58,Picea mariana,black spruce
59,Hamamelis virginiana,American witchhazel
60,Pinus rigida,pitch pine
61,Salix nigra,black willow
62,Prunus virginiana,chokecherry
63,Staphylea trifolia,American bladdernut
64,Quercus velutina,black oak
65,Cercis canadensis,eastern redbud
66,Fraxinus quadrangulata,blue ash
67,Nyssa sylvatica,blackgum
68,Cornus racemosa,gray dogwood
69,Castanea dentata,American chestnut
70,Carya ovata,shagbark hickory
71,Acer negundo,boxelder
72,Quercus palustris,pin oak
73,Viburnum lantanoides,hobblebush
74,Rhus aromatica,fragrant sumac
75,Aesculus glabra,Ohio buckeye
76,Platanus occidentalis,American sycamore
77,Betula alleghaniensis,yellow birch
78,Cornus sericea,redosier dogwood
79,Quercus muehlenbergii,chinkapin oak
80,Zanthoxylum americanum,common pricklyash
81,Cornus amomum,silky dogwood
82,Fagus grandifolia,American beech
83,Quercus rubra,northern red oak
84,Rhus copallinum,winged sumac
85,Ginkgo biloba,maidenhair tree
